system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
aiida,pipeline,short,1,9.472990,1.945439,1.941587,1.939964,,,,,,
aiida,pipeline,medium,1,56.577356,1.963278,2.035662,2.041012,,,,,,
aiida,pipeline,long,1,223.469559,1.995723,1.994727,2.088473,,,,,,
aiida,scatter_gather,short,1,13.778877,1.991500,,,2.066759,2.026704,2.117482,2.027663,0.000000,3.532794
aiida,scatter_gather,short,2,12.605803,2.023945,,,2.105765,2.467129,2.141826,2.051202,0.026109,1.829572
aiida,scatter_gather,short,4,13.446375,1.986772,,,2.070189,2.595623,2.716423,2.047984,1.026909,1.941502
aiida,scatter_gather,medium,1,56.748147,1.981228,,,1.999447,2.045742,2.100516,2.008201,0.000000,46.459637
aiida,scatter_gather,medium,2,34.149505,1.997423,,,1.978207,2.470838,2.134746,1.967967,0.042961,23.630337
aiida,scatter_gather,medium,4,23.963470,1.906707,,,1.935940,2.575154,2.650979,1.963052,1.044871,12.910978
aiida,scatter_gather,long,1,223.804526,1.912745,,,1.927341,1.968041,2.150446,1.956060,0.000000,213.930241
aiida,scatter_gather,long,2,118.590244,1.945141,,,1.980612,2.385560,2.304572,2.006884,0.020996,107.845359
aiida,scatter_gather,long,4,66.046751,1.932982,,,1.988564,2.640802,2.568757,1.937171,1.006954,54.951741
