system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s
aiida_psql_fshpc,pipeline,short,1,3.749341,12.245297,8.425641
aiida_psql_fshpc,pipeline,medium,1,47.701943,59.548260,11.893884
aiida_psql_fshpc,pipeline,long,1,218.111485,226.464599,8.353114
aiida_psql_fshpc,scatter_gather,short,1,3.683834,17.085182,13.410018
aiida_psql_fshpc,scatter_gather,short,2,2.003101,15.651363,13.669813
aiida_psql_fshpc,scatter_gather,short,4,1.114275,16.448696,15.350096
aiida_psql_fshpc,scatter_gather,medium,1,46.012572,59.931171,13.691646
aiida_psql_fshpc,scatter_gather,medium,2,23.483697,37.261995,13.567157
aiida_psql_fshpc,scatter_gather,medium,4,12.117425,27.049901,14.777755
aiida_psql_fshpc,scatter_gather,long,1,213.755867,226.773261,13.015067
aiida_psql_fshpc,scatter_gather,long,2,106.850335,121.786611,14.936276
aiida_psql_fshpc,scatter_gather,long,4,54.684421,69.060360,14.399601
aiida_sqlite_fshpc,pipeline,short,1,3.740902,20.004516,16.248328
aiida_sqlite_fshpc,pipeline,medium,1,47.814386,63.660084,15.720823
aiida_sqlite_fshpc,pipeline,long,1,219.628582,232.165515,12.536933
aiida_sqlite_fshpc,scatter_gather,short,1,3.692185,27.810910,24.127581
aiida_sqlite_fshpc,scatter_gather,short,2,2.005240,27.643210,25.700545
aiida_sqlite_fshpc,scatter_gather,short,4,1.107908,31.004713,29.906818
aiida_sqlite_fshpc,scatter_gather,medium,1,46.570862,70.765215,24.194353
aiida_sqlite_fshpc,scatter_gather,medium,2,23.461310,49.523451,26.239375
aiida_sqlite_fshpc,scatter_gather,medium,4,12.219338,42.086368,29.915268
aiida_sqlite_fshpc,scatter_gather,long,1,208.314760,234.091859,25.833054
aiida_sqlite_fshpc,scatter_gather,long,2,107.933196,134.534815,27.061094
aiida_sqlite_fshpc,scatter_gather,long,4,55.458586,84.550306,28.793585
aiida_sqlite_scratch,pipeline,short,1,3.765577,9.414685,5.640459
aiida_sqlite_scratch,pipeline,medium,1,47.655076,54.631429,7.016926
aiida_sqlite_scratch,pipeline,long,1,222.859114,228.882643,3.456526
aiida_sqlite_scratch,scatter_gather,short,1,3.757036,11.782102,7.957821
aiida_sqlite_scratch,scatter_gather,short,2,1.978973,10.515548,8.536575
aiida_sqlite_scratch,scatter_gather,short,4,1.113271,10.088265,8.983859
aiida_sqlite_scratch,scatter_gather,medium,1,46.075404,54.790237,8.767668
aiida_sqlite_scratch,scatter_gather,medium,2,24.043123,32.336387,8.038285
aiida_sqlite_scratch,scatter_gather,medium,4,12.254425,21.347921,9.074289
aiida_sqlite_scratch,scatter_gather,long,1,212.988000,219.884529,6.896529
aiida_sqlite_scratch,scatter_gather,long,2,108.606374,118.487159,11.639008
aiida_sqlite_scratch,scatter_gather,long,4,55.592211,64.960781,9.368570
