system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s
streamflow,pipeline,short,1,3.378509,6.371026,2.992517
streamflow,pipeline,medium,1,40.835867,44.859996,3.817860
streamflow,pipeline,long,1,189.837131,190.998191,1.161061
streamflow,scatter_gather,short,1,3.509291,5.805561,2.259996
streamflow,scatter_gather,short,2,1.906271,4.151978,2.243805
streamflow,scatter_gather,short,4,1.081718,3.388921,2.305027
streamflow,scatter_gather,medium,1,42.623213,46.325674,3.858087
streamflow,scatter_gather,medium,2,21.602374,25.672910,4.107337
streamflow,scatter_gather,medium,4,11.059083,13.498921,2.439837
streamflow,scatter_gather,long,1,197.363368,199.121527,4.739686
streamflow,scatter_gather,long,2,100.025063,104.645269,5.152065
streamflow,scatter_gather,long,4,50.798455,54.853931,3.994841
nextflow,pipeline,short,1,3.386725,6.472372,3.106708
nextflow,pipeline,medium,1,40.414508,43.990812,3.642820
nextflow,pipeline,long,1,185.244133,195.564159,10.619435
nextflow,scatter_gather,short,1,3.486612,6.761181,3.198293
nextflow,scatter_gather,short,2,1.894822,5.192085,3.312767
nextflow,scatter_gather,short,4,1.107706,4.211716,3.116808
nextflow,scatter_gather,medium,1,42.057972,45.355538,3.196829
nextflow,scatter_gather,medium,2,21.477683,24.901361,3.616281
nextflow,scatter_gather,medium,4,11.026432,14.442049,3.415048
nextflow,scatter_gather,long,1,196.101342,195.459759,2.268328
nextflow,scatter_gather,long,2,98.335086,103.139973,3.668165
nextflow,scatter_gather,long,4,50.160793,53.402598,3.359596
merlin,pipeline,short,1,3.305316,5.096103,1.786266
merlin,pipeline,medium,1,42.252168,46.045241,3.440841
merlin,pipeline,long,1,190.891333,193.250430,2.280819
merlin,scatter_gather,short,1,3.502368,5.418024,1.919232
merlin,scatter_gather,short,2,1.860146,3.933142,2.064796
merlin,scatter_gather,short,4,1.053387,3.210651,2.152165
merlin,scatter_gather,medium,1,43.107286,45.588934,2.481648
merlin,scatter_gather,medium,2,21.655624,24.539231,3.005168
merlin,scatter_gather,medium,4,11.173903,13.488759,2.340362
merlin,scatter_gather,long,1,197.674372,200.771193,3.147192
merlin,scatter_gather,long,2,100.109878,103.732775,3.511301
merlin,scatter_gather,long,4,50.577789,53.645095,3.042884
aiida,pipeline,short,1,3.749341,12.245297,8.425641
aiida,pipeline,medium,1,47.701943,59.548260,11.893884
aiida,pipeline,long,1,218.111485,226.464599,8.353114
aiida,scatter_gather,short,1,3.683834,17.085182,13.410018
aiida,scatter_gather,short,2,2.003101,15.651363,13.669813
aiida,scatter_gather,short,4,1.114275,16.448696,15.350096
aiida,scatter_gather,medium,1,46.012572,59.931171,13.691646
aiida,scatter_gather,medium,2,23.483697,37.261995,13.567157
aiida,scatter_gather,medium,4,12.117425,27.049901,14.777755
aiida,scatter_gather,long,1,213.755867,226.773261,13.015067
aiida,scatter_gather,long,2,106.850335,121.786611,14.936276
aiida,scatter_gather,long,4,54.684421,69.060360,14.399601
