system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,4.078644,7.702927,3.624283,88.859999,1.888600,,,6.393429,0.828201,0.808199,0.803528,,,,,
aiida,pipeline,short,1,2,4.083037,8.522935,4.439898,108.740087,2.087401,,,7.049965,0.999213,1.113493,0.937051,,,,,
aiida,pipeline,short,1,3,4.084300,7.668644,3.584344,87.759077,1.877591,,,6.432065,0.807833,0.845088,0.828735,,,,,
aiida,pipeline,short,1,4,4.093431,7.666884,3.573453,87.297257,1.872973,,,6.391469,0.814524,0.803936,0.823124,,,,,
aiida,pipeline,short,1,5,4.190859,7.536515,3.345656,79.832225,1.798322,,,6.342224,0.797283,0.785561,0.814748,,,,,
aiida,pipeline,medium,1,1,51.224569,54.988356,3.763787,7.347621,1.073476,,,53.743282,0.812419,0.898071,0.928389,,,,,
aiida,pipeline,medium,1,2,51.314065,54.854948,3.540883,6.900414,1.069004,,,53.543538,0.793001,0.812323,0.936194,,,,,
aiida,pipeline,medium,1,3,51.298963,54.670801,3.371838,6.572916,1.065729,,,53.453173,0.805936,0.850503,0.806045,,,,,
aiida,pipeline,medium,1,4,51.180561,54.751275,3.570714,6.976700,1.069767,,,53.499038,0.808594,0.796025,0.910937,,,,,
aiida,pipeline,medium,1,5,51.384905,54.758856,3.373951,6.566035,1.065660,,,53.456785,0.808559,0.813137,0.811605,,,,,
aiida,scatter_gather,short,1,1,4.348268,9.641685,5.293417,121.736218,2.217362,4.102999,4.070752,8.246113,0.797955,,,0.824469,0.851269,0.870890,0.825025,0.000000
aiida,scatter_gather,short,1,2,4.314847,9.526000,5.211153,120.772602,2.207726,4.091644,4.082628,8.210572,0.799940,,,0.800868,0.813575,0.870829,0.840671,0.000000
aiida,scatter_gather,short,1,3,4.295105,9.798649,5.503544,128.135261,2.281353,4.070032,4.072477,8.357331,0.837075,,,0.831289,0.839543,0.903148,0.871883,0.000000
aiida,scatter_gather,short,1,4,4.301004,9.564695,5.263691,122.382844,2.223828,4.070606,4.081861,8.235604,0.816431,,,0.840091,0.811866,0.855484,0.827868,0.000000
aiida,scatter_gather,short,1,5,4.334272,9.655598,5.321326,122.773236,2.227732,4.103234,4.077825,8.303834,0.853107,,,0.841000,0.859863,0.855717,0.814263,0.000000
aiida,scatter_gather,short,2,1,2.321290,7.877943,5.556653,239.377803,3.393778,2.065433,2.097889,6.534390,0.799850,,,0.813654,1.042752,0.962025,0.815565,0.021944
aiida,scatter_gather,short,2,2,2.287856,7.886654,5.598798,244.718112,3.447181,2.063544,2.098985,6.516260,0.826014,,,0.808502,1.014401,0.945656,0.820282,0.025763
