system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
pegasus,pipeline,short,1,1,4.682099541,162.640068500,157.957968959,3373.656787462,34.736567875,4.508897000,4.371084000,60.261258000,20.071570000,20.281764000,15.535432000,,,,,
pegasus,pipeline,short,1,2,4.516650667,185.711751917,181.195101250,4011.713869660,41.117138697,4.339898000,4.364605000,68.178314000,20.459161000,19.918766000,23.434253000,,,,,
pegasus,pipeline,short,1,3,4.538304000,186.304745000,181.766441000,4005.162302986,41.051623030,4.370143000,4.337427000,69.025556000,19.259853000,21.195425000,24.231174000,,,,,
pegasus,pipeline,short,1,4,4.496674041,183.950933666,179.454259625,3990.822060652,40.908220607,4.326759000,4.355339000,66.899980000,20.135045000,19.912934000,22.495227000,,,,,
pegasus,pipeline,short,1,5,4.516724542,184.134454833,179.617730291,3976.725359823,40.767253598,4.341981000,4.357650000,68.254170000,20.490724000,19.913621000,23.490819000,,,,,
pegasus,pipeline,medium,1,1,57.010668500,227.775178291,170.764509791,299.530797101,3.995307971,56.822393000,56.931391000,120.185263000,21.188842000,18.922972000,23.140543000,,,,,
pegasus,pipeline,medium,1,2,56.967185166,227.963971042,170.996785876,300.167167077,4.001671671,56.779800000,56.783090000,120.725432000,20.508950000,20.893847000,22.538039000,,,,,
pegasus,pipeline,medium,1,3,56.959119375,226.385448875,169.426329500,297.452508675,3.974525087,56.768324000,56.538848000,119.954593000,20.464522000,19.813833000,23.136329000,,,,,
pegasus,pipeline,medium,1,4,56.853386250,228.119753125,171.266366875,301.242156662,4.012421567,56.665438000,56.716216000,120.850300000,19.985271000,20.338425000,23.809055000,,,,,
pegasus,pipeline,medium,1,5,57.164204250,225.703039083,168.538834833,294.832818972,3.948328190,56.984527000,56.439562000,119.628063000,19.456589000,20.167685000,23.562938000,,,,,
pegasus,pipeline,long,1,1,263.612211875,442.356656250,178.744444375,67.805828533,1.678058285,263.427868000,262.287544000,324.332036000,20.732150000,19.946356000,21.364473000,,,,,
pegasus,pipeline,long,1,2,263.481505292,442.015808917,178.534303625,67.759709900,1.677597099,263.306229000,261.134564000,325.860074000,20.089253000,20.021801000,24.613082000,,,,,
pegasus,pipeline,long,1,3,262.840080042,425.650121583,162.810041541,61.942623634,1.619426236,262.650157000,261.131558000,321.619818000,20.400833000,19.699293000,20.386988000,,,,,
pegasus,scatter_gather,short,1,1,4.623364208,206.782928125,202.159563917,4372.564107446,44.725641074,4.361668000,4.349915000,100.466294000,20.974744000,,,19.919650000,19.353005000,15.678383000,20.188430000,0.000000000
pegasus,scatter_gather,short,1,2,4.630141917,203.898181209,199.268039292,4303.713425259,44.037134253,4.366937000,4.386206000,99.788535000,19.513712000,,,20.109118000,19.884144000,15.974758000,19.918475000,0.000000000
