system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
streamflow,pipeline,short,1,1,4.297303667,25.112018833,20.814715166,484.366867667,5.843668677,,3.281407877,12.940253798,3.343516044,3.143529501,3.171469210,,,,,
streamflow,pipeline,short,1,2,4.310527042,24.601032833,20.290505791,470.719835261,5.707198353,,3.225094293,12.279155673,2.970914293,3.094415127,2.988402877,,,,,
streamflow,pipeline,short,1,3,3.503070667,24.679250292,21.176179625,604.503352573,7.045033526,,3.262318460,12.515982048,3.192352918,3.118563960,2.942394376,,,,,
streamflow,pipeline,short,1,4,4.249357250,24.396015000,20.146657750,474.110708155,5.741107082,,3.235121794,12.457610964,3.006591335,3.046848251,3.168738543,,,,,
streamflow,pipeline,short,1,5,4.226671791,24.317443583,20.090771792,475.333141191,5.753331412,,3.214470168,12.485078173,3.025896585,3.065363460,3.178997710,,,,,
streamflow,pipeline,medium,1,1,42.047645250,63.672146208,21.624500958,51.428565927,1.514285659,,42.298164991,51.418493829,3.002833584,3.051836668,3.065263668,,,,,
streamflow,pipeline,medium,1,2,41.879468333,63.565656375,21.686188042,51.782386227,1.517823862,,42.886382784,51.912726746,2.987157168,2.950519085,3.088277043,,,,,
streamflow,pipeline,medium,1,3,41.851969500,64.071372583,22.219403083,53.090459896,1.530904599,,42.402600742,51.672012621,2.934545127,3.119102668,3.215416127,,,,,
streamflow,pipeline,medium,1,4,41.802081333,64.662951417,22.860870084,54.688353678,1.546883537,,42.457363950,52.143143371,3.105573168,3.283077626,3.296194377,,,,,
streamflow,pipeline,medium,1,5,41.796440542,66.025036542,24.228596000,57.968084568,1.579680846,,44.262788076,53.652575080,3.175592377,3.049410877,3.164386751,,,,,
streamflow,pipeline,long,1,1,189.374174042,228.640716541,39.266542499,20.734898355,1.207348984,,205.636372082,215.470553613,3.159525903,3.305418668,3.368500793,,,,,
streamflow,pipeline,long,1,2,189.152970542,217.090655833,27.937685291,14.769889794,1.147698898,,195.074750341,204.456773623,3.115009028,3.064896043,3.201726585,,,,,
streamflow,pipeline,long,1,3,190.055387625,242.187945667,52.132558042,27.430192163,1.274301922,,220.841987658,230.260708996,3.112075959,3.123765751,3.182543585,,,,,
streamflow,scatter_gather,short,1,1,4.870725375,35.965944708,31.095219333,638.410440724,7.384104407,3.345409376,3.236800627,21.074061204,3.043781210,,,3.156392793,4.273926529,4.362469127,3.000102835,0.000000000
streamflow,scatter_gather,short,1,2,4.758971875,35.455591334,30.696619459,645.026284359,7.450262844,3.243388876,3.277788919,21.377208469,3.031719502,,,3.224459085,4.450577252,4.301182127,3.090775794,0.000000000
streamflow,scatter_gather,short,1,3,4.818791625,35.483774291,30.664982666,636.362496085,7.363624961,3.235519585,3.240929627,21.624719163,3.126363709,,,3.190554960,4.523536877,4.557760738,2.984963543,0.000000000
streamflow,scatter_gather,short,1,4,4.786549875,34.677055583,29.890505708,624.468698511,7.244686985,3.244439335,3.249864210,20.843230163,2.827373210,,,3.145441543,4.130942154,4.474705586,3.014345043,0.000000000
streamflow,scatter_gather,short,1,5,4.798904208,34.721958000,29.923053792,623.539301787,7.235393018,3.292398084,3.277716168,21.190050218,3.063379002,,,3.160263710,4.479375336,4.203657585,3.004865293,0.000000000
streamflow,scatter_gather,short,2,1,3.322996959,34.149347833,30.826350874,927.667140667,10.276671407,1.668586084,1.887641543,20.524406135,3.069766752,,,3.146212293,4.425529918,4.989742419,3.004894002,0.288947167
streamflow,scatter_gather,short,2,2,3.291543291,34.971558334,31.680015043,962.466911179,10.624669112,1.646494209,1.788597460,20.606573328,3.066087168,,,3.263746543,4.606910460,4.799364279,3.081150168,0.196071251
streamflow,scatter_gather,short,2,3,3.265822542,34.372722208,31.106899666,952.498161365,10.524981614,1.659542001,1.809163001,20.217496828,3.077843002,,,3.057959419,4.709167446,4.783647169,2.779043959,0.214244875
streamflow,scatter_gather,short,2,4,3.291475833,34.069360333,30.777884500,935.078550218,10.350785502,1.677176668,1.884597459,20.187532995,3.015233654,,,3.116745043,4.512759461,4.710516752,2.946984751,0.283199666
streamflow,scatter_gather,short,2,5,3.291497625,33.729685583,30.438187958,924.751934403,10.247519344,1.659160903,1.879048793,20.154545384,3.028063210,,,3.044220585,4.520808960,4.654466877,3.027171668,0.284753292
streamflow,scatter_gather,short,4,1,2.712171709,36.738198416,34.026026707,1254.567570117,13.545675701,0.924906084,0.963102042,22.653526330,2.981132710,,,3.144015126,5.879397128,6.676367905,3.008814210,0.135077041
streamflow,scatter_gather,short,4,2,2.658725083,36.650261709,33.991536626,1278.490086972,13.784900870,0.919148292,1.218294584,22.695250580,3.137260668,,,3.217991210,5.715919697,6.402683336,3.002349085,0.419587792
streamflow,scatter_gather,short,4,3,2.773232208,36.426600292,33.653368084,1213.507040158,13.135070402,0.918789792,1.078868626,22.406804038,3.037122362,,,3.188567043,5.700649377,6.610244586,2.790677877,0.241240542
streamflow,scatter_gather,short,4,4,2.729925708,36.462752750,33.732827042,1235.668316656,13.356683167,0.898939084,1.012814834,22.274464260,3.042482960,,,3.169580877,5.688714628,6.364876295,2.995219168,0.181802958
streamflow,scatter_gather,short,4,5,2.828279958,36.739453916,33.911173958,1199.003438895,12.990034389,0.947573709,1.118885208,22.124614829,2.953030585,,,2.901293835,5.953676420,6.307811739,2.889163960,0.284863083
streamflow,scatter_gather,medium,1,1,43.447310333,75.762019083,32.314708750,74.376776151,1.743767762,41.798674756,42.379239158,60.563240209,3.117343377,,,3.247571335,4.462676711,4.349255002,3.006523084,0.000000000
streamflow,scatter_gather,medium,1,2,43.889366500,73.912381084,30.023014584,68.406124258,1.684061243,43.705183826,42.123156547,60.005388750,2.948727543,,,3.114824279,4.366878002,4.357323502,3.093768960,0.000000000
streamflow,scatter_gather,medium,1,3,43.183944375,74.776507875,31.592563500,73.158123829,1.731581238,41.792006964,42.357023214,60.186056958,2.844375127,,,3.207920251,4.103368169,4.450632863,3.222040001,0.000000000
streamflow,scatter_gather,medium,1,4,42.979553250,74.994928792,32.015375542,74.489782050,1.744897821,42.313649200,42.367865575,60.623133667,3.029148168,,,3.037515585,4.476554627,4.636651252,3.074738793,0.000000000
streamflow,scatter_gather,medium,1,5,43.043683416,74.609420333,31.565736917,73.334190785,1.733341908,42.187893589,42.070863048,60.374050750,3.003333251,,,3.121754543,4.406494738,4.275581793,3.495253835,0.000000000
streamflow,scatter_gather,medium,2,1,22.634879417,54.243895667,31.609016250,139.647380786,2.396473808,21.221767579,21.656801871,40.463556713,3.141990418,,,3.242848334,4.712528419,4.723955127,2.984692459,0.048504750
streamflow,scatter_gather,medium,2,2,22.709156625,53.715174125,31.006017500,136.535310457,2.365353105,21.063303301,21.453707385,39.893024824,3.073657418,,,3.051505904,4.515280336,4.769803113,3.028311752,0.350712917
streamflow,scatter_gather,medium,2,3,22.498779917,55.426163375,32.927383458,146.351862543,2.463518625,21.098148954,21.752457912,40.958155047,3.206030501,,,3.269962626,4.790992003,4.913634503,3.024320710,0.119056666
streamflow,scatter_gather,medium,2,4,22.720374125,55.741758583,33.021384458,145.338207357,2.453382074,21.208629329,21.576856288,40.930647005,3.166242960,,,3.466113544,4.749480585,4.857118252,3.113966710,0.219581042
streamflow,scatter_gather,medium,2,5,22.709349292,55.553854833,32.844505541,144.629884012,2.446298840,23.449219913,21.887701746,40.483525380,2.902010210,,,3.185720668,4.934312211,4.572755710,3.000332793,0.059922250
streamflow,scatter_gather,medium,4,1,12.504076125,47.792935166,35.288859041,282.218843585,3.822188436,10.707906464,11.172344699,33.614249335,3.112799460,,,3.164208168,6.130208461,6.976931379,3.057020085,0.251887583
streamflow,scatter_gather,medium,4,2,12.431469625,46.571864583,34.140394958,274.628792796,3.746287928,10.768308797,11.302600866,32.166050793,3.026621918,,,3.068201126,5.594104336,6.209724961,2.963997418,0.577027208
streamflow,scatter_gather,medium,4,3,12.524340625,51.463065291,38.938724666,310.904388757,4.109043888,10.790708574,11.789655714,35.927222711,3.291961960,,,3.217712877,6.337786447,8.170034963,3.119072334,0.358692417
streamflow,scatter_gather,medium,4,4,12.538547792,47.163554083,34.625006291,276.148457265,3.761484573,10.697027713,11.055530130,32.809610543,3.191023085,,,3.109281459,5.898644072,6.603797503,2.950417585,0.150861208
streamflow,scatter_gather,medium,4,5,12.476413166,46.308610708,33.832197542,271.169262286,3.711692623,11.036350408,11.422958755,32.371146501,3.072484627,,,3.135393751,5.486166030,6.264139045,2.989240169,0.577693667
streamflow,scatter_gather,long,1,1,194.738868250,228.407241458,33.668373208,17.288984737,1.172889847,192.522027547,194.902134465,213.684914626,3.093098168,,,3.221290002,4.416781613,4.985777086,3.065102918,0.000000000
streamflow,scatter_gather,long,1,2,194.211147708,227.602876041,33.391728333,17.193517842,1.171935178,193.611503548,194.892537993,213.131849960,3.060378543,,,3.199198418,4.561727877,4.236464627,3.180885960,0.000000000
streamflow,scatter_gather,long,1,3,194.700869958,228.417651208,33.716781250,17.317221673,1.173172217,192.612407783,195.755081327,213.500506710,2.840930710,,,3.231699960,4.195048918,4.326163960,3.150733085,0.000000000
streamflow,scatter_gather,long,2,1,97.795874250,131.915283333,34.119409083,34.888393140,1.348883931,98.247300504,99.017483212,117.501430415,3.079049168,,,3.200218793,4.551880961,4.591243571,3.060919751,0.204121000
streamflow,scatter_gather,long,2,2,98.219064916,131.834590500,33.615525584,34.225051534,1.342250515,96.762070003,98.684169712,116.927373748,3.132936571,,,3.201763752,4.494542002,4.378882544,3.034439127,0.150999750
streamflow,scatter_gather,long,2,3,98.291817292,131.794690625,33.502873333,34.085109276,1.340851093,96.395934656,98.927346531,117.246584874,3.012686919,,,3.156319168,4.554151586,4.497213586,3.098026210,0.159281708
streamflow,scatter_gather,long,4,1,53.916301292,85.184955750,31.268654458,57.994806225,1.579948062,49.000418009,50.428673246,71.165669547,3.065333293,,,3.146377252,5.883580586,5.577455627,3.063468210,0.398341667
streamflow,scatter_gather,long,4,2,51.435008250,87.556839209,36.121830959,70.228103753,1.702281038,58.924819124,52.282411996,72.861772867,3.107699696,,,3.105833418,5.465464628,5.742325753,3.157189501,0.751108167
streamflow,scatter_gather,long,4,3,50.210883667,87.696628333,37.485744666,74.656612129,1.746566121,48.703785745,50.971464495,73.068048922,3.113538376,,,3.257368668,5.950660128,6.530728337,3.243457543,0.552787250
