system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,4.317313000,0.062263000,0.060838000,0.061784000,,,,,,
streamflow,pipeline,medium,1,54.210230000,0.061697000,0.061780000,0.063816000,,,,,,
streamflow,pipeline,long,1,249.992907000,0.057600000,0.062377000,0.079911000,,,,,,
streamflow,scatter_gather,short,1,4.388153000,0.056999000,,,0.055807000,0.059311000,0.063740000,0.055948000,0.000000000,4.098133000
streamflow,scatter_gather,short,2,2.348192000,0.053671000,,,0.050851000,0.057608000,0.062348000,0.051204000,0.008182000,2.066517000
streamflow,scatter_gather,short,4,1.343449000,0.053043000,,,0.050776000,0.061988000,0.070449000,0.051467000,0.035098000,1.054748000
streamflow,scatter_gather,medium,1,53.771739000,0.054456000,,,0.051965000,0.056222000,0.074225000,0.056278000,0.000000000,53.466944000
streamflow,scatter_gather,medium,2,27.331748000,0.053810000,,,0.050943000,0.059795000,0.068687000,0.050232000,0.009454000,27.040913000
streamflow,scatter_gather,medium,4,13.895709000,0.054822000,,,0.051853000,0.063663000,0.076114000,0.052861000,0.040005000,13.592662000
streamflow,scatter_gather,long,1,246.215431000,0.061977000,,,0.055795000,0.064592000,0.078077000,0.052641000,0.000000000,245.900393000
streamflow,scatter_gather,long,2,124.818167000,0.055302000,,,0.055612000,0.061116000,0.068343000,0.053240000,0.009620000,124.526388000
streamflow,scatter_gather,long,4,63.904026000,0.059659000,,,0.052018000,0.064019000,0.101024000,0.063966000,0.039649000,63.535205000
