system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
streamflow,pipeline,short,1,1,4.273417375,5.996264500,1.722847125,40.315442509,1.403154425,,,4.318062000,0.061418000,0.061082000,0.065482000,,,,,
streamflow,pipeline,short,1,2,4.258192125,5.884429125,1.626237000,38.190785015,1.381907850,,,4.307763000,0.061528000,0.058525000,0.061224000,,,,,
streamflow,pipeline,short,1,3,4.250353333,5.802576333,1.552223000,36.519857960,1.365198580,,,4.317313000,0.066527000,0.061738000,0.061784000,,,,,
streamflow,pipeline,short,1,4,4.266421916,5.799560250,1.533138334,35.934991059,1.359349911,,,4.317415000,0.065012000,0.060838000,0.061797000,,,,,
streamflow,pipeline,short,1,5,4.297338084,5.808177583,1.510839499,35.157566601,1.351575666,,,4.310558000,0.062263000,0.060341000,0.060446000,,,,,
streamflow,pipeline,medium,1,1,54.118148375,55.555320166,1.437171791,2.655618926,1.026556189,,,54.086814000,0.061697000,0.060416000,0.061803000,,,,,
streamflow,pipeline,medium,1,2,54.296598375,56.055027083,1.758428708,3.238561458,1.032385615,,,54.210230000,0.058182000,0.061780000,0.071377000,,,,,
streamflow,pipeline,medium,1,3,54.123722500,56.493720167,2.369997667,4.378851929,1.043788519,,,54.449097000,0.070276000,0.078930000,0.063816000,,,,,
streamflow,pipeline,medium,1,4,54.318515875,56.271023125,1.952507250,3.594551910,1.035945519,,,54.409289000,0.057703000,0.059505000,0.068827000,,,,,
streamflow,pipeline,medium,1,5,53.767236750,55.810309166,2.043072416,3.799846411,1.037998464,,,53.786051000,0.061845000,0.061808000,0.059708000,,,,,
streamflow,pipeline,long,1,1,246.696763708,252.019442333,5.322678625,2.157579429,1.021575794,,,250.276767000,0.057600000,0.060537000,0.079911000,,,,,
streamflow,pipeline,long,1,2,246.840311042,250.991911417,4.151600375,1.681897239,1.016818972,,,248.964421000,0.055066000,0.062377000,0.080502000,,,,,
streamflow,pipeline,long,1,3,249.318438292,252.050641375,2.732203083,1.095868842,1.010958688,,,249.992907000,0.057680000,0.064792000,0.078842000,,,,,
streamflow,scatter_gather,short,1,1,4.308542375,7.456724542,3.148182167,73.068381209,1.730683812,4.093680000,4.103873000,4.408544000,0.058740000,,,0.055807000,0.059311000,0.072504000,0.056442000,0.000000000
streamflow,scatter_gather,short,1,2,4.408466750,6.411545250,2.003078500,45.437078550,1.454370786,4.191653000,4.160095000,4.475723000,0.066179000,,,0.060281000,0.063979000,0.065615000,0.057697000,0.000000000
