system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
aiida,pipeline,short,1,9.578542,1.948167,1.953748,1.904576,,,,,,
aiida,pipeline,medium,1,53.926550,1.939847,2.031651,2.066612,,,,,,
aiida,pipeline,long,1,226.982625,1.931612,1.940276,2.109930,,,,,,
aiida,scatter_gather,short,1,13.435200,1.951722,,,1.947914,1.953324,2.018658,1.943173,0.000000,3.590610
aiida,scatter_gather,short,2,12.457265,1.937632,,,1.959350,2.506967,2.260615,1.976389,0.029014,1.832777
aiida,scatter_gather,short,4,13.064830,1.930457,,,1.948893,2.580912,2.655754,1.974547,1.010966,1.913529
aiida,scatter_gather,medium,1,56.031150,1.942197,,,1.946417,1.964718,2.006168,1.937158,0.000000,46.174787
aiida,scatter_gather,medium,2,35.183022,1.933560,,,1.949182,2.393370,2.146577,1.937848,0.024113,24.781271
aiida,scatter_gather,medium,4,23.899404,1.969311,,,1.928775,2.580709,2.616235,1.947168,0.969855,12.735937
aiida,scatter_gather,long,1,220.539574,1.944169,,,2.009989,1.969028,1.976288,1.939489,0.000000,210.496507
aiida,scatter_gather,long,2,118.615964,1.933609,,,1.937984,2.407758,2.177676,1.948429,0.032005,107.936453
aiida,scatter_gather,long,4,67.351982,1.934000,,,1.932165,2.650215,2.604542,1.961314,0.961419,56.110019
