system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,3.752265,12.494810,8.742545,232.993786,3.329938,,,9.619797,1.948167,2.025183,1.904576,,,,,
aiida,pipeline,short,1,2,3.835580,12.269551,8.433970,219.887746,3.198877,,,9.578542,1.948518,1.940727,1.976544,,,,,
aiida,pipeline,short,1,3,3.812615,12.310153,8.497538,222.879538,3.228795,,,9.551057,1.991346,1.939697,1.862145,,,,,
aiida,pipeline,short,1,4,3.846210,12.443250,8.597040,223.519740,3.235197,,,9.695900,1.932445,2.013935,2.048446,,,,,
aiida,pipeline,short,1,5,3.819828,12.216929,8.397101,219.829262,3.198293,,,9.513744,1.941474,1.953748,1.896932,,,,,
aiida,pipeline,medium,1,1,47.300907,56.753929,9.453022,19.984864,1.199849,,,53.946831,1.945795,2.078826,2.070321,,,,,
aiida,pipeline,medium,1,2,47.242716,55.963655,8.720939,18.459860,1.184599,,,52.943924,1.981878,1.969774,1.948920,,,,,
aiida,pipeline,medium,1,3,48.109503,56.425993,8.316490,17.286585,1.172866,,,53.659165,1.939276,2.032420,2.066612,,,,,
aiida,pipeline,medium,1,4,47.794073,56.623695,8.829622,18.474303,1.184743,,,53.926550,1.939847,2.031651,2.022585,,,,,
aiida,pipeline,medium,1,5,48.325776,57.376676,9.050900,18.728929,1.187289,,,54.359809,1.932076,1.965064,2.129173,,,,,
aiida,pipeline,long,1,1,222.711588,229.740308,7.028720,3.155974,1.031560,,,226.982625,1.957339,1.971506,1.996229,,,,,
aiida,pipeline,long,1,2,248.263393,230.715962,-17.547430,-7.068070,0.929319,,,227.832367,1.931612,1.935669,2.143288,,,,,
aiida,pipeline,long,1,3,221.259861,229.295323,8.035462,3.631685,1.036317,,,226.521722,1.927888,1.940276,2.109930,,,,,
aiida,scatter_gather,short,1,1,3.858518,16.421090,12.562571,325.580208,4.255802,3.634313,3.599694,13.380227,1.903233,,,2.026792,1.941100,1.955173,1.944437,0.000000
aiida,scatter_gather,short,1,2,3.787379,16.678998,12.891619,340.383675,4.403837,3.574151,3.556463,13.608317,2.095361,,,1.947914,1.959608,2.018658,2.021212,0.000000
aiida,scatter_gather,short,1,3,3.693917,16.418328,12.724412,344.469382,4.444694,3.478981,3.590610,13.432797,1.951722,,,1.931923,1.944614,2.061500,1.942468,0.000000
aiida,scatter_gather,short,1,4,3.772592,16.433062,12.660470,335.590763,4.355908,3.559496,3.647785,13.525666,2.021286,,,1.951145,1.953324,1.999589,1.942606,0.000000
aiida,scatter_gather,short,1,5,4.588890,16.314768,11.725879,255.527584,3.555276,4.375158,3.549451,13.435200,1.930756,,,1.937084,2.021181,2.044001,1.943173,0.000000
aiida,scatter_gather,short,2,1,1.993299,15.392105,13.398806,672.192613,7.721926,1.778006,1.832777,12.453039,1.922387,,,2.058799,2.489570,2.179241,1.959008,0.029014
aiida,scatter_gather,short,2,2,2.027517,15.392950,13.365433,659.202148,7.592021,1.816314,1.835019,12.457265,1.912514,,,1.959350,2.472393,2.316797,1.950272,0.081003
aiida,scatter_gather,short,2,3,2.034440,15.352804,13.318364,654.645130,7.546451,1.821730,1.818293,12.417496,1.945848,,,1.947733,2.511511,2.206491,1.976389,0.011940
aiida,scatter_gather,short,2,4,2.036066,15.635177,13.599110,667.910942,7.679109,1.819648,1.827389,12.726243,1.937632,,,1.972981,2.506967,2.424768,2.044695,0.024066
aiida,scatter_gather,short,2,5,1.988782,15.538757,13.549976,681.320456,7.813205,1.773153,1.844201,12.597995,1.971014,,,1.955675,2.508436,2.260615,2.046429,0.037829
aiida,scatter_gather,short,4,1,1.300486,16.084060,14.783574,1136.772572,12.367726,1.080157,1.891894,13.056470,1.930457,,,1.954136,2.679207,2.599534,1.986566,0.994918
aiida,scatter_gather,short,4,2,1.803822,16.002507,14.198685,787.144540,8.871445,1.586820,1.796717,13.034100,2.039832,,,1.948893,2.675422,2.583828,1.974547,0.884978
aiida,scatter_gather,short,4,3,1.126530,16.589437,15.462907,1372.614170,14.726142,0.910736,2.001772,13.634368,2.020937,,,1.945658,2.580912,3.044642,2.026062,1.097027
aiida,scatter_gather,short,4,4,1.134390,16.011113,14.876723,1311.429228,14.114292,0.905257,1.939388,13.066852,1.925389,,,1.928240,2.543955,2.756981,1.958829,1.023025
aiida,scatter_gather,short,4,5,1.133427,16.082642,14.949215,1318.939221,14.189392,0.912008,1.913529,13.064830,1.914282,,,2.074606,2.534432,2.655754,1.957829,1.010966
aiida,scatter_gather,medium,1,1,46.705362,59.193962,12.488600,26.739113,1.267391,46.469369,46.233415,56.031150,1.942197,,,1.946751,2.044442,1.896212,1.958646,0.000000
aiida,scatter_gather,medium,1,2,46.570362,59.183607,12.613245,27.084275,1.270843,46.318221,46.484058,56.280684,1.946295,,,1.942480,1.964718,2.008715,1.924986,0.000000
aiida,scatter_gather,medium,1,3,46.210075,58.049983,11.839907,25.621917,1.256219,45.966117,45.191703,55.139104,2.069657,,,1.999020,1.950192,2.006168,1.913010,0.000000
