system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
aiida,pipeline,short,1,3.820892,21.443340,17.622448,461.212921,5.612129,,
aiida,pipeline,medium,1,47.800597,65.913636,18.113039,37.892915,1.378929,,
aiida,pipeline,long,1,225.318278,237.600269,12.281992,5.450952,1.054510,,
aiida,scatter_gather,short,1,3.703632,30.029715,26.326083,710.817977,8.108180,3.486904,3.545803
aiida,scatter_gather,short,2,2.001286,30.025481,28.024194,1400.309038,15.003090,1.787691,1.924621
aiida,scatter_gather,short,4,1.126242,33.263009,32.136767,2853.450174,29.534502,0.910328,4.258347
aiida,scatter_gather,medium,1,46.672689,71.954100,25.281411,54.167462,1.541675,46.438283,45.473015
aiida,scatter_gather,medium,2,23.289102,51.482551,28.193448,121.058545,2.210585,23.074181,23.514385
aiida,scatter_gather,medium,4,11.997690,44.007935,32.010245,266.803409,3.668034,11.777296,14.789625
aiida,scatter_gather,long,1,211.484635,241.595329,30.110694,14.237769,1.142378,211.253108,213.154586
aiida,scatter_gather,long,2,106.531448,135.926861,29.395413,27.593179,1.275932,106.295200,107.959873
aiida,scatter_gather,long,4,54.360134,86.256351,31.896217,58.675752,1.586758,54.119482,57.472912
