system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
aiida,pipeline,short,1,15.817941,4.023730,4.113621,4.000588,,,,,,
aiida,pipeline,medium,1,60.368821,4.069788,4.126919,4.258413,,,,,,
aiida,pipeline,long,1,231.909596,4.051122,4.082474,4.048358,,,,,,
aiida,scatter_gather,short,1,24.013453,4.042309,,,4.102461,4.176821,4.035689,4.111798,0.000000,3.545803
aiida,scatter_gather,short,2,24.013250,4.048468,,,4.094863,5.211829,4.577038,4.132087,0.112901,1.924621
aiida,scatter_gather,short,4,27.239872,4.043516,,,4.104484,5.445041,5.244607,4.146244,3.353939,4.258347
aiida,scatter_gather,medium,1,65.953356,4.063801,,,4.053110,4.183591,3.944012,4.060670,0.000000,45.473015
aiida,scatter_gather,medium,2,45.522455,4.053704,,,4.108115,5.193675,4.461559,4.128057,0.115981,23.514385
aiida,scatter_gather,medium,4,37.959100,4.121483,,,4.115835,5.444485,5.113046,4.151443,2.994988,14.789625
aiida,scatter_gather,long,1,235.280125,4.161444,,,4.068587,4.192864,3.999628,4.100836,0.000000,213.154586
aiida,scatter_gather,long,2,129.928423,4.084442,,,4.112445,5.177307,4.380199,4.113298,0.108066,107.959873
aiida,scatter_gather,long,4,80.260821,4.065298,,,4.056970,5.388723,5.072565,4.114247,3.023891,57.472912
