system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
Merlin,Pipeline,short,1,1,3.331572908,5.359068616,2.027495708,60.857011507,1.608570115,,,3.610412134,0.142329871,0.135436982,0.153546758,,,,,
Merlin,Pipeline,short,1,2,3.346009863,4.927018557,1.581008694,47.250568849,1.472505688,,,3.590760544,0.132674108,0.133772740,0.152234509,,,,,
Merlin,Pipeline,short,1,3,3.264546514,4.871269170,1.606722656,49.217330772,1.492173308,,,3.538660397,0.133339268,0.132672318,0.153588781,,,,,
Merlin,Pipeline,short,1,4,3.268849822,4.905145964,1.636296142,50.057244325,1.500572443,,,3.566004187,0.134868453,0.132880215,0.155562940,,,,,
Merlin,Pipeline,short,1,5,3.240112657,4.808978455,1.568865798,48.420100289,1.484201003,,,3.491358302,0.132816296,0.133564784,0.152625167,,,,,
Merlin,Pipeline,medium,1,1,41.228584503,45.109028652,3.880444149,9.412023711,1.094120237,,,43.203503306,0.137702838,0.135427064,0.177677422,,,,,
Merlin,Pipeline,medium,1,2,40.535780480,44.616443728,4.080663248,10.066818005,1.100668180,,,42.689000623,0.137257949,0.133429931,0.177060594,,,,,
Merlin,Pipeline,medium,1,3,41.670060018,45.012021484,3.341961466,8.020054362,1.080200544,,,42.988340899,0.141010473,0.139010056,0.181134044,,,,,
Merlin,Pipeline,medium,1,4,40.892645950,49.006282352,8.113636402,19.841309393,1.198413094,,,47.060498552,0.139213167,0.135678293,0.177073681,,,,,
Merlin,Pipeline,medium,1,5,41.338722268,46.052373349,4.713651081,11.402507921,1.114025079,,,44.146018646,0.150098075,0.136299342,0.180167059,,,,,
Merlin,Pipeline,long,1,1,184.438679645,187.022613406,2.583933761,1.400971730,1.014009717,,,185.098698438,0.139019724,0.134467155,0.175233774,,,,,
Merlin,Pipeline,long,1,2,184.421313424,192.603018017,8.181704593,4.436420304,1.044364203,,,190.657633537,0.137379659,0.133770225,0.179490370,,,,,
Merlin,Pipeline,long,1,3,188.376181829,188.365924588,-0.010257241,-0.005445084,0.999945549,,,186.454695237,0.140088875,0.133693517,0.176670303,,,,,
