system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
nextflow,pipeline,short,1,3.443302152,0.123569288,0.090481353,0.119443213,,,,,,
nextflow,pipeline,medium,1,40.855369149,0.122783704,0.091609568,0.143015121,,,,,,
nextflow,pipeline,long,1,188.742391979,0.123998803,0.095702699,0.147102239,,,,,,
nextflow,scatter_gather,short,1,3.826130634,0.117516167,,,0.100472554,0.106832777,0.116810422,0.102170183,0.000000000,3.265506386
nextflow,scatter_gather,short,2,2.211046980,0.121019120,,,0.103423971,0.105517529,0.116622061,0.083760268,0.006703492,1.674741833
nextflow,scatter_gather,short,4,1.391608510,0.120771322,,,0.103003388,0.109526681,0.131477400,0.083364269,0.020694139,0.847506507
nextflow,scatter_gather,medium,1,43.237126592,0.123659104,,,0.104211115,0.107660171,0.147693593,0.087278277,0.000000000,42.641443901
nextflow,scatter_gather,medium,2,21.783409160,0.120037902,,,0.102828698,0.121825766,0.119657966,0.087189385,0.005781100,21.183954864
nextflow,scatter_gather,medium,4,11.428090879,0.122138092,,,0.102747821,0.107237624,0.127811632,0.085434133,0.022961318,10.856517412
nextflow,scatter_gather,long,1,199.084339457,0.129701276,,,0.100898897,0.108431820,0.149212229,0.084882447,0.000000000,198.397181628
nextflow,scatter_gather,long,2,101.254341786,0.127126620,,,0.101127425,0.105265177,0.161335831,0.088629487,0.006531813,100.642772080
nextflow,scatter_gather,long,4,50.181622780,0.124343226,,,0.103823484,0.114833429,0.156529404,0.086366806,0.022875167,49.586745257
