system,workflow_pattern,workload,chunks,reference_outer_runtime_seconds_median,nextflow_outer_runtime_seconds_median,workflow_execution_overhead_seconds_median,workflow_execution_overhead_percent_median,reference_task_span_seconds_median,nextflow_task_span_seconds_median,reference_compute_phase_seconds_median,nextflow_compute_phase_seconds_median,reference_start_spread_seconds_median,nextflow_start_spread_seconds_median,reference_max_concurrent_compute_tasks_median,nextflow_max_concurrent_compute_tasks_median,nextflow_generate_to_preprocess_latency_seconds_median,reference_generate_to_preprocess_latency_seconds_median,nextflow_preprocess_to_compute_latency_seconds_median,reference_preprocess_to_compute_latency_seconds_median,nextflow_compute_to_postprocess_latency_seconds_median,reference_compute_to_postprocess_latency_seconds_median,nextflow_preprocess_to_split_latency_seconds_median,reference_preprocess_to_split_latency_seconds_median,nextflow_split_to_first_compute_latency_seconds_median,reference_split_to_first_compute_latency_seconds_median,nextflow_last_compute_to_aggregate_latency_seconds_median,reference_last_compute_to_aggregate_latency_seconds_median,nextflow_aggregate_to_postprocess_latency_seconds_median,reference_aggregate_to_postprocess_latency_seconds_median
nextflow,pipeline,short,1,3.279299458,6.742587488,3.463288030,105.610606000,3.223391561,3.443302152,3.096112173,3.100660157,0.000000000,0.000000000,1.000000000,1.000000000,0.123569288,0.033158894,0.090481353,0.031489341,0.119443213,0.056192639,,,,,,,,
nextflow,pipeline,medium,1,40.555484184,44.177632716,3.622148532,8.931341000,40.498479187,40.855369149,40.344732355,40.494690527,0.000000000,0.000000000,1.000000000,1.000000000,0.122783704,0.032599202,0.091609568,0.031853128,0.143015121,0.083300356,,,,,,,,
nextflow,pipeline,long,1,189.210171872,192.063689155,3.767751060,1.991305000,189.153293259,188.742391979,188.996553704,188.370647911,0.000000000,0.000000000,1.000000000,1.000000000,0.123998803,0.032687184,0.095702699,0.031698862,0.147102239,0.085386740,,,,,,,,
nextflow,scatter_gather,short,1,3.483332517,7.141554158,3.659552114,105.058937000,3.427438374,3.826130634,3.231224235,3.265506386,0.000000000,0.000000000,1.000000000,1.000000000,0.117516167,0.032441698,,,,,0.100472554,0.035087839,0.106832777,0.033400197,0.116810422,0.055448417,0.102170183,0.030673600
nextflow,scatter_gather,short,2,1.898944600,5.543217446,3.644272846,191.910435000,1.840599243,2.211046980,1.643457472,1.674741833,0.000687516,0.006703492,2.000000000,2.000000000,0.121019120,0.033155544,,,,,0.103423971,0.031360138,0.105517529,0.031278773,0.116622061,0.056903277,0.083760268,0.030792400
nextflow,scatter_gather,short,4,1.080229684,4.764547135,3.691715653,343.606233000,1.023816062,1.391608510,0.823979332,0.847506507,0.000698341,0.020694139,4.000000000,4.000000000,0.120771322,0.035128905,,,,,0.103003388,0.032045210,0.109526681,0.032189991,0.131477400,0.050050605,0.083364269,0.031639713
nextflow,scatter_gather,medium,1,42.914873641,46.419448623,4.052997870,9.444273000,42.858310569,43.237126592,42.639570901,42.641443901,0.000000000,0.000000000,1.000000000,1.000000000,0.123659104,0.032875947,,,,,0.104211115,0.031423552,0.107660171,0.039193437,0.147693593,0.082121834,0.087278277,0.031175118
nextflow,scatter_gather,medium,2,21.811727320,25.097266706,3.261168746,14.951447000,21.754101614,21.783409160,21.546636865,21.183954864,0.000272520,0.005781100,2.000000000,2.000000000,0.120037902,0.033395443,,,,,0.102828698,0.031821364,0.121825766,0.039420569,0.119657966,0.057102385,0.087189385,0.031055905
nextflow,scatter_gather,medium,4,11.079384194,14.779731984,3.635328272,32.662805000,11.024590969,11.428090879,10.821184631,10.856517412,0.000473593,0.022961318,4.000000000,4.000000000,0.122138092,0.032912770,,,,,0.102747821,0.031651510,0.107237624,0.032771831,0.127811632,0.057809245,0.085434133,0.031053110
nextflow,scatter_gather,long,1,197.440137489,202.489434446,5.016200774,2.540193000,197.381944958,199.084339457,197.135449879,198.397181628,0.000000000,0.000000000,1.000000000,1.000000000,0.129701276,0.037621306,,,,,0.100898897,0.031541289,0.108431820,0.038860916,0.149212229,0.081694137,0.084882447,0.031039769
nextflow,scatter_gather,long,2,99.989239989,104.610289847,6.948427186,7.114781000,99.926627745,101.254341786,99.688295215,100.642772080,0.000373231,0.006531813,2.000000000,2.000000000,0.127126620,0.033365543,,,,,0.101127425,0.032214557,0.105265177,0.043898135,0.161335831,0.081606326,0.088629487,0.031021397
nextflow,scatter_gather,long,4,50.500232961,53.549273862,2.691764709,5.292758000,50.442506566,50.181622780,50.213363355,49.586745257,0.000509560,0.022875167,4.000000000,4.000000000,0.124343226,0.033081195,,,,,0.103823484,0.031554530,0.114833429,0.037139649,0.156529404,0.079855451,0.086366806,0.031303303
