system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
aiida,pipeline,short,1,14.943571,3.718974,3.789023,3.713254,,,,,,
aiida,pipeline,medium,1,58.594966,3.731442,3.765541,3.656646,,,,,,
aiida,pipeline,long,1,227.095228,3.662619,3.735687,3.687446,,,,,,
aiida,scatter_gather,short,1,22.249869,3.701398,,,3.730516,3.840590,3.529478,3.747255,0.000000,3.577984
aiida,scatter_gather,short,2,22.184104,3.710422,,,3.756955,4.736955,4.196077,3.742557,0.100989,1.905021
aiida,scatter_gather,short,4,25.473046,3.742432,,,3.767082,5.148008,4.986279,3.846056,3.096955,4.019644
aiida,scatter_gather,medium,1,65.227469,3.759577,,,3.758030,3.869028,3.676557,3.774388,0.000000,46.419952
aiida,scatter_gather,medium,2,44.033981,3.699268,,,3.763763,4.795913,4.205386,3.767796,0.109007,23.493238
aiida,scatter_gather,medium,4,36.346224,3.752967,,,3.812947,5.139602,4.962226,3.902474,2.852395,14.636470
aiida,scatter_gather,long,1,228.438158,3.746149,,,3.738647,3.810486,3.506673,3.760110,0.000000,209.922649
aiida,scatter_gather,long,2,129.092400,3.690332,,,3.791949,4.776849,3.968409,3.721944,0.095034,109.186481
aiida,scatter_gather,long,4,78.854015,3.697094,,,3.806425,5.080956,4.778630,3.790226,2.988999,57.737959
