system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,4.409864,20.592763,16.182899,366.970484,4.669705,,,15.154311,3.821580,3.855786,3.704438,,,,,
aiida,pipeline,short,1,2,3.720380,20.004516,16.284136,437.700865,5.377009,,,14.866341,3.687446,3.789706,3.713254,,,,,
aiida,pipeline,short,1,3,3.722896,19.950445,16.227549,435.885087,5.358851,,,14.880991,3.728707,3.747937,3.580068,,,,,
aiida,pipeline,short,1,4,3.754388,20.024851,16.270463,433.371870,5.333719,,,14.946450,3.710934,3.789023,3.717155,,,,,
aiida,pipeline,short,1,5,3.740902,19.989230,16.248328,434.342502,5.343425,,,14.943571,3.718974,3.740029,3.821796,,,,,
aiida,pipeline,medium,1,1,48.431058,63.660084,15.229027,31.444753,1.314448,,,58.594966,3.678531,3.755284,3.924022,,,,,
aiida,pipeline,medium,1,2,46.706232,63.543694,16.837462,36.049712,1.360497,,,58.084207,3.780558,3.786383,3.589230,,,,,
aiida,pipeline,medium,1,3,47.128070,63.967023,16.838953,35.730198,1.357302,,,58.857174,3.731442,3.814729,3.599538,,,,,
aiida,pipeline,medium,1,4,53.283055,63.735145,10.452089,19.616160,1.196162,,,58.619617,3.704369,3.765180,3.729464,,,,,
aiida,pipeline,medium,1,5,47.814386,63.535209,15.720824,32.878857,1.328789,,,58.229280,3.837944,3.765541,3.656646,,,,,
aiida,pipeline,long,1,1,219.628582,232.165515,12.536933,5.708243,1.057082,,,227.095228,3.662619,3.746831,3.687420,,,,,
aiida,pipeline,long,1,2,218.787928,238.002146,19.214219,8.782120,1.087821,,,232.598636,3.756823,3.735687,3.687446,,,,,
aiida,pipeline,long,1,3,220.827466,231.463521,10.636055,4.816455,1.048165,,,226.421726,3.660312,3.685494,3.753375,,,,,
aiida,scatter_gather,short,1,1,3.692185,27.819766,24.127581,653.477051,7.534771,3.489230,3.551510,22.359747,4.030068,,,3.757385,3.828820,3.529478,3.654322,0.000000
aiida,scatter_gather,short,1,2,3.814795,27.470205,23.655410,620.096422,7.200964,3.618111,3.577984,22.007036,3.701398,,,3.730195,3.840590,3.403966,3.744000,0.000000
aiida,scatter_gather,short,1,3,3.642233,29.747963,26.105730,716.750715,8.167507,3.441240,3.611848,24.324218,3.713432,,,3.730080,3.907396,5.552588,3.800675,0.000000
aiida,scatter_gather,short,1,4,3.785814,27.442706,23.656893,624.882644,7.248826,3.589242,3.595597,21.934140,3.659250,,,3.730516,3.789173,3.404559,3.747255,0.000000
aiida,scatter_gather,short,1,5,3.681504,27.810910,24.129406,655.422580,7.554226,3.485116,3.574122,22.249869,3.699003,,,3.793301,3.845239,3.540553,3.789224,0.000000
aiida,scatter_gather,short,2,1,2.096930,27.602184,25.505253,1216.313712,13.163137,1.894124,1.860934,22.091728,3.694242,,,3.728080,4.866812,4.189551,3.742557,0.099988
aiida,scatter_gather,short,2,2,1.942665,27.643210,25.700545,1322.953145,14.229531,1.751011,1.900195,22.184104,3.719513,,,3.814130,4.736955,4.196077,3.807249,0.095051
aiida,scatter_gather,short,2,3,2.027067,27.918572,25.891505,1277.289284,13.772893,1.826947,1.905021,22.438859,3.798390,,,3.730127,4.878990,4.332767,3.782972,0.100989
aiida,scatter_gather,short,2,4,1.969219,29.857653,27.888435,1416.218122,15.162181,1.775653,4.499443,24.411876,3.710422,,,3.762993,4.704047,3.996196,3.728086,2.661032
aiida,scatter_gather,short,2,5,2.005240,27.628711,25.623471,1277.825590,13.778256,1.796774,2.011986,22.163630,3.702584,,,3.756955,4.664097,4.286865,3.730844,0.204886
aiida,scatter_gather,short,4,1,1.144933,30.751467,29.606534,2585.874954,26.858750,0.948075,3.638274,25.195013,3.748826,,,3.738528,5.083188,5.089398,3.883103,2.756619
aiida,scatter_gather,short,4,2,1.107908,30.986076,29.878168,2696.809094,27.968091,0.903719,4.019644,25.429084,3.742432,,,3.755942,5.105037,4.946609,3.846056,3.096955
aiida,scatter_gather,short,4,3,1.076954,31.250133,30.173180,2801.715624,29.017156,0.882492,4.113004,25.678022,3.713218,,,3.767082,5.189296,4.986279,3.895895,3.210945
aiida,scatter_gather,short,4,4,1.115983,31.413514,30.297531,2714.873450,28.148735,0.913824,4.365483,25.892290,3.749009,,,3.820304,5.148008,4.975619,3.819929,3.486877
aiida,scatter_gather,short,4,5,1.097895,31.004713,29.906818,2724.015044,28.240150,0.897545,3.994970,25.473046,3.694090,,,3.787897,5.159673,4.990652,3.832864,3.081896
aiida,scatter_gather,medium,1,1,46.796787,70.983196,24.186409,51.683909,1.516839,46.585415,46.440245,65.298707,3.821181,,,3.731472,3.971428,3.557669,3.768542,0.000000
aiida,scatter_gather,medium,1,2,46.570862,70.765215,24.194353,51.951697,1.519517,46.354887,46.419952,65.227469,3.759577,,,3.756033,3.832882,3.676114,3.774388,0.000000
aiida,scatter_gather,medium,1,3,47.346948,70.599886,23.252938,49.111798,1.491118,47.132611,46.269321,65.066328,3.676913,,,3.766018,3.859968,3.688168,3.798040,0.000000
aiida,scatter_gather,medium,1,4,45.392487,70.947149,25.554662,56.297118,1.562971,45.176411,46.595045,65.477760,3.758243,,,3.758030,3.901848,3.679123,3.777431,0.000000
aiida,scatter_gather,medium,1,5,45.319396,69.685577,24.366180,53.765457,1.537655,45.102078,45.182349,64.106305,3.798553,,,3.801734,3.869028,3.676557,3.769713,0.000000
aiida,scatter_gather,medium,2,1,23.461310,49.395042,25.933732,110.538295,2.105383,23.259134,23.493238,43.713006,3.699268,,,3.745700,4.775168,4.196065,3.793468,0.247910
