system,workflow_pattern,workload,chunks,repetition,reference_outer_runtime_seconds,nextflow_outer_runtime_seconds,workflow_execution_overhead_seconds,workflow_execution_overhead_percent,reference_task_span_seconds,nextflow_task_span_seconds,reference_compute_phase_seconds,nextflow_compute_phase_seconds,reference_start_spread_seconds,nextflow_start_spread_seconds,reference_max_concurrent_compute_tasks,nextflow_max_concurrent_compute_tasks,nextflow_generate_to_preprocess_latency_seconds,reference_generate_to_preprocess_latency_seconds,nextflow_preprocess_to_compute_latency_seconds,reference_preprocess_to_compute_latency_seconds,nextflow_compute_to_postprocess_latency_seconds,reference_compute_to_postprocess_latency_seconds,nextflow_preprocess_to_split_latency_seconds,reference_preprocess_to_split_latency_seconds,nextflow_split_to_first_compute_latency_seconds,reference_split_to_first_compute_latency_seconds,nextflow_last_compute_to_aggregate_latency_seconds,reference_last_compute_to_aggregate_latency_seconds,nextflow_aggregate_to_postprocess_latency_seconds,reference_aggregate_to_postprocess_latency_seconds
nextflow,pipeline,short,1,1,3.386502633,6.768454251,3.381951618,99.865613,3.319629020,3.509322492,3.133849759,3.114488562,0.000000000,0.000000000,1,1,0.143405402,0.053174632,0.110629814,0.052327985,0.133672464,0.072921606,,,,,,,,
nextflow,pipeline,short,1,2,3.401210697,6.507918943,3.106708246,91.341246,3.325285044,3.488971779,3.137731173,3.088199806,0.000000000,0.000000000,1,1,0.145631183,0.052230385,0.114749785,0.051297809,0.132783518,0.076809858,,,,,,,,
nextflow,pipeline,short,1,3,3.410850206,6.339428139,2.928577933,85.860643,3.343799225,3.388839760,3.151849681,3.073077881,0.000000000,0.000000000,1,1,0.113443182,0.056940794,0.085115333,0.053087201,0.111315620,0.074399320,,,,,,,,
nextflow,pipeline,short,1,4,3.282320789,6.472371726,3.190050937,97.188884,3.237778342,3.527505283,3.106416577,3.164916795,0.000000000,0.000000000,1,1,0.127972099,0.032644360,0.099766500,0.032309321,0.126656384,0.058964676,,,,,,,,
nextflow,pipeline,short,1,5,3.386725049,6.386524216,2.999799167,88.575220,3.326857517,3.390534653,3.150299038,3.069229277,0.000000000,0.000000000,1,1,0.114306528,0.047662985,0.087938651,0.048628740,0.112263786,0.072353229,,,,,,,,
nextflow,pipeline,medium,1,1,41.210928426,43.263922847,2.052994421,4.981675,41.155965643,40.430274332,41.007011736,40.017291181,0.000000000,0.000000000,1,1,0.147160634,0.032651379,0.117517562,0.032749079,0.140197740,0.076360310,,,,,,,,
nextflow,pipeline,medium,1,2,40.907792824,44.550613239,3.642820415,8.904955,40.839276392,41.534060708,40.647183148,41.179853328,0.000000000,0.000000000,1,1,0.126421920,0.053554717,0.088446495,0.052682431,0.134210968,0.079049206,,,,,,,,
nextflow,pipeline,medium,1,3,40.203391226,43.990812377,3.787421151,9.420651,40.147751917,40.979537718,40.000452005,40.623329594,0.000000000,0.000000000,1,1,0.115933140,0.032429220,0.098295836,0.030875736,0.136155303,0.077699385,,,,,,,,
nextflow,pipeline,medium,1,4,39.918778707,43.287271218,3.368492511,8.438366,39.862282081,40.495317344,39.713592553,40.152420094,0.000000000,0.000000000,1,1,0.116576747,0.032246831,0.084534995,0.031655653,0.135361976,0.078732850,,,,,,,,
nextflow,pipeline,medium,1,5,40.414508305,44.333848912,3.919340607,9.697855,40.348447061,41.342454340,40.162019087,40.952824326,0.000000000,0.000000000,1,1,0.139986714,0.051466448,0.110898800,0.050508872,0.132540138,0.076954916,,,,,,,,
nextflow,pipeline,long,1,1,189.535330187,194.873950204,5.338620017,2.816689,189.478871002,191.932268504,189.331712785,191.526640379,0.000000000,0.000000000,1,1,0.138957395,0.031881432,0.115000368,0.031372025,0.141932804,0.078134675,,,,,,,,
nextflow,pipeline,long,1,2,184.944723998,195.564158987,10.619434990,5.741951,184.889494129,192.612001524,184.744310317,192.257804405,0.000000000,0.000000000,1,1,0.121732913,0.032203760,0.087689020,0.031449724,0.139549490,0.075438323,,,,,,,,
nextflow,pipeline,long,1,3,185.244133068,210.229118359,24.984985291,13.487599,185.181785585,207.220372549,184.998088122,206.823820507,0.000000000,0.000000000,1,1,0.139693373,0.048040543,0.113316256,0.047240288,0.136743171,0.081464292,,,,,,,,
nextflow,scatter_gather,short,1,1,3.438454383,6.841803614,3.403349231,98.979043,3.381428904,3.725210890,3.189688505,3.217045870,0.000000000,0.000000000,1,1,0.111446258,0.032682412,,,,,0.097135869,0.031089598,0.099734407,0.031280498,0.108931279,0.055791404,0.081422835,0.030585291
nextflow,scatter_gather,short,1,2,3.619241068,6.780457164,3.161216096,87.344723,3.563876403,3.760188901,3.368976627,3.242775631,0.000000000,0.000000000,1,1,0.107959603,0.032472633,,,,,0.092646478,0.030450781,0.111108950,0.036317527,0.112842942,0.054330910,0.081840744,0.030625920
nextflow,scatter_gather,short,1,3,3.482612386,6.711299287,3.228686901,92.708764,3.426351014,3.692722297,3.233965918,3.185950491,0.000000000,0.000000000,1,1,0.116321208,0.032517772,,,,,0.094354761,0.031005589,0.098756792,0.033260080,0.108546491,0.054070351,0.079676143,0.030692301
nextflow,scatter_gather,short,1,4,3.905566557,6.761180916,2.855614359,73.116520,3.851768224,3.760761500,3.660200805,3.257807237,0.000000000,0.000000000,1,1,0.109135378,0.032491792,,,,,0.091767522,0.031187378,0.099998577,0.031611396,0.111032760,0.054501710,0.081738824,0.030767440
nextflow,scatter_gather,short,1,5,3.486612089,6.684905455,3.198293366,91.730691,3.431609442,3.699858424,3.235638311,3.197605320,0.000000000,0.000000000,1,1,0.109853696,0.032307083,,,,,0.092100930,0.030944399,0.101240681,0.036252337,0.107948473,0.054791338,0.082192252,0.030841470
nextflow,scatter_gather,short,2,1,1.916953579,5.167335066,3.250381487,169.559739,1.860161099,2.155760468,1.664626947,1.645006740,0.001364545,0.007151700,2,2,0.107129027,0.032632222,,,,,0.094941138,0.031161288,0.105330904,0.031223218,0.111005810,0.056426181,0.080435670,0.031312797
nextflow,scatter_gather,short,2,2,1.875554194,5.279055443,3.403501249,181.466431,1.820101188,2.154315564,1.621335829,1.656586630,0.000330568,0.009478779,2,2,0.109099169,0.036827154,,,,,0.091912801,0.030711270,0.095240507,0.034022376,0.109875405,0.054276561,0.080486270,0.030794720
nextflow,scatter_gather,short,2,3,1.914018251,5.169740185,3.255721934,170.098793,1.856404355,2.141916487,1.664451537,1.620754282,0.000284439,0.006336523,2,2,0.124562723,0.031915765,,,,,0.093469684,0.030748270,0.101154022,0.031769065,0.108865219,0.054730989,0.081685125,0.030340321
nextflow,scatter_gather,short,2,4,1.879317768,5.192085111,3.312767343,176.274997,1.824653929,2.165613817,1.631653236,1.648817873,0.000200660,0.005083748,2,2,0.109750916,0.031702446,,,,,0.096542372,0.031693556,0.098248924,0.034255454,0.109601076,0.052329609,0.090602806,0.030877069
