system,workflow_pattern,workload,chunks,reference_outer_runtime_seconds_median,nextflow_outer_runtime_seconds_median,workflow_execution_overhead_seconds_median,workflow_execution_overhead_percent_median,reference_task_span_seconds_median,nextflow_task_span_seconds_median,reference_compute_phase_seconds_median,nextflow_compute_phase_seconds_median,reference_start_spread_seconds_median,nextflow_start_spread_seconds_median,reference_max_concurrent_compute_tasks_median,nextflow_max_concurrent_compute_tasks_median,nextflow_generate_to_preprocess_latency_seconds_median,reference_generate_to_preprocess_latency_seconds_median,nextflow_preprocess_to_compute_latency_seconds_median,reference_preprocess_to_compute_latency_seconds_median,nextflow_compute_to_postprocess_latency_seconds_median,reference_compute_to_postprocess_latency_seconds_median,nextflow_preprocess_to_split_latency_seconds_median,reference_preprocess_to_split_latency_seconds_median,nextflow_split_to_first_compute_latency_seconds_median,reference_split_to_first_compute_latency_seconds_median,nextflow_last_compute_to_aggregate_latency_seconds_median,reference_last_compute_to_aggregate_latency_seconds_median,nextflow_aggregate_to_postprocess_latency_seconds_median,reference_aggregate_to_postprocess_latency_seconds_median
nextflow,pipeline,short,1,3.386725049,6.472371726,3.106708246,91.341246000,3.325285044,3.488971779,3.137731173,3.088199806,0.000000000,0.000000000,1.000000000,1.000000000,0.127972099,0.052230385,0.099766500,0.051297809,0.126656384,0.072921606,,,,,,,,
nextflow,pipeline,medium,1,40.414508305,43.990812377,3.642820415,8.904955000,40.348447061,40.979537718,40.162019087,40.623329594,0.000000000,0.000000000,1.000000000,1.000000000,0.126421920,0.032651379,0.098295836,0.032749079,0.135361976,0.077699385,,,,,,,,
nextflow,pipeline,long,1,185.244133068,195.564158987,10.619434990,5.741951000,185.181785585,192.612001524,184.998088122,192.257804405,0.000000000,0.000000000,1.000000000,1.000000000,0.138957395,0.032203760,0.113316256,0.031449724,0.139549490,0.078134675,,,,,,,,
nextflow,scatter_gather,short,1,3.486612089,6.761180916,3.198293366,91.730691000,3.431609442,3.725210890,3.235638311,3.217045870,0.000000000,0.000000000,1.000000000,1.000000000,0.109853696,0.032491792,,,,,0.092646478,0.031005589,0.099998577,0.033260080,0.108931279,0.054501710,0.081738824,0.030692301
nextflow,scatter_gather,short,2,1.894821973,5.192085111,3.312767343,174.847609000,1.839635546,2.155760468,1.641395074,1.647475489,0.000284439,0.006336523,2.000000000,2.000000000,0.109750916,0.032632222,,,,,0.094941138,0.030748270,0.101154022,0.031998115,0.109601076,0.054730989,0.080486270,0.030877069
nextflow,scatter_gather,short,4,1.107706003,4.211716430,3.116808092,281.375029000,1.053570752,1.373683467,0.861118047,0.824661501,0.002228761,0.020514612,4.000000000,4.000000000,0.114078197,0.032554572,,,,,0.093762403,0.030911259,0.109936770,0.030573230,0.116482567,0.050520616,0.079695512,0.030645690
nextflow,scatter_gather,medium,1,42.057972406,45.355538098,3.196829285,7.612553000,42.001988314,42.324617194,41.758634603,41.791854277,0.000000000,0.000000000,1.000000000,1.000000000,0.113920384,0.032903810,,,,,0.094506917,0.034968591,0.111701743,0.031291106,0.135945718,0.076040545,0.102857000,0.030794638
nextflow,scatter_gather,medium,2,21.477682566,24.901360758,3.616280603,16.989744000,21.411026449,21.815961918,21.136629365,21.175923694,0.000408848,0.006443703,2.000000000,2.000000000,0.123005107,0.037053113,,,,,0.112778971,0.040944446,0.115033901,0.038857515,0.134087110,0.063869328,0.080260808,0.030784419
nextflow,scatter_gather,medium,4,11.026432360,14.442049403,3.415048466,30.969876000,10.970457068,11.427546902,10.770266170,10.901259432,0.000729927,0.022216286,4.000000000,4.000000000,0.113599986,0.032114744,,,,,0.095006785,0.030810069,0.104766804,0.030886439,0.119079013,0.056325530,0.082382199,0.030598130
nextflow,scatter_gather,long,1,196.101342450,195.459759125,2.268328434,1.177326000,196.034217074,192.387112410,195.719192724,191.728812485,0.000000000,0.000000000,1.000000000,1.000000000,0.131487155,0.053508473,,,,,0.124054367,0.056013663,0.124943473,0.055016137,0.142660477,0.078178870,0.106553377,0.036060378
nextflow,scatter_gather,long,2,98.335086136,103.139973365,3.668165373,3.760000000,98.267846272,100.071090886,97.947513105,99.478251121,0.000013420,0.007013030,2.000000000,2.000000000,0.134363068,0.054694148,,,,,0.122184801,0.052876595,0.123205027,0.054539238,0.143323381,0.078350967,0.105723081,0.051718231
nextflow,scatter_gather,long,4,50.160792733,53.402597783,3.359596226,6.690790000,50.101060318,50.329115388,49.816635009,49.758943697,0.000773217,0.025718910,4.000000000,4.000000000,0.120975125,0.032833540,,,,,0.107402273,0.035220030,0.105490281,0.032620201,0.149503923,0.077293980,0.103878578,0.030539700
