system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
streamflow,pipeline,short,1,1,3.425972047,7.184634610,3.758662563,109.710835668,2.097108357,,,3.396416465,0.075299120,0.060693978,0.087097543,,,,,
streamflow,pipeline,short,1,2,3.378508832,6.371025603,2.992516771,88.575076176,1.885750762,,,3.349132007,0.066672654,0.072869909,0.095121920,,,,,
streamflow,pipeline,short,1,3,3.366278249,6.461450991,3.095172742,91.946432041,1.919464320,,,3.416144030,0.069149393,0.065848157,0.102047912,,,,,
streamflow,pipeline,short,1,4,3.417445244,6.346478441,2.929033197,85.708269998,1.857082700,,,3.382665784,0.068720155,0.069087094,0.092372691,,,,,
streamflow,pipeline,short,1,5,3.376334159,6.356972149,2.980637990,88.280301958,1.882803020,,,3.426941646,0.067468770,0.066961002,0.091740554,,,,,
streamflow,pipeline,medium,1,1,40.835866672,44.818190531,3.982323859,9.752024834,1.097520248,,,41.048763617,0.050414585,0.049492269,0.103496449,,,,,
streamflow,pipeline,medium,1,2,40.298369219,44.116228938,3.817859720,9.473980693,1.094739807,,,40.463911343,0.049019049,0.050500924,0.108336979,,,,,
streamflow,pipeline,medium,1,3,40.140645539,44.924221065,4.783575526,11.917036864,1.119170369,,,41.060947221,0.083198231,0.077955422,0.102023555,,,,,
streamflow,pipeline,medium,1,4,41.356938045,45.168981898,3.812043853,9.217422840,1.092174228,,,41.609319876,0.055628107,0.056339184,0.102707056,,,,,
streamflow,pipeline,medium,1,5,41.335465677,44.859996337,3.524530660,8.526650425,1.085266504,,,41.284907242,0.059818566,0.056458300,0.108079120,,,,,
streamflow,pipeline,long,1,1,190.459846349,189.981600756,-0.478245593,-0.251100482,0.997488995,,,186.353579959,0.056844900,0.056830580,0.094220590,,,,,
streamflow,pipeline,long,1,2,184.812374038,191.942997190,7.130623152,3.858303963,1.038583040,,,188.333052601,0.058665311,0.057235887,0.104326063,,,,,
streamflow,pipeline,long,1,3,189.837130670,190.998191277,1.161060607,0.611608805,1.006116088,,,187.376017500,0.056022719,0.056533366,0.106844418,,,,,
streamflow,scatter_gather,short,1,1,3.525782111,7.250607916,3.724825805,105.645377045,2.056453770,3.279105730,3.266736500,3.587282922,0.055778814,,,0.055189377,0.056638741,0.098274832,0.054174691,0.000000000
streamflow,scatter_gather,short,1,2,3.441109885,5.698965680,2.257855795,65.614173052,1.656141731,3.199285673,3.269079421,3.591306486,0.055983373,,,0.055081267,0.058302664,0.097677444,0.054694468,0.000000000
streamflow,scatter_gather,short,1,3,3.489289289,5.651640292,2.162351003,61.971101401,1.619711014,3.249601480,3.225260398,3.542631063,0.056158772,,,0.055519555,0.056259702,0.095196755,0.053746953,0.000000000
streamflow,scatter_gather,short,1,4,3.571722445,5.831718902,2.259996457,63.274694262,1.632746943,3.329844574,3.398157078,3.717755644,0.055149667,,,0.054976137,0.057748436,0.095746792,0.055490785,0.000000000
streamflow,scatter_gather,short,1,5,3.509290988,5.805560648,2.296269660,65.434005549,1.654340055,3.265653955,3.349136717,3.674863008,0.058715572,,,0.055358796,0.058294404,0.099066418,0.053804632,0.000000000
streamflow,scatter_gather,short,2,1,1.906583579,4.139095088,2.232511509,117.094867177,2.170948672,1.662440568,1.644961518,1.995451849,0.055324306,,,0.054968678,0.059549799,0.126313249,0.053768252,0.004239503
streamflow,scatter_gather,short,2,2,1.894411138,4.168015300,2.273604162,120.016405949,2.200164059,1.649528990,1.661988159,2.016954501,0.056179703,,,0.055262996,0.060508385,0.128465840,0.054012362,0.004882300
streamflow,scatter_gather,short,2,3,1.906270930,4.118956329,2.212685399,116.074025147,2.160740251,1.663391603,1.636374913,1.992399072,0.055780274,,,0.058559003,0.060145456,0.127045866,0.053937572,0.004423792
streamflow,scatter_gather,short,2,4,1.908172962,4.151978134,2.243805172,117.589192191,2.175891922,1.660557295,1.650412601,2.006391336,0.058544702,,,0.055330026,0.059199271,0.128363403,0.053985414,0.005495257
