system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
aiida,pipeline,short,1,3.765577,9.414685,5.649108,150.019724,2.500197,,
aiida,pipeline,medium,1,47.655076,54.631429,6.976353,14.639266,1.146393,,
aiida,pipeline,long,1,222.859114,228.882643,6.023529,2.702842,1.027028,,
aiida,scatter_gather,short,1,3.757036,11.782102,8.025066,213.600981,3.136010,3.563916,3.584411
aiida,scatter_gather,short,2,1.978973,10.515548,8.536575,431.363930,5.313639,1.785789,1.895169
aiida,scatter_gather,short,4,1.113271,10.088265,8.974994,806.182110,9.061821,0.916150,1.388770
aiida,scatter_gather,medium,1,46.075404,54.790237,8.714833,18.914284,1.189143,45.864581,46.515318
aiida,scatter_gather,medium,2,24.043123,32.336387,8.293264,34.493289,1.344933,23.841433,23.790634
aiida,scatter_gather,medium,4,12.254425,21.347921,9.093496,74.205813,1.742058,12.055067,12.573152
aiida,scatter_gather,long,1,212.988000,219.884529,6.896529,3.237989,1.032380,212.767167,211.604294
aiida,scatter_gather,long,2,108.606374,118.487159,9.880785,9.097795,1.090978,108.383846,110.120508
aiida,scatter_gather,long,4,55.592211,64.960781,9.368569,16.852306,1.168523,55.361513,56.329986
