system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,3.774226,9.414685,5.640459,149.446765,2.494468,,,7.537187,1.372461,1.267162,1.199438,,,,,
aiida,pipeline,short,1,2,3.826758,9.609026,5.782268,151.100936,2.511009,,,7.740184,1.307965,1.286152,1.371141,,,,,
aiida,pipeline,short,1,3,3.726075,9.293895,5.567819,149.428520,2.494285,,,7.484807,1.257715,1.312523,1.198797,,,,,
aiida,pipeline,short,1,4,3.765577,9.331261,5.565684,147.804269,2.478043,,,7.420592,1.270941,1.306553,1.132440,,,,,
aiida,pipeline,short,1,5,3.739845,9.572887,5.833042,155.970166,2.559702,,,7.740990,1.330694,1.301079,1.284401,,,,,
aiida,pipeline,medium,1,1,47.757128,53.718416,5.961288,12.482510,1.124825,,,51.901530,1.230956,1.260889,1.179786,,,,,
aiida,pipeline,medium,1,2,46.889970,53.906896,7.016927,14.964665,1.149647,,,52.050182,1.253676,1.254292,1.272448,,,,,
aiida,pipeline,medium,1,3,47.364399,55.306222,7.941823,16.767494,1.167675,,,53.461222,1.303886,1.301261,1.231520,,,,,
aiida,pipeline,medium,1,4,48.138444,55.725190,7.586746,15.760265,1.157603,,,53.913268,1.276627,1.292802,1.386054,,,,,
aiida,pipeline,medium,1,5,47.655076,54.631429,6.976353,14.639266,1.146393,,,52.798534,1.307967,1.284790,1.298186,,,,,
aiida,pipeline,long,1,1,215.694872,228.882643,13.187772,6.114087,1.061141,,,227.072794,1.249187,1.344795,1.360287,,,,,
aiida,pipeline,long,1,2,222.859114,226.315640,3.456526,1.550992,1.015510,,,224.465807,1.230041,1.228178,1.355738,,,,,
aiida,pipeline,long,1,3,229.852944,230.349255,0.496311,0.215925,1.002159,,,228.424071,1.282871,1.248841,1.218720,,,,,
aiida,scatter_gather,short,1,1,3.824281,11.782102,7.957821,208.086697,3.080867,3.627415,3.486183,9.805249,1.275552,,,1.227116,1.309691,1.260384,1.245646,0.000000
aiida,scatter_gather,short,1,2,3.751734,11.643874,7.892140,210.359799,3.103598,3.559345,3.574678,9.710912,1.233116,,,1.243038,1.253067,1.177154,1.229136,0.000000
aiida,scatter_gather,short,1,3,4.342787,11.792744,7.449957,171.547835,2.715478,4.151250,3.584411,9.789540,1.224033,,,1.247142,1.248232,1.189052,1.295993,0.000000
aiida,scatter_gather,short,1,4,3.686934,11.763813,8.076880,219.067651,3.190677,3.496535,3.592037,9.906849,1.210468,,,1.281282,1.241301,1.314626,1.266453,0.000000
aiida,scatter_gather,short,1,5,3.757036,11.976438,8.219402,218.773561,3.187736,3.563916,3.631408,10.070515,1.283635,,,1.273141,1.461074,1.186026,1.234544,0.000000
aiida,scatter_gather,short,2,1,2.005739,10.557502,8.551763,426.364630,5.263646,1.813193,1.895169,8.667069,1.365666,,,1.264433,1.475979,1.384346,1.280699,0.045579
