pattern;rep;task;queue_s;prolog_env_s;payload_s;
pipeline;1;generate_input;29,0;41,903;0,002;
pipeline;1;preprocess;15,0;57,08;0,004;
pipeline;1;compute_1;30,0;44,386;3,595;
pipeline;1;postprocess;10,0;41,827;0,008;
pipeline;2;generate_input;6,0;40,79;0,002;
pipeline;2;preprocess;17,0;41,684;0,008;
pipeline;2;compute_1;17,0;42,158;3,595;
pipeline;2;postprocess;12,0;47,55;0,004;
pipeline;3;generate_input;3,0;40,389;0,002;
pipeline;3;preprocess;19,0;41,433;0,004;
pipeline;3;compute_1;19,0;40,629;3,623;
pipeline;3;postprocess;14,0;44,345;0,004;
pipeline;4;generate_input;5,0;43,037;0,002;
pipeline;4;preprocess;16,0;41,122;0,004;
pipeline;4;compute_1;16,0;40,905;3,551;
pipeline;4;postprocess;16,0;40,529;0,004;
pipeline;5;generate_input;7,0;42,051;0,006;
pipeline;5;preprocess;18,0;42,073;0,004;
pipeline;5;compute_1;18,0;42,136;3,585;
pipeline;5;postprocess;13,0;42,507;0,004;
scatter_gather;1;generate_input;9,0;42,633;0,002;
scatter_gather;1;preprocess;15,0;42,287;0,003;
scatter_gather;1;split;15,0;41,327;0,011;
scatter_gather;1;compute_4;15,0;46,319;0,843;
scatter_gather;1;compute_3;15,0;53,944;0,928;
scatter_gather;1;compute_1;15,0;53,226;0,917;
scatter_gather;1;compute_2;15,0;52,447;0,93;
scatter_gather;1;aggregate;5,0;41,206;0,018;
scatter_gather;1;postprocess;15,0;42,199;0,004;
scatter_gather;2;generate_input;6,0;40,488;0,007;
scatter_gather;2;preprocess;17,0;42,441;0,004;
scatter_gather;2;split;17,0;41,015;0,007;
scatter_gather;2;compute_2;17,0;44,432;0,938;
scatter_gather;2;compute_3;17,0;45,695;0,916;
scatter_gather;2;compute_1;17,0;45,936;0,902;
scatter_gather;2;compute_4;17,0;49,581;0,851;
scatter_gather;2;aggregate;7,0;42,86;0,022;
scatter_gather;2;postprocess;17,0;41,945;0,008;
scatter_gather;3;generate_input;8,0;41,758;0,001;
scatter_gather;3;preprocess;14,0;41,917;0,004;
scatter_gather;3;split;14,0;42,831;0,012;
scatter_gather;3;compute_2;14,0;100,604;0,896;
scatter_gather;3;compute_3;14,0;104,157;0,879;
scatter_gather;3;compute_1;14,0;103,427;0,912;
scatter_gather;3;compute_4;14,0;109,462;0,894;
scatter_gather;3;aggregate;9,0;42,154;0,017;
scatter_gather;3;postprocess;14,0;41,895;0,003;
scatter_gather;4;generate_input;5,0;45,726;0,002;
scatter_gather;4;preprocess;11,0;42,291;0,004;
scatter_gather;4;split;17,0;41,486;0,012;
scatter_gather;4;compute_1;17,0;39,508;0,896;
scatter_gather;4;compute_3;17,0;46,434;0,911;
scatter_gather;4;compute_4;17,0;47,229;0,857;
scatter_gather;4;compute_2;17,0;45,808;0,916;
scatter_gather;4;aggregate;12,0;51,115;0,014;
scatter_gather;4;postprocess;0,0;47,739;0,016;
scatter_gather;5;generate_input;0,0;42,126;0,002;
scatter_gather;5;preprocess;0,0;50,906;0,013;
scatter_gather;5;split;29,0;61,182;0,014;
scatter_gather;5;compute_2;29,0;40,74;0,878;
scatter_gather;5;compute_4;28,0;43,744;0,875;
scatter_gather;5;compute_1;28,0;48,898;0,918;
scatter_gather;5;compute_3;28,0;47,849;0,907;
scatter_gather;5;aggregate;9,0;40,778;0,014;
scatter_gather;5;postprocess;19,0;49,303;0,004;
