system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
streamflow,pipeline,short,1,4.266421916,5.808177583,1.541755667,36.136971386,1.361369714,,
streamflow,pipeline,medium,1,54.123722500,56.055027083,1.931304583,3.568314399,1.035683144,,
streamflow,pipeline,long,1,246.840311042,252.019442333,5.179131291,2.098170785,1.020981708,,
streamflow,scatter_gather,short,1,4.301220542,5.988381875,1.687161333,39.225176122,1.392251761,4.093680000,4.098133000
streamflow,scatter_gather,short,2,2.260180333,3.619381500,1.359201167,60.136846036,1.601368460,2.071724000,2.066517000
streamflow,scatter_gather,short,4,1.223587583,2.671811584,1.448224001,118.358834392,2.183588344,1.033389000,1.054748000
streamflow,scatter_gather,medium,1,53.686497583,55.704454583,2.017957000,3.758779378,1.037587794,53.476769000,53.466944000
streamflow,scatter_gather,medium,2,27.224855750,29.051299292,1.826443542,6.708735425,1.067087354,27.024058000,27.040913000
streamflow,scatter_gather,medium,4,13.874091459,15.687854167,1.813762708,13.073019688,1.130730197,13.679031000,13.592662000
streamflow,scatter_gather,long,1,246.383325083,248.392397584,2.009072501,0.815425516,1.008154255,246.121484000,245.900393000
streamflow,scatter_gather,long,2,124.663781000,126.503443458,1.839662458,1.475699231,1.014756992,124.469850000,124.526388000
streamflow,scatter_gather,long,4,63.003198000,66.449269083,3.446071083,5.469676449,1.054696764,62.772253000,63.535205000
nextflow,pipeline,short,1,4.719040000,7.175057000,2.456017000,52.044844,1.520448439,,
nextflow,pipeline,medium,1,59.771217000,63.077675000,3.306458000,5.531857,1.055318566,,
nextflow,pipeline,long,1,277.007304000,280.217870000,3.210566000,1.159019,1.011590185,,
nextflow,scatter_gather,short,1,4.845374000,8.024202000,3.178828000,65.605421,1.656054208,4.621436000,4.633595000
nextflow,scatter_gather,short,2,2.555078000,5.629486000,3.074408000,120.325407,2.203254069,2.342359000,2.339709000
nextflow,scatter_gather,short,4,1.394423000,4.343750000,2.949327000,211.508775,3.115087746,1.176299000,1.186129000
nextflow,scatter_gather,medium,1,60.399210000,63.385696000,2.986486000,4.944578,1.049445779,60.181050000,59.883260000
nextflow,scatter_gather,medium,2,30.415755000,34.195525000,3.779770000,12.427014,1.124270136,30.222067000,30.468151000
nextflow,scatter_gather,medium,4,15.501278000,18.574264000,3.072986000,19.824082,1.198240816,15.295883000,15.261503000
nextflow,scatter_gather,long,1,277.115298000,279.050339000,1.935041000,0.698280,1.006982801,276.897964000,275.645704000
nextflow,scatter_gather,long,2,140.040977000,142.607319000,2.566342000,1.832565,1.018325650,139.840570000,139.447547000
nextflow,scatter_gather,long,4,70.144271000,73.248597000,3.104326000,4.425630,1.044256301,69.943652000,69.978680000
merlin,pipeline,short,1,4.064294000,6.113074000,2.048780000,50.409246969,1.504092470,,
merlin,pipeline,medium,1,51.079798000,53.367768000,2.287970000,4.479207220,1.044792072,,
merlin,pipeline,long,1,235.270193000,237.562501000,2.292308000,0.974329970,1.009743300,,
merlin,scatter_gather,short,1,4.369453000,7.408827000,3.039374000,69.559599337,1.695595993,4.159878000,4.168826000
merlin,scatter_gather,short,2,2.300994000,5.298922000,2.997928000,130.288388410,2.302883884,2.088968000,2.302905000
merlin,scatter_gather,short,4,1.300485000,4.906477000,3.605992000,277.280553024,3.772805530,1.056853000,1.792298000
merlin,scatter_gather,medium,1,54.159776000,57.602289000,3.442513000,6.356217204,1.063562172,53.916406000,54.072126000
merlin,scatter_gather,medium,2,27.743843000,31.114235000,3.370392000,12.148252137,1.121482521,27.487449000,27.669282000
merlin,scatter_gather,medium,4,14.121065000,17.760092000,3.639027000,25.770202177,1.257702022,13.876660000,14.327299000
merlin,scatter_gather,long,1,245.712590000,248.606772000,2.894182000,1.177872896,1.011778729,245.490911000,245.277922000
merlin,scatter_gather,long,2,124.439733000,127.762181000,3.322448000,2.669925369,1.026699254,124.222483000,124.383225000
merlin,scatter_gather,long,4,62.261243000,65.771195000,3.509952000,5.637458924,1.056374589,62.057810000,62.671713000
aiida,pipeline,short,1,4.084300,9.159061,5.074761,124.250447,2.242504,,
aiida,pipeline,medium,1,51.298963,56.909790,5.610827,10.937506,1.109375,,
aiida,pipeline,long,1,235.465157,244.639419,9.174262,3.896229,1.038962,,
aiida,scatter_gather,short,1,4.314847,11.671912,7.357065,170.505814,2.705058,4.091644,4.109429
aiida,scatter_gather,short,2,2.289952,9.879638,7.589686,331.434283,4.314343,2.065433,2.132066
aiida,scatter_gather,short,4,1.267477,10.674212,9.406735,742.162185,8.421622,1.037119,1.833339
aiida,scatter_gather,medium,1,53.317424,61.438457,8.121033,15.231480,1.152315,53.086014,53.389110
aiida,scatter_gather,medium,2,27.139846,35.449452,8.309606,30.617735,1.306177,26.884458,27.301885
aiida,scatter_gather,medium,4,13.679564,22.857693,9.178129,67.093725,1.670937,13.444005,14.727704
aiida,scatter_gather,long,1,245.528439,254.815995,9.287556,3.782680,1.037827,245.283095,246.621960
aiida,scatter_gather,long,2,124.425586,133.240586,8.815000,7.084556,1.070846,124.164259,124.768788
aiida,scatter_gather,long,4,62.349260,72.652369,10.303109,16.524830,1.165248,62.085269,64.937854
pegasus,pipeline,short,1,4.516724542,184.134454833,179.617730291,3976.725360,40.767253597,,
pegasus,pipeline,medium,1,56.967185166,227.775178291,170.807993125,299.835761,3.998357609,,
pegasus,pipeline,long,1,263.481505292,442.015808917,178.534303625,67.759710,1.677597099,,
pegasus,scatter_gather,short,1,4.623364208,206.782928125,202.159563917,4372.564107,44.725641075,4.361668000,4.386206000
pegasus,scatter_gather,short,2,2.474266792,206.267449875,203.793183083,8236.508033,83.365080331,2.209497000,2.242285000
pegasus,scatter_gather,short,4,1.353646458,206.815731584,205.462085126,15178.415598,152.784155982,1.100132000,1.188009000
pegasus,scatter_gather,medium,1,57.061885042,267.854844167,210.792959125,369.411138,4.694111384,56.803711000,56.776920000
pegasus,scatter_gather,medium,2,29.071634042,247.774274709,218.702640667,752.288779,8.522887786,28.809535000,28.828967000
pegasus,scatter_gather,medium,4,14.791358459,232.666756750,217.875398291,1472.991131,15.729911312,14.538088000,14.616783000
pegasus,scatter_gather,long,1,263.488849500,479.892994167,216.404144667,82.130286,1.821302856,263.223000000,261.332612000
pegasus,scatter_gather,long,2,133.512707792,352.374899708,218.862191916,163.926113,2.639261128,133.240704000,132.909899000
pegasus,scatter_gather,long,4,67.103656667,288.597413417,221.493756750,330.077030,4.300770297,66.821910000,67.662220000
