system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.376376012,5.261849363,1.885473351,55.843109426,1.558431094,,
streamflow,pipeline,medium,1,40.544368269,44.218010503,3.673642234,9.060795348,1.090607953,,
streamflow,pipeline,long,1,188.513650784,191.600233713,3.086582929,1.637325953,1.016373259,,
streamflow,scatter_gather,short,1,3.473272696,5.686489035,2.213216339,63.721352532,1.637213525,3.231351179,3.257561050
streamflow,scatter_gather,short,2,1.881186680,4.002281124,2.121094444,112.753001419,2.127530014,1.645310593,1.650808187
streamflow,scatter_gather,short,4,1.070805193,3.247963378,2.177158185,203.319726056,3.033197261,0.832218918,0.836378443
streamflow,scatter_gather,medium,1,43.027452186,46.337283635,3.309831449,7.692371453,1.076923715,42.768301276,42.573360107
streamflow,scatter_gather,medium,2,21.841964690,25.147606232,3.305641542,15.134359884,1.151343599,21.604758871,21.466880407
streamflow,scatter_gather,medium,4,11.056577077,14.730885719,3.674308642,33.231881951,1.332318820,10.813573389,10.841414006
streamflow,scatter_gather,long,1,196.789074264,202.163771089,5.374696825,2.731196762,1.027311968,196.532796697,198.376849591
streamflow,scatter_gather,long,2,99.979380565,106.827308728,6.847928163,6.849340458,1.068493405,99.720948822,103.159274198
streamflow,scatter_gather,long,4,49.710576799,53.595329720,3.884752921,7.814741190,1.078147412,49.446068050,49.851519386
nextflow,pipeline,short,1,3.279299458,6.742587488,3.463288030,105.610606,2.056106060,,
nextflow,pipeline,medium,1,40.555484184,44.177632716,3.622148532,8.931341,1.089313409,,
nextflow,pipeline,long,1,189.210171872,192.063689155,2.853517283,1.508120,1.015081204,,
nextflow,scatter_gather,short,1,3.483332517,7.141554158,3.658221641,105.020742,2.050207416,3.231224235,3.265506386
nextflow,scatter_gather,short,2,1.898944600,5.543217446,3.644272846,191.910435,2.919104352,1.643457472,1.674741833
nextflow,scatter_gather,short,4,1.080229684,4.764547135,3.684317451,341.067970,4.410679697,0.823979332,0.847506507
nextflow,scatter_gather,medium,1,42.914873641,46.419448623,3.504574982,8.166341,1.081663411,42.639570901,42.641443901
nextflow,scatter_gather,medium,2,21.811727320,25.097266706,3.285539386,15.063178,1.150631783,21.546636865,21.183954864
nextflow,scatter_gather,medium,4,11.079384194,14.779731984,3.700347790,33.398497,1.333984969,10.821184631,10.856517412
nextflow,scatter_gather,long,1,197.440137489,202.489434446,5.049296957,2.557381,1.025573812,197.135449879,198.397181628
nextflow,scatter_gather,long,2,99.989239989,104.610289847,4.621049858,4.621547,1.046215471,99.688295215,100.642772080
nextflow,scatter_gather,long,4,50.500232961,53.549273862,3.049040901,6.037677,1.060376769,50.213363355,49.586745257
merlin,pipeline,short,1,3.268849822,4.905145964,1.636296142,50.057244325,1.500572443,,
merlin,pipeline,medium,1,41.228584503,45.109028652,3.880444149,9.412023711,1.094120237,,
merlin,pipeline,long,1,184.438679645,188.365924588,3.927244943,2.129295737,1.021292957,,
merlin,scatter_gather,short,1,3.455129451,5.319899787,1.864770336,53.971070041,1.539710700,3.230664466,3.274097346
merlin,scatter_gather,short,2,1.876614829,3.774688445,1.898073616,101.143483824,2.011434838,1.661980665,1.682373051
merlin,scatter_gather,short,4,1.039048752,3.040342304,2.001293552,192.608243660,2.926082437,0.823364516,0.933605002
merlin,scatter_gather,medium,1,42.872945346,45.136974514,2.264029168,5.280787568,1.052807876,42.629980252,42.501924884
merlin,scatter_gather,medium,2,21.914759304,24.024573779,2.109814475,9.627367774,1.096273678,21.635925421,21.290246189
merlin,scatter_gather,medium,4,11.239998907,13.120841606,1.880842699,16.733477597,1.167334776,11.022673303,10.917949563
merlin,scatter_gather,long,1,196.654614632,198.435981472,1.781366840,0.905835260,1.009058353,196.410214816,195.777848999
merlin,scatter_gather,long,2,98.459097349,102.148149532,3.689052183,3.746786516,1.037467865,98.209314130,99.434816918
merlin,scatter_gather,long,4,50.862760842,52.511599315,1.648838473,3.241740019,1.032417400,50.614189701,49.788979800
aiida,pipeline,short,1,3.819828,12.310153,8.490324,222.269785,3.222698,,
aiida,pipeline,medium,1,47.794073,56.623695,8.829622,18.474303,1.184743,,
aiida,pipeline,long,1,222.711588,229.740308,7.028720,3.155974,1.031560,,
aiida,scatter_gather,short,1,3.787379,16.421090,12.633711,333.574000,4.335740,3.574151,3.590610
aiida,scatter_gather,short,2,2.027517,15.392950,13.365433,659.202148,7.592021,1.816314,1.832777
aiida,scatter_gather,short,4,1.134390,16.082642,14.948252,1317.734781,14.177348,0.912008,1.913529
aiida,scatter_gather,medium,1,46.210075,59.145296,12.935221,27.992210,1.279922,45.966117,46.174787
aiida,scatter_gather,medium,2,23.775382,38.100994,14.325612,60.253973,1.602540,23.550044,24.781271
aiida,scatter_gather,medium,4,11.980981,26.807963,14.826982,123.754317,2.237543,11.755206,12.735937
aiida,scatter_gather,long,1,215.810303,223.440325,7.630022,3.535523,1.035355,215.568494,210.496507
aiida,scatter_gather,long,2,109.028777,121.730550,12.701773,11.649927,1.116499,108.782835,107.936453
aiida,scatter_gather,long,4,56.045863,70.446221,14.400358,25.693882,1.256939,55.800640,56.110019
