system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.339022561,0.056070517,0.055356526,0.076998363,,,,,,
streamflow,pipeline,medium,1,41.001580075,0.055758687,0.054877491,0.096239888,,,,,,
streamflow,pipeline,long,1,184.186820210,0.056967512,0.054957840,0.099051015,,,,,,
streamflow,scatter_gather,short,1,3.574691885,0.056417480,,,0.056363541,0.058141407,0.097207774,0.054442671,0.000000000,3.257561050
streamflow,scatter_gather,short,2,2.003951713,0.055971070,,,0.055631287,0.063750920,0.122156763,0.053197024,0.003123291,1.650808187
streamflow,scatter_gather,short,4,1.249907622,0.056901547,,,0.056001191,0.064734875,0.179378454,0.053790645,0.017665846,0.836378443
streamflow,scatter_gather,medium,1,42.917012892,0.056733618,,,0.054187388,0.057655314,0.117480712,0.055706873,0.000000000,42.573360107
streamflow,scatter_gather,medium,2,21.844266672,0.056159457,,,0.053497148,0.061686160,0.143845362,0.054616200,0.004160975,21.466880407
streamflow,scatter_gather,medium,4,11.257221534,0.056920047,,,0.054243849,0.062334761,0.183576180,0.053706108,0.019317957,10.841414006
streamflow,scatter_gather,long,1,198.722674784,0.056234445,,,0.053898001,0.057718302,0.121314400,0.055582493,0.000000000,198.376849591
streamflow,scatter_gather,long,2,103.539675675,0.056151685,,,0.053531147,0.061814297,0.152413012,0.054661868,0.004304223,103.159274198
streamflow,scatter_gather,long,4,50.283000334,0.057500193,,,0.053952907,0.063666386,0.205742796,0.054253833,0.017743273,49.851519386
nextflow,pipeline,short,1,3.443302152,0.123569288,0.090481353,0.119443213,,,,,,
nextflow,pipeline,medium,1,40.855369149,0.122783704,0.091609568,0.143015121,,,,,,
nextflow,pipeline,long,1,188.742391979,0.123998803,0.095702699,0.147102239,,,,,,
nextflow,scatter_gather,short,1,3.826130634,0.117516167,,,0.100472554,0.106832777,0.116810422,0.102170183,0.000000000,3.265506386
nextflow,scatter_gather,short,2,2.211046980,0.121019120,,,0.103423971,0.105517529,0.116622061,0.083760268,0.006703492,1.674741833
nextflow,scatter_gather,short,4,1.391608510,0.120771322,,,0.103003388,0.109526681,0.131477400,0.083364269,0.020694139,0.847506507
nextflow,scatter_gather,medium,1,43.237126592,0.123659104,,,0.104211115,0.107660171,0.147693593,0.087278277,0.000000000,42.641443901
nextflow,scatter_gather,medium,2,21.783409160,0.120037902,,,0.102828698,0.121825766,0.119657966,0.087189385,0.005781100,21.183954864
nextflow,scatter_gather,medium,4,11.428090879,0.122138092,,,0.102747821,0.107237624,0.127811632,0.085434133,0.022961318,10.856517412
nextflow,scatter_gather,long,1,199.084339457,0.129701276,,,0.100898897,0.108431820,0.149212229,0.084882447,0.000000000,198.397181628
nextflow,scatter_gather,long,2,101.254341786,0.127126620,,,0.101127425,0.105265177,0.161335831,0.088629487,0.006531813,100.642772080
nextflow,scatter_gather,long,4,50.181622780,0.124343226,,,0.103823484,0.114833429,0.156529404,0.086366806,0.022875167,49.586745257
merlin,pipeline,short,1,3.566004187,0.133339268,0.133564784,0.153546758,,,,,,
merlin,pipeline,medium,1,43.203503306,0.139213167,0.135678293,0.177677422,,,,,,
merlin,pipeline,long,1,186.454695237,0.139019724,0.133770225,0.176670303,,,,,,
merlin,scatter_gather,short,1,3.970454201,0.134010782,,,0.133199264,0.134033771,0.153545315,0.133271540,0.000000000,3.274097346
merlin,scatter_gather,short,2,2.434812601,0.133975839,,,0.132992325,0.161525054,0.179265950,0.132766848,0.047216660,1.682373051
merlin,scatter_gather,short,4,1.691283673,0.134620820,,,0.132386904,0.164871482,0.184134075,0.133161032,0.113732563,0.933605002
merlin,scatter_gather,medium,1,43.227385794,0.138200240,,,0.134500995,0.134128740,0.175613010,0.134729260,0.000000000,42.501924884
