system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.378508832,6.371025603,2.992516771,88.575076160,1.885750762,,
streamflow,pipeline,medium,1,40.835866672,44.859996337,4.024129665,9.854400048,1.098544000,,
streamflow,pipeline,long,1,189.837130670,190.998191277,1.161060607,0.611608805,1.006116088,,
streamflow,scatter_gather,short,1,3.509290988,5.805560648,2.296269660,65.434005554,1.654340056,3.265653955,3.269079421
streamflow,scatter_gather,short,2,1.906270930,4.151978134,2.245707204,117.806297555,2.178062976,1.660557295,1.648568659
streamflow,scatter_gather,short,4,1.081718069,3.388920824,2.307202755,213.290581078,3.132905811,0.835802177,0.835327659
streamflow,scatter_gather,medium,1,42.623213087,46.325673683,3.702460596,8.686488718,1.086864887,42.358178623,42.206787996
streamflow,scatter_gather,medium,2,21.602373982,25.672910297,4.070536315,18.843004562,1.188430046,21.352208882,21.647721912
streamflow,scatter_gather,medium,4,11.059083376,13.498920544,2.439837168,22.061838988,1.220618390,10.805572695,10.857742737
streamflow,scatter_gather,long,1,197.363368432,199.121526720,1.758158288,0.890823004,1.008908230,197.095497249,195.030412159
streamflow,scatter_gather,long,2,100.025062735,104.645269129,4.620206394,4.619048734,1.046190487,99.750734039,100.360565709
streamflow,scatter_gather,long,4,50.798454800,54.853930987,4.055476187,7.983463676,1.079834637,50.431574817,50.534091461
nextflow,pipeline,short,1,3.386725049,6.472371726,3.085646677,91.110044,1.911100438,,
nextflow,pipeline,medium,1,40.414508305,43.990812377,3.576304072,8.849060,1.088490600,,
nextflow,pipeline,long,1,185.244133068,195.564158987,10.320025919,5.571041,1.055710406,,
nextflow,scatter_gather,short,1,3.486612089,6.761180916,3.274568827,93.918358,1.939183581,3.235638311,3.217045870
nextflow,scatter_gather,short,2,1.894821973,5.192085111,3.297263138,174.014403,2.740144027,1.641395074,1.647475489
nextflow,scatter_gather,short,4,1.107706003,4.211716430,3.104010427,280.219699,3.802196990,0.861118047,0.824661501
nextflow,scatter_gather,medium,1,42.057972406,45.355538098,3.297565692,7.840525,1.078405246,41.758634603,41.791854277
nextflow,scatter_gather,medium,2,21.477682566,24.901360758,3.423678192,15.940631,1.159406313,21.136629365,21.175923694
nextflow,scatter_gather,medium,4,11.026432360,14.442049403,3.415617043,30.976629,1.309766290,10.770266170,10.901259432
nextflow,scatter_gather,long,1,196.101342450,195.459759125,-0.641583325,-0.327169,0.996728307,195.719192724,191.728812485
nextflow,scatter_gather,long,2,98.335086136,103.139973365,4.804887229,4.886239,1.048862389,97.947513105,99.478251121
nextflow,scatter_gather,long,4,50.160792733,53.402597783,3.241805050,6.462827,1.064628266,49.816635009,49.758943697
merlin,pipeline,short,1,3.305315650,5.096103100,1.790787450,54.179014643,1.541790146,,
merlin,pipeline,medium,1,42.252168333,46.045240548,3.793072215,8.977224991,1.089772250,,
merlin,pipeline,long,1,190.891332571,193.250429656,2.359097085,1.235832478,1.012358325,,
merlin,scatter_gather,short,1,3.502368055,5.418023624,1.915655569,54.696009640,1.546960096,3.277947740,3.258967522
merlin,scatter_gather,short,2,1.860145744,3.933141942,2.072996198,111.442676182,2.114426762,1.633892377,1.702218746
merlin,scatter_gather,short,4,1.053386686,3.210650661,2.157263975,204.793168897,3.047931689,0.829092205,0.970668509
merlin,scatter_gather,medium,1,43.107286266,45.588933804,2.481647538,5.756909685,1.057569097,42.849477808,42.712690834
merlin,scatter_gather,medium,2,21.655624050,24.539231046,2.883606996,13.315741857,1.133157419,21.426039035,21.543982696
merlin,scatter_gather,medium,4,11.173903170,13.488758742,2.314855572,20.716624592,1.207166246,10.944560183,11.157313859
merlin,scatter_gather,long,1,197.674371612,200.771192924,3.096821312,1.566627624,1.015666276,197.412768061,197.846165591
merlin,scatter_gather,long,2,100.109877775,103.732774805,3.622897030,3.618920641,1.036189206,99.848592713,100.770931281
merlin,scatter_gather,long,4,50.577788594,53.645094787,3.067306193,6.064532037,1.060645320,50.315068622,50.624523265
aiida,pipeline,short,1,3.749341,12.245297,8.495956,226.598667,3.265987,,
aiida,pipeline,medium,1,47.701943,59.548260,11.846317,24.834034,1.248340,,
aiida,pipeline,long,1,218.111485,226.464599,8.353114,3.829745,1.038297,,
aiida,scatter_gather,short,1,3.683834,17.085182,13.401348,363.788054,4.637881,3.482332,3.532794
aiida,scatter_gather,short,2,2.003101,15.651363,13.648262,681.356521,7.813565,1.797953,1.829572
aiida,scatter_gather,short,4,1.114275,16.448696,15.334421,1376.179538,14.761795,0.911173,1.941502
aiida,scatter_gather,medium,1,46.012572,59.931171,13.918600,30.249558,1.302496,45.754356,46.459637
aiida,scatter_gather,medium,2,23.483697,37.261995,13.778298,58.671756,1.586718,23.267167,23.630337
aiida,scatter_gather,medium,4,12.117425,27.049901,14.932475,123.231419,2.232314,11.885538,12.910978
aiida,scatter_gather,long,1,213.755867,226.773261,13.017394,6.089842,1.060898,213.529647,213.930241
aiida,scatter_gather,long,2,106.850335,121.786611,14.936276,13.978689,1.139787,106.622191,107.845359
aiida,scatter_gather,long,4,54.684421,69.060360,14.375939,26.288912,1.262889,54.450599,54.951741
