system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.396416465,0.068720155,0.066961002,0.092372691,,,,,,
streamflow,pipeline,medium,1,41.060947221,0.055628107,0.056339184,0.103496449,,,,,,
streamflow,pipeline,long,1,187.376017500,0.056844900,0.056830580,0.104326063,,,,,,
streamflow,scatter_gather,short,1,3.591306486,0.055983373,,,0.055189377,0.057748436,0.097677444,0.054174691,0.000000000,3.269079421
streamflow,scatter_gather,short,2,2.001496634,0.056179703,,,0.055262996,0.059549799,0.127045866,0.053985414,0.004882300,1.648568659
streamflow,scatter_gather,short,4,1.250145874,0.056513284,,,0.056020926,0.060851535,0.183619202,0.055481788,0.018789981,0.835327659
streamflow,scatter_gather,medium,1,42.563732340,0.057102799,,,0.053505707,0.057362118,0.121167648,0.055982632,0.000000000,42.206787996
streamflow,scatter_gather,medium,2,22.027277409,0.056952409,,,0.054681640,0.058965482,0.129845820,0.054753249,0.005556037,21.647721912
streamflow,scatter_gather,medium,4,11.275568323,0.056211256,,,0.055708575,0.061266082,0.189954469,0.054596702,0.017628147,10.857742737
streamflow,scatter_gather,long,1,195.421116723,0.056303386,,,0.055328504,0.057687869,0.145938961,0.055938749,0.000000000,195.030412159
streamflow,scatter_gather,long,2,100.981337979,0.057216417,,,0.055060836,0.059258958,0.152139173,0.055775136,0.005662456,100.360565709
streamflow,scatter_gather,long,4,51.162638073,0.057675762,,,0.055351851,0.061405915,0.210491359,0.067005032,0.017929353,50.534091461
nextflow,pipeline,short,1,3.488971779,0.127972099,0.099766500,0.126656384,,,,,,
nextflow,pipeline,medium,1,40.979537718,0.126421920,0.098295836,0.135361976,,,,,,
nextflow,pipeline,long,1,192.612001524,0.138957395,0.113316256,0.139549490,,,,,,
nextflow,scatter_gather,short,1,3.725210890,0.109853696,,,0.092646478,0.099998577,0.108931279,0.081738824,0.000000000,3.217045870
nextflow,scatter_gather,short,2,2.155760468,0.109750916,,,0.094941138,0.101154022,0.109601076,0.080486270,0.006336523,1.647475489
nextflow,scatter_gather,short,4,1.373683467,0.114078197,,,0.093762403,0.109936770,0.116482567,0.079695512,0.020514612,0.824661501
nextflow,scatter_gather,medium,1,42.324617194,0.113920384,,,0.094506917,0.111701743,0.135945718,0.102857000,0.000000000,41.791854277
nextflow,scatter_gather,medium,2,21.815961918,0.123005107,,,0.112778971,0.115033901,0.134087110,0.080260808,0.006443703,21.175923694
nextflow,scatter_gather,medium,4,11.427546902,0.113599986,,,0.095006785,0.104766804,0.119079013,0.082382199,0.022216286,10.901259432
nextflow,scatter_gather,long,1,192.387112410,0.131487155,,,0.124054367,0.124943473,0.142660477,0.106553377,0.000000000,191.728812485
nextflow,scatter_gather,long,2,100.071090886,0.134363068,,,0.122184801,0.123205027,0.143323381,0.105723081,0.007013030,99.478251121
nextflow,scatter_gather,long,4,50.329115388,0.120975125,,,0.107402273,0.105490281,0.149503923,0.103878578,0.025718910,49.758943697
merlin,pipeline,short,1,3.607375445,0.141197449,0.141466928,0.162539378,,,,,,
merlin,pipeline,medium,1,43.768749003,0.146919588,0.143118010,0.191588348,,,,,,
merlin,pipeline,long,1,191.056946060,0.141718727,0.141957456,0.189836322,,,,,,
merlin,scatter_gather,short,1,3.986102227,0.141008170,,,0.140293513,0.140164774,0.161384874,0.137740773,0.000000000,3.258967522
merlin,scatter_gather,short,2,2.489103377,0.139139115,,,0.138717187,0.167030799,0.190812168,0.137918030,0.050418395,1.702218746
merlin,scatter_gather,short,4,1.774324582,0.140384890,,,0.138806157,0.168756569,0.199418527,0.138458507,0.149918638,0.970668509
merlin,scatter_gather,medium,1,43.465833913,0.142027807,,,0.141137161,0.140526209,0.189201513,0.139582858,0.000000000,42.712690834
merlin,scatter_gather,medium,2,22.333611171,0.141716664,,,0.140460719,0.168566659,0.191976187,0.139152355,0.048648812,21.543982696
merlin,scatter_gather,medium,4,11.966212684,0.141492951,,,0.141395921,0.169746380,0.204132239,0.139583420,0.151900417,11.157313859
merlin,scatter_gather,long,1,198.614190249,0.142939572,,,0.141849096,0.141117364,0.190923244,0.139451176,0.000000000,197.846165591
merlin,scatter_gather,long,2,101.599059213,0.142405987,,,0.141948899,0.168401503,0.223359059,0.139562286,0.048208574,100.770931281
merlin,scatter_gather,long,4,51.466493540,0.143101051,,,0.141677417,0.172732959,0.235190012,0.141699466,0.149270336,50.624523265
aiida,pipeline,short,1,9.472990,1.945439,1.941587,1.939964,,,,,,
aiida,pipeline,medium,1,56.577356,1.963278,2.035662,2.041012,,,,,,
aiida,pipeline,long,1,223.469559,1.995723,1.994727,2.088473,,,,,,
aiida,scatter_gather,short,1,13.778877,1.991500,,,2.066759,2.026704,2.117482,2.027663,0.000000,3.532794
aiida,scatter_gather,short,2,12.605803,2.023945,,,2.105765,2.467129,2.141826,2.051202,0.026109,1.829572
aiida,scatter_gather,short,4,13.446375,1.986772,,,2.070189,2.595623,2.716423,2.047984,1.026909,1.941502
aiida,scatter_gather,medium,1,56.748147,1.981228,,,1.999447,2.045742,2.100516,2.008201,0.000000,46.459637
aiida,scatter_gather,medium,2,34.149505,1.997423,,,1.978207,2.470838,2.134746,1.967967,0.042961,23.630337
aiida,scatter_gather,medium,4,23.963470,1.906707,,,1.935940,2.575154,2.650979,1.963052,1.044871,12.910978
aiida,scatter_gather,long,1,223.804526,1.912745,,,1.927341,1.968041,2.150446,1.956060,0.000000,213.930241
aiida,scatter_gather,long,2,118.590244,1.945141,,,1.980612,2.385560,2.304572,2.006884,0.020996,107.845359
aiida,scatter_gather,long,4,66.046751,1.932982,,,1.988564,2.640802,2.568757,1.937171,1.006954,54.951741
