system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s
streamflow,pipeline,long,1,246.840311,252.019442,4.151600
streamflow,pipeline,medium,1,54.123722,56.055027,1.952507
streamflow,pipeline,short,1,4.266422,5.808178,1.552223
streamflow,scatter_gather,long,1,246.383325,248.392398,2.084837
streamflow,scatter_gather,long,2,124.663781,126.503443,1.700079
streamflow,scatter_gather,long,4,63.003198,66.449269,2.733153
streamflow,scatter_gather,medium,1,53.686498,55.704455,1.883388
streamflow,scatter_gather,medium,2,27.224856,29.051299,1.833209
streamflow,scatter_gather,medium,4,13.874091,15.687854,1.880585
streamflow,scatter_gather,short,1,4.301221,5.988382,1.687161
streamflow,scatter_gather,short,2,2.260180,3.619381,1.355250
streamflow,scatter_gather,short,4,1.223588,2.671812,1.447271
nextflow,pipeline,long,1,277.007304,280.217870,3.079778
nextflow,pipeline,medium,1,59.771217,63.077675,3.321628
nextflow,pipeline,short,1,4.719040,7.175057,2.461094
nextflow,scatter_gather,long,1,277.115298,279.050339,1.505743
nextflow,scatter_gather,long,2,140.040977,142.607319,2.823607
nextflow,scatter_gather,long,4,70.144271,73.248597,3.124443
nextflow,scatter_gather,medium,1,60.399210,63.385696,2.939232
nextflow,scatter_gather,medium,2,30.415755,34.195525,3.712413
nextflow,scatter_gather,medium,4,15.501278,18.574264,3.099352
nextflow,scatter_gather,short,1,4.845374,8.024202,3.151527
nextflow,scatter_gather,short,2,2.555078,5.629486,3.064263
nextflow,scatter_gather,short,4,1.394423,4.343750,2.922933
merlin,pipeline,long,1,235.270193,237.562501,2.541206
merlin,pipeline,medium,1,51.079798,53.367768,2.278010
merlin,pipeline,short,1,4.064294,6.113074,2.047043
merlin,scatter_gather,long,1,245.712590,248.606772,2.894182
merlin,scatter_gather,long,2,124.439733,127.762181,3.355735
merlin,scatter_gather,long,4,62.261243,65.771195,3.509952
merlin,scatter_gather,medium,1,54.159776,57.602289,3.316390
merlin,scatter_gather,medium,2,27.743843,31.114235,3.461235
merlin,scatter_gather,medium,4,14.121065,17.760092,3.471137
merlin,scatter_gather,short,1,4.369453,7.408827,3.094936
merlin,scatter_gather,short,2,2.300994,5.298922,2.939570
merlin,scatter_gather,short,4,1.300485,4.906477,3.605992
aiida,pipeline,long,1,235.465157,244.639419,9.623184
aiida,pipeline,medium,1,51.298963,56.909790,5.550986
aiida,pipeline,short,1,4.084300,9.159061,5.076024
aiida,scatter_gather,long,1,245.528439,254.815995,9.225383
aiida,scatter_gather,long,2,124.425586,133.240586,8.925150
aiida,scatter_gather,long,4,62.349260,72.652369,10.254556
aiida,scatter_gather,medium,1,53.317424,61.438457,8.262058
aiida,scatter_gather,medium,2,27.139846,35.449452,8.322498
aiida,scatter_gather,medium,4,13.679564,22.857693,9.184664
aiida,scatter_gather,short,1,4.314847,11.671912,7.376807
aiida,scatter_gather,short,2,2.289952,9.879638,7.591782
aiida,scatter_gather,short,4,1.267477,10.674212,9.387250
pegasus,pipeline,long,1,263.481505,442.015809,178.534304
pegasus,pipeline,medium,1,56.967185,227.775178,170.764510
pegasus,pipeline,short,1,4.516725,184.134455,179.617730
pegasus,scatter_gather,long,1,263.488850,479.892994,216.404145
pegasus,scatter_gather,long,2,133.512708,352.374900,219.416699
pegasus,scatter_gather,long,4,67.103657,288.597413,221.013083
pegasus,scatter_gather,medium,1,57.061885,267.854844,210.548431
pegasus,scatter_gather,medium,2,29.071634,247.774275,218.789106
pegasus,scatter_gather,medium,4,14.791358,232.666757,217.843762
pegasus,scatter_gather,short,1,4.623364,206.782928,202.159564
pegasus,scatter_gather,short,2,2.474267,206.267450,203.790606
pegasus,scatter_gather,short,4,1.353646,206.815732,205.438394
