system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,4.317313000,0.062263000,0.060838000,0.061784000,,,,,,
streamflow,pipeline,medium,1,54.210230000,0.061697000,0.061780000,0.063816000,,,,,,
streamflow,pipeline,long,1,249.992907000,0.057600000,0.062377000,0.079911000,,,,,,
streamflow,scatter_gather,short,1,4.388153000,0.056999000,,,0.055807000,0.059311000,0.063740000,0.055948000,0.000000000,4.098133000
streamflow,scatter_gather,short,2,2.348192000,0.053671000,,,0.050851000,0.057608000,0.062348000,0.051204000,0.008182000,2.066517000
streamflow,scatter_gather,short,4,1.343449000,0.053043000,,,0.050776000,0.061988000,0.070449000,0.051467000,0.035098000,1.054748000
streamflow,scatter_gather,medium,1,53.771739000,0.054456000,,,0.051965000,0.056222000,0.074225000,0.056278000,0.000000000,53.466944000
streamflow,scatter_gather,medium,2,27.331748000,0.053810000,,,0.050943000,0.059795000,0.068687000,0.050232000,0.009454000,27.040913000
streamflow,scatter_gather,medium,4,13.895709000,0.054822000,,,0.051853000,0.063663000,0.076114000,0.052861000,0.040005000,13.592662000
streamflow,scatter_gather,long,1,246.215431000,0.061977000,,,0.055795000,0.064592000,0.078077000,0.052641000,0.000000000,245.900393000
streamflow,scatter_gather,long,2,124.818167000,0.055302000,,,0.055612000,0.061116000,0.068343000,0.053240000,0.009620000,124.526388000
streamflow,scatter_gather,long,4,63.904026000,0.059659000,,,0.052018000,0.064019000,0.101024000,0.063966000,0.039649000,63.535205000
nextflow,pipeline,short,1,4.849185000,0.103951000,0.081062000,0.083767000,,,,,,
nextflow,pipeline,medium,1,60.082560000,0.102616000,0.082272000,0.084587000,,,,,,
nextflow,pipeline,long,1,277.439371000,0.104543000,0.084926000,0.097561000,,,,,,
nextflow,scatter_gather,short,1,5.117067000,0.112266000,,,0.098230000,0.101927000,0.079839000,0.079145000,0.000000000,4.633595000
nextflow,scatter_gather,short,2,2.830908000,0.110921000,,,0.099308000,0.102041000,0.094770000,0.078501000,0.000692000,2.339709000
nextflow,scatter_gather,short,4,1.736842000,0.105944000,,,0.094905000,0.132395000,0.117718000,0.081813000,0.006230000,1.186129000
nextflow,scatter_gather,medium,1,60.363069000,0.111511000,,,0.098026000,0.099933000,0.096213000,0.075778000,0.000000000,59.883260000
nextflow,scatter_gather,medium,2,30.951473000,0.108155000,,,0.089156000,0.097446000,0.100517000,0.075072000,0.001173000,30.468151000
nextflow,scatter_gather,medium,4,15.772943000,0.113214000,,,0.090189000,0.110276000,0.109901000,0.073420000,0.007395000,15.261503000
nextflow,scatter_gather,long,1,276.135219000,0.107086000,,,0.098874000,0.095926000,0.106525000,0.074795000,0.000000000,275.645704000
nextflow,scatter_gather,long,2,139.917748000,0.109120000,,,0.091929000,0.101455000,0.099699000,0.074224000,0.002561000,139.447547000
nextflow,scatter_gather,long,4,70.473558000,0.104118000,,,0.096850000,0.104777000,0.114137000,0.076420000,0.007190000,69.978680000
merlin,pipeline,short,1,5.017487000,0.360731000,0.362510000,0.376454000,,,,,,
merlin,pipeline,medium,1,52.099061000,0.360367000,0.372471000,0.480068000,,,,,,
merlin,pipeline,long,1,236.229760000,0.362705000,0.352492000,0.494819000,,,,,,
merlin,scatter_gather,short,1,6.220143000,0.369120000,,,0.375121000,0.357921000,0.386077000,0.392017000,0.000000000,4.168826000
merlin,scatter_gather,short,2,4.218936000,0.369455000,,,0.379230000,0.397316000,0.416606000,0.372698000,0.227326000,2.302905000
merlin,scatter_gather,short,4,3.778505000,0.388365000,,,0.375863000,0.414802000,0.413486000,0.381996000,0.729169000,1.792298000
merlin,scatter_gather,medium,1,56.182060000,0.416346000,,,0.401298000,0.408130000,0.493453000,0.390940000,0.000000000,54.072126000
merlin,scatter_gather,medium,2,29.732136000,0.391683000,,,0.375924000,0.415089000,0.434225000,0.377298000,0.227974000,27.669282000
merlin,scatter_gather,medium,4,16.390089000,0.386486000,,,0.382145000,0.435984000,0.429741000,0.398482000,0.733614000,14.327299000
merlin,scatter_gather,long,1,247.215482000,0.364071000,,,0.359462000,0.364926000,0.473860000,0.377839000,0.000000000,245.277922000
merlin,scatter_gather,long,2,126.360141000,0.348852000,,,0.358390000,0.378709000,0.484062000,0.360562000,0.237746000,124.383225000
merlin,scatter_gather,long,4,64.622450000,0.351826000,,,0.349645000,0.392742000,0.447313000,0.348177000,0.743041000,62.671713000
aiida,pipeline,short,1,7.462076,1.127906,1.134664,1.180122,,,,,,
aiida,pipeline,medium,1,55.015016,1.154942,1.158235,1.403966,,,,,,
aiida,pipeline,long,1,242.606900,1.154627,1.160779,1.757909,,,,,,
aiida,scatter_gather,short,1,9.770120,1.106419,,,1.116903,1.193625,1.210829,1.137866,0.000000,4.109429
aiida,scatter_gather,short,2,7.981104,1.136630,,,1.077253,1.351422,1.254513,1.144558,0.058030,2.132066
aiida,scatter_gather,short,4,8.753346,1.160109,,,1.126175,1.517733,1.587453,1.240509,0.739645,1.833339
aiida,scatter_gather,medium,1,59.499689,1.117747,,,1.096519,1.141530,1.330538,1.246101,0.000000,53.389110
aiida,scatter_gather,medium,2,33.506847,1.118270,,,1.172055,1.443673,1.319477,1.175688,0.086667,27.301885
aiida,scatter_gather,medium,4,21.020566,1.095437,,,1.085680,1.429971,1.294824,1.199756,0.697858,14.727704
aiida,scatter_gather,long,1,252.902244,1.126193,,,1.145863,1.150151,1.561458,1.192341,0.000000,246.621960
aiida,scatter_gather,long,2,131.201446,1.041791,,,1.052929,1.421262,1.595987,1.112478,0.052899,124.768788
aiida,scatter_gather,long,4,70.856084,1.071919,,,1.112761,1.352060,1.311789,1.045345,0.661349,64.937854
pegasus,pipeline,short,1,68.178314000,20.135045000,19.918766000,23.434253000,,,,,,
pegasus,pipeline,medium,1,120.185263000,20.464522000,20.167685000,23.140543000,,,,,,
pegasus,pipeline,long,1,324.332036000,20.400833000,19.946356000,21.364473000,,,,,,
pegasus,scatter_gather,short,1,100.466294000,20.478838000,,,19.919650000,19.884144000,15.680754000,20.188430000,0.000000000,4.386206000
pegasus,scatter_gather,short,2,99.978836000,19.945483000,,,20.052213000,19.969312000,18.205265000,20.117767000,0.011164000,2.242285000
pegasus,scatter_gather,short,4,100.157517000,19.838749000,,,19.906470000,19.927108000,19.056072000,19.735334000,0.061892000,1.188009000
pegasus,scatter_gather,medium,1,159.515184000,20.230760000,,,19.804678000,19.853364000,23.430170000,19.856186000,0.000000000,56.776920000
