system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
aiida,pipeline,short,1,4.084300,9.159061,5.074761,124.250447,2.242504,,
aiida,pipeline,medium,1,51.298963,56.909790,5.610827,10.937506,1.109375,,
aiida,pipeline,long,1,235.465157,244.639419,9.174262,3.896229,1.038962,,
aiida,scatter_gather,short,1,4.314847,11.671912,7.357065,170.505814,2.705058,4.091644,4.109429
aiida,scatter_gather,short,2,2.289952,9.879638,7.589686,331.434283,4.314343,2.065433,2.132066
aiida,scatter_gather,short,4,1.267477,10.674212,9.406735,742.162185,8.421622,1.037119,1.833339
aiida,scatter_gather,medium,1,53.317424,61.438457,8.121033,15.231480,1.152315,53.086014,53.389110
aiida,scatter_gather,medium,2,27.139846,35.449452,8.309606,30.617735,1.306177,26.884458,27.301885
aiida,scatter_gather,medium,4,13.679564,22.857693,9.178129,67.093725,1.670937,13.444005,14.727704
aiida,scatter_gather,long,1,245.528439,254.815995,9.287556,3.782680,1.037827,245.283095,246.621960
aiida,scatter_gather,long,2,124.425586,133.240586,8.815000,7.084556,1.070846,124.164259,124.768788
aiida,scatter_gather,long,4,62.349260,72.652369,10.303109,16.524830,1.165248,62.085269,64.937854
