system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,4.078644,9.491214,5.412570,132.705134,2.327051,,,7.568739,1.127906,1.173688,1.248342,,,,,
aiida,pipeline,short,1,2,4.083037,9.159061,5.076024,124.319814,2.243198,,,7.462076,1.185516,1.124130,1.180122,,,,,
aiida,pipeline,short,1,3,4.084300,9.091243,5.006943,122.589991,2.225900,,,7.347080,1.091867,1.206409,1.077172,,,,,
aiida,pipeline,short,1,4,4.093431,9.394503,5.301072,129.501926,2.295019,,,7.552391,1.267902,1.134664,1.182604,,,,,
aiida,pipeline,short,1,5,4.190859,9.057394,4.866535,116.122614,2.161226,,,7.291858,1.100217,1.123029,1.094995,,,,,
aiida,pipeline,medium,1,1,51.224569,57.814444,6.589875,12.864676,1.128647,,,56.164375,1.068195,1.131847,1.525172,,,,,
aiida,pipeline,medium,1,2,51.314065,56.911867,5.597802,10.908904,1.109089,,,55.015016,1.154942,1.248901,1.365562,,,,,
aiida,pipeline,medium,1,3,51.298963,56.849949,5.550986,10.820854,1.108209,,,54.963613,1.217288,1.205629,1.249350,,,,,
aiida,pipeline,medium,1,4,51.180561,56.598459,5.417898,10.585851,1.105859,,,54.882701,1.148440,1.158235,1.417894,,,,,
aiida,pipeline,medium,1,5,51.384905,56.909790,5.524885,10.751961,1.107520,,,55.081148,1.163427,1.078449,1.403966,,,,,
aiida,pipeline,long,1,1,235.465157,248.442340,12.977183,5.511297,1.055113,,,246.628464,1.154627,1.160779,2.437815,,,,,
aiida,pipeline,long,1,2,236.000978,243.869556,7.868578,3.334129,1.033341,,,241.708207,1.105539,1.023526,1.757909,,,,,
aiida,pipeline,long,1,3,235.016235,244.639419,9.623184,4.094689,1.040947,,,242.606900,1.169531,1.215492,1.717247,,,,,
aiida,scatter_gather,short,1,1,4.348268,12.598051,8.249783,189.725725,2.897257,4.102999,4.111953,10.332135,1.302738,,,1.210755,1.215397,1.225068,1.263355,0.000000
aiida,scatter_gather,short,1,2,4.314847,12.461663,8.146816,188.808920,2.888089,4.091644,4.255845,10.752215,1.429086,,,1.323828,1.248315,1.389737,1.102499,0.000000
aiida,scatter_gather,short,1,3,4.295105,11.671912,7.376807,171.749166,2.717492,4.070032,4.109429,9.770120,1.106419,,,1.088331,1.091608,1.210829,1.160695,0.000000
aiida,scatter_gather,short,1,4,4.301004,11.347777,7.046773,163.840187,2.638402,4.070606,4.079071,9.635897,1.088624,,,1.116903,1.193625,1.098797,1.056498,0.000000
aiida,scatter_gather,short,1,5,4.334272,11.368567,7.034295,162.294729,2.622947,4.103234,4.072508,9.618111,1.038733,,,1.095297,1.092390,1.178739,1.137866,0.000000
aiida,scatter_gather,short,2,1,2.321290,9.619450,7.298160,314.401044,4.144010,2.065433,2.074926,7.913211,0.952701,,,1.232160,1.351422,1.254513,1.044862,0.000023
aiida,scatter_gather,short,2,2,2.287856,9.879638,7.591782,331.829538,4.318295,2.063544,2.132066,7.981104,1.136630,,,1.071014,1.295760,1.195183,1.147466,0.056610
aiida,scatter_gather,short,2,3,2.285812,10.327637,8.041825,351.814804,4.518148,2.059980,2.158946,8.412606,1.236532,,,1.077253,1.383808,1.408155,1.144558,0.071927
