system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,long,1,1,235.465157,243.625083,8.159926,3.465449,1.034654,,,242.038810,0.961944,0.899544,1.004169,,,,,
aiida,pipeline,long,1,2,236.000978,243.484338,7.483360,3.170902,1.031709,,,242.085944,1.111620,0.925409,0.996248,,,,,
aiida,pipeline,long,1,3,235.016235,241.637191,6.620956,2.817233,1.028172,,,240.413586,0.816966,0.822730,0.797237,,,,,
aiida,scatter_gather,long,1,1,245.528439,252.873819,7.345380,2.991662,1.029917,245.283095,247.125072,251.368243,0.842293,,,0.829951,0.810903,0.912162,0.845847,0.000000
aiida,scatter_gather,long,1,2,245.152654,252.303648,7.150994,2.916956,1.029170,244.899662,246.310270,250.874736,0.870697,,,0.831818,0.845111,1.023097,0.991574,0.000000
aiida,scatter_gather,long,1,3,245.879342,252.283535,6.404193,2.604608,1.026046,245.612835,246.059836,250.636821,0.918934,,,1.001672,0.925032,0.873689,0.855546,0.000000
aiida,scatter_gather,long,2,1,124.315436,136.382874,12.067438,9.707112,1.097071,123.993428,130.318840,135.048169,0.841252,,,0.963479,1.145287,0.964755,0.810590,0.020399
aiida,scatter_gather,long,2,2,124.425586,131.049146,6.623560,5.323310,1.053233,124.164259,125.091692,129.761787,0.843534,,,0.935724,1.047637,0.962491,0.878502,0.037409
aiida,scatter_gather,long,2,3,124.825003,130.918669,6.093666,4.881767,1.048818,124.548692,125.036351,129.616771,0.932482,,,0.868493,1.069437,0.883462,0.823479,0.071752
aiida,scatter_gather,long,4,1,62.349260,70.752271,8.403011,13.477323,1.134773,62.085269,64.620904,69.347227,0.860510,,,0.857764,1.089523,1.078654,0.836577,0.544185
aiida,scatter_gather,long,4,2,62.397813,76.518516,14.120703,22.630125,1.226301,62.152333,69.970599,75.022999,0.880933,,,1.039924,1.233906,1.078804,0.815421,0.742808
aiida,scatter_gather,long,4,3,62.300048,70.227077,7.927029,12.723953,1.127240,62.069736,64.251793,68.864706,0.790588,,,0.826101,1.083705,1.099129,0.810388,0.611719
