system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
Merlin,Pipeline,long,1,235.270193000,237.562501000,2.292308000,0.974329970,1.009743300,,
Merlin,Pipeline,medium,1,51.079798000,53.367768000,2.287970000,4.479207220,1.044792072,,
Merlin,Pipeline,short,1,4.064294000,6.113074000,2.048780000,50.409246969,1.504092470,,
Merlin,Scatter-Gather,long,1,245.712590000,248.606772000,2.894182000,1.177872896,1.011778729,245.490911000,245.277922000
Merlin,Scatter-Gather,long,2,124.439733000,127.762181000,3.322448000,2.669925369,1.026699254,124.222483000,124.383225000
Merlin,Scatter-Gather,long,4,62.261243000,65.771195000,3.509952000,5.637458924,1.056374589,62.057810000,62.671713000
Merlin,Scatter-Gather,medium,1,54.159776000,57.602289000,3.442513000,6.356217204,1.063562172,53.916406000,54.072126000
Merlin,Scatter-Gather,medium,2,27.743843000,31.114235000,3.370392000,12.148252137,1.121482521,27.487449000,27.669282000
Merlin,Scatter-Gather,medium,4,14.121065000,17.760092000,3.639027000,25.770202177,1.257702022,13.876660000,14.327299000
Merlin,Scatter-Gather,short,1,4.369453000,7.408827000,3.039374000,69.559599337,1.695595993,4.159878000,4.168826000
Merlin,Scatter-Gather,short,2,2.300994000,5.298922000,2.997928000,130.288388410,2.302883884,2.088968000,2.302905000
Merlin,Scatter-Gather,short,4,1.300485000,4.906477000,3.605992000,277.280553024,3.772805530,1.056853000,1.792298000
