system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
Merlin,Pipeline,long,1,236.229760000,0.362705000,0.352492000,0.494819000,,,,,,
Merlin,Pipeline,medium,1,52.099061000,0.360367000,0.372471000,0.480068000,,,,,,
Merlin,Pipeline,short,1,5.017487000,0.360731000,0.362510000,0.376454000,,,,,,
Merlin,Scatter-Gather,long,1,247.215482000,0.364071000,,,0.359462000,0.364926000,0.473860000,0.377839000,0.000000000,245.277922000
Merlin,Scatter-Gather,long,2,126.360141000,0.348852000,,,0.358390000,0.378709000,0.484062000,0.360562000,0.237746000,124.383225000
Merlin,Scatter-Gather,long,4,64.622450000,0.351826000,,,0.349645000,0.392742000,0.447313000,0.348177000,0.743041000,62.671713000
Merlin,Scatter-Gather,medium,1,56.182060000,0.416346000,,,0.401298000,0.408130000,0.493453000,0.390940000,0.000000000,54.072126000
Merlin,Scatter-Gather,medium,2,29.732136000,0.391683000,,,0.375924000,0.415089000,0.434225000,0.377298000,0.227974000,27.669282000
Merlin,Scatter-Gather,medium,4,16.390089000,0.386486000,,,0.382145000,0.435984000,0.429741000,0.398482000,0.733614000,14.327299000
Merlin,Scatter-Gather,short,1,6.220143000,0.369120000,,,0.375121000,0.357921000,0.386077000,0.392017000,0.000000000,4.168826000
Merlin,Scatter-Gather,short,2,4.218936000,0.369455000,,,0.379230000,0.397316000,0.416606000,0.372698000,0.227326000,2.302905000
Merlin,Scatter-Gather,short,4,3.778505000,0.388365000,,,0.375863000,0.414802000,0.413486000,0.381996000,0.729169000,1.792298000
