system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
Merlin,Scatter-Gather,short,4,1,1.257357000,5.371160000,4.113803000,327.178597646,4.271785976,1.042995000,1.761784000,3.680356000,0.388365000,,,0.363283000,0.390476000,0.407582000,0.365514000,0.728196000
Merlin,Pipeline,short,1,1,4.080486000,6.315747000,2.235261000,54.779283644,1.547792836,,,5.061152000,0.372256000,0.380057000,0.376454000,,,,,
Merlin,Pipeline,short,1,2,4.066031000,6.113074000,2.047043000,50.344992451,1.503449925,,,5.041378000,0.341949000,0.366228000,0.423498000,,,,,
Merlin,Pipeline,short,1,3,4.064294000,6.191233000,2.126939000,52.332311590,1.523323116,,,5.017487000,0.364124000,0.362510000,0.378173000,,,,,
Merlin,Pipeline,short,1,4,4.055289000,6.080475000,2.025186000,49.939375467,1.499393755,,,4.960260000,0.341488000,0.336525000,0.365185000,,,,,
Merlin,Pipeline,short,1,5,4.060122000,6.075811000,2.015689000,49.646020489,1.496460205,,,4.998562000,0.360731000,0.357826000,0.365501000,,,,,
Merlin,Pipeline,medium,1,1,51.208101000,53.611277000,2.403176000,4.692960592,1.046929606,,,52.270367000,0.407856000,0.400494000,0.486285000,,,,,
Merlin,Pipeline,medium,1,2,51.001682000,53.279692000,2.278010000,4.466538966,1.044665390,,,52.085559000,0.371274000,0.375910000,0.493805000,,,,,
Merlin,Pipeline,medium,1,3,51.079798000,53.204764000,2.124966000,4.160090845,1.041600908,,,52.029552000,0.356415000,0.354523000,0.480068000,,,,,
Merlin,Pipeline,medium,1,4,51.240427000,53.386139000,2.145712000,4.187537313,1.041875373,,,52.099061000,0.350244000,0.362138000,0.464249000,,,,,
Merlin,Pipeline,medium,1,5,51.022264000,53.367768000,2.345504000,4.597020626,1.045970206,,,52.210121000,0.360367000,0.372471000,0.434999000,,,,,
Merlin,Pipeline,long,1,1,235.021295000,237.562501000,2.541206000,1.081266274,1.010812663,,,236.229760000,0.367376000,0.369545000,0.503528000,,,,,
Merlin,Pipeline,long,1,2,235.270193000,237.301615000,2.031422000,0.863442145,1.008634421,,,235.896875000,0.329486000,0.333884000,0.441687000,,,,,
Merlin,Pipeline,long,1,3,235.430880000,238.941920000,3.511040000,1.491325182,1.014913252,,,237.603518000,0.362705000,0.352492000,0.494819000,,,,,
Merlin,Scatter-Gather,short,1,1,4.369453000,8.489903000,4.120450000,94.301277528,1.943012775,4.159878000,5.160099000,7.169907000,0.366193000,,,0.331461000,0.339715000,0.542047000,0.427888000,0.000000000
Merlin,Scatter-Gather,short,1,2,4.509564000,7.234275000,2.724711000,60.420719165,1.604207192,4.277861000,4.141455000,6.071689000,0.369120000,,,0.375121000,0.357921000,0.429895000,0.392017000,0.000000000
Merlin,Scatter-Gather,short,1,3,4.364119000,7.459055000,3.094936000,70.917772865,1.709177729,4.146527000,4.301616000,6.260744000,0.408443000,,,0.388728000,0.392355000,0.373275000,0.393136000,0.000000000
Merlin,Scatter-Gather,short,1,4,4.542455000,6.960688000,2.418233000,53.236256606,1.532362566,4.312438000,4.168826000,5.946053000,0.352152000,,,0.354290000,0.340896000,0.386077000,0.341590000,0.000000000
Merlin,Scatter-Gather,short,1,5,4.309101000,7.408827000,3.099726000,71.934401166,1.719344012,4.100024000,4.130866000,6.220143000,0.417625000,,,0.444263000,0.460635000,0.374516000,0.384943000,0.000000000
Merlin,Scatter-Gather,short,2,1,2.282884000,5.222454000,2.939570000,128.765631543,2.287656315,2.075535000,2.302905000,4.218877000,0.372614000,,,0.383496000,0.397316000,0.386705000,0.372698000,0.231120000
Merlin,Scatter-Gather,short,2,2,2.350688000,5.155374000,2.804686000,119.313409521,2.193134095,2.142643000,2.307142000,4.135303000,0.344999000,,,0.341690000,0.350206000,0.432490000,0.355866000,0.233461000
Merlin,Scatter-Gather,short,2,3,2.300994000,5.372192000,3.071198000,133.472664422,2.334726644,2.088968000,2.391050000,4.386226000,0.367841000,,,0.379230000,0.438447000,0.416606000,0.389797000,0.225946000
Merlin,Scatter-Gather,short,2,4,2.376887000,5.298922000,2.922035000,122.935377239,2.229353772,2.157817000,2.297813000,4.218936000,0.396503000,,,0.397816000,0.382262000,0.381052000,0.360620000,0.227326000
Merlin,Scatter-Gather,short,2,5,2.272933000,5.334595000,3.061662000,134.700934871,2.347009349,2.068937000,2.302061000,4.307764000,0.369455000,,,0.368109000,0.411499000,0.428585000,0.424188000,0.221284000
Merlin,Scatter-Gather,short,4,2,1.329333000,4.949799000,3.620466000,272.352074311,3.723520743,1.093985000,1.792298000,3.878757000,0.397215000,,,0.420935000,0.442183000,0.417825000,0.404310000,0.741252000
Merlin,Scatter-Gather,short,4,3,1.258893000,4.784770000,3.525877000,280.077576093,3.800775761,1.034952000,1.801934000,3.778505000,0.395796000,,,0.354124000,0.402280000,0.449810000,0.370028000,0.729169000
Merlin,Scatter-Gather,short,4,4,1.348357000,4.710622000,3.362265000,249.360147201,3.493601472,1.056853000,1.755137000,3.725069000,0.382219000,,,0.375863000,0.414802000,0.406030000,0.386364000,0.726278000
Merlin,Scatter-Gather,short,4,5,1.300485000,4.906477000,3.605992000,277.280553024,3.772805530,1.070451000,1.799235000,3.826394000,0.387936000,,,0.406527000,0.432400000,0.413486000,0.381996000,0.741545000
Merlin,Scatter-Gather,medium,1,1,53.824156000,57.602289000,3.778133000,7.019400360,1.070194004,53.567160000,54.072126000,56.182060000,0.392104000,,,0.382437000,0.377926000,0.563648000,0.390940000,0.000000000
Merlin,Scatter-Gather,medium,1,2,54.159776000,57.065948000,2.906172000,5.365923227,1.053659232,53.916406000,53.475585000,55.713603000,0.458389000,,,0.401298000,0.448066000,0.508781000,0.417751000,0.000000000
Merlin,Scatter-Gather,medium,1,3,54.149629000,57.466019000,3.316390000,6.124492561,1.061244926,53.898734000,53.957879000,55.962456000,0.377115000,,,0.376832000,0.408130000,0.456719000,0.382920000,0.000000000
Merlin,Scatter-Gather,medium,1,4,54.317553000,58.521375000,4.203822000,7.739343486,1.077393435,54.077112000,54.849689000,57.038832000,0.455457000,,,0.412177000,0.422295000,0.493453000,0.400528000,0.000000000
Merlin,Scatter-Gather,medium,1,5,54.949846000,58.072229000,3.122383000,5.682241584,1.056822416,54.716151000,54.426472000,56.589027000,0.416346000,,,0.528991000,0.354793000,0.492978000,0.366631000,0.000000000
Merlin,Scatter-Gather,medium,2,1,27.743843000,31.257116000,3.513273000,12.663252888,1.126632529,27.487449000,27.609266000,29.675048000,0.385226000,,,0.375924000,0.424701000,0.458630000,0.417599000,0.216138000
Merlin,Scatter-Gather,medium,2,2,27.653000000,31.114235000,3.461235000,12.516670886,1.125166709,27.406864000,27.669282000,29.852811000,0.456895000,,,0.451883000,0.453273000,0.440570000,0.377298000,0.240771000
Merlin,Scatter-Gather,medium,2,3,28.116652000,31.407380000,3.290728000,11.703840130,1.117038401,27.840163000,27.907368000,29.902019000,0.447991000,,,0.373345000,0.391435000,0.408372000,0.370348000,0.262361000
Merlin,Scatter-Gather,medium,2,4,28.242061000,30.745881000,2.503820000,8.865571107,1.088655711,28.003423000,27.445232000,29.444004000,0.391683000,,,0.369454000,0.407921000,0.434225000,0.391734000,0.227974000
Merlin,Scatter-Gather,medium,2,5,27.415943000,30.943349000,3.527406000,12.866258148,1.128662581,27.186391000,27.742807000,29.732136000,0.380830000,,,0.393695000,0.415089000,0.433214000,0.363229000,0.222644000
Merlin,Scatter-Gather,medium,4,1,15.060194000,18.538621000,3.478427000,23.096827305,1.230968273,14.815921000,15.100569000,17.157066000,0.393429000,,,0.377546000,0.409420000,0.438025000,0.433960000,0.742085000
Merlin,Scatter-Gather,medium,4,2,14.121065000,18.333177000,4.212112000,29.828571712,1.298285717,13.876660000,14.842527000,16.994417000,0.404891000,,,0.449370000,0.476573000,0.452686000,0.360552000,0.733614000
Merlin,Scatter-Gather,medium,4,3,15.914864000,17.760092000,1.845228000,11.594368636,1.115943686,15.638020000,14.327299000,16.390089000,0.386486000,,,0.393876000,0.444235000,0.429741000,0.403618000,0.727999000
Merlin,Scatter-Gather,medium,4,4,13.742913000,17.153782000,3.410869000,24.819112222,1.248191122,13.512778000,14.180029000,16.185834000,0.366267000,,,0.382145000,0.435984000,0.418384000,0.398482000,0.712089000
Merlin,Scatter-Gather,medium,4,5,13.721886000,17.193023000,3.471137000,25.296355035,1.252963550,13.517037000,14.248348000,16.130012000,0.386172000,,,0.364962000,0.369360000,0.409076000,0.348699000,0.738549000
Merlin,Scatter-Gather,long,1,1,246.187769000,249.788392000,3.600623000,1.462551537,1.014625515,245.983193000,246.611618000,248.606632000,0.385636000,,,0.370596000,0.384326000,0.473860000,0.377839000,0.000000000
Merlin,Scatter-Gather,long,1,2,245.712590000,248.606772000,2.894182000,1.177872896,1.011778729,245.490911000,245.277922000,247.215482000,0.364071000,,,0.356202000,0.360884000,0.470883000,0.382859000,0.000000000
Merlin,Scatter-Gather,long,1,3,245.070723000,247.722062000,2.651339000,1.081866886,1.010818669,244.846583000,244.422647000,246.321923000,0.360006000,,,0.359462000,0.364926000,0.477515000,0.334911000,0.000000000
Merlin,Scatter-Gather,long,2,1,124.439733000,127.795468000,3.355735000,2.696674863,1.026966749,124.222483000,124.490251000,126.479589000,0.385382000,,,0.365963000,0.381632000,0.484062000,0.369483000,0.233238000
Merlin,Scatter-Gather,long,2,2,124.361264000,127.762181000,3.400917000,2.734707650,1.027347076,124.160530000,124.383225000,126.360141000,0.348852000,,,0.358390000,0.378709000,0.527500000,0.360562000,0.237746000
Merlin,Scatter-Gather,long,2,3,124.547550000,127.074883000,2.527333000,2.029211333,1.020292113,124.350736000,124.111891000,125.935024000,0.331154000,,,0.344833000,0.377012000,0.444593000,0.322858000,0.251601000
Merlin,Scatter-Gather,long,4,1,62.275658000,65.726021000,3.450363000,5.540468155,1.055404682,62.066973000,62.823405000,64.722913000,0.361655000,,,0.349645000,0.398870000,0.444529000,0.341755000,0.733542000
Merlin,Scatter-Gather,long,4,2,62.246724000,65.784051000,3.537327000,5.682752075,1.056827521,62.035671000,62.645598000,64.460760000,0.333202000,,,0.316808000,0.366473000,0.447313000,0.348177000,0.743041000
Merlin,Scatter-Gather,long,4,3,62.261243000,65.771195000,3.509952000,5.637458924,1.056374589,62.057810000,62.671713000,64.622450000,0.351826000,,,0.355774000,0.392742000,0.481261000,0.366036000,0.767460000
