system,workflow_pattern,workload,chunks,repetition,reference_outer_runtime_seconds,nextflow_outer_runtime_seconds,workflow_execution_overhead_seconds,workflow_execution_overhead_percent,reference_task_span_seconds,reference_compute_phase_seconds,reference_fanout_start_spread_seconds,reference_generate_to_preprocess_latency_seconds,reference_preprocess_to_compute_latency_seconds,reference_compute_to_postprocess_latency_seconds,nextflow_task_span_seconds,nextflow_compute_phase_seconds,nextflow_fanout_start_spread_seconds,nextflow_generate_to_preprocess_latency_seconds,nextflow_preprocess_to_compute_latency_seconds,nextflow_compute_to_postprocess_latency_seconds,reference_preprocess_to_split_latency_seconds,reference_split_to_first_compute_latency_seconds,reference_last_compute_to_aggregate_latency_seconds,reference_aggregate_to_postprocess_latency_seconds,nextflow_preprocess_to_split_latency_seconds,nextflow_split_to_first_compute_latency_seconds,nextflow_last_compute_to_aggregate_latency_seconds,nextflow_aggregate_to_postprocess_latency_seconds
nextflow,pipeline,short,1,1,4.744841000,7.870081000,3.125240000,65.866064,4.707439000,4.611371000,0.000000000,0.034618000,0.028696000,0.031421000,4.849185000,4.572708000,0.000000000,0.106082000,0.082670000,0.085896000,,,,,,,,
nextflow,pipeline,short,1,2,4.726346000,7.104468000,2.378122000,50.316291,4.688155000,4.579444000,0.000000000,0.035060000,0.036003000,0.036425000,4.858141000,4.590027000,0.000000000,0.102901000,0.080083000,0.083767000,,,,,,,,
nextflow,pipeline,short,1,3,4.713963000,7.175057000,2.461094000,52.208598,4.679472000,4.580883000,0.000000000,0.032511000,0.031811000,0.033107000,4.845227000,4.570065000,0.000000000,0.105908000,0.082520000,0.085449000,,,,,,,,
nextflow,pipeline,short,1,4,4.706136000,7.100500000,2.394364000,50.877493,4.670970000,4.570308000,0.000000000,0.032712000,0.035870000,0.030845000,4.855584000,4.588322000,0.000000000,0.103951000,0.081062000,0.080511000,,,,,,,,
nextflow,pipeline,short,1,5,4.719040000,7.228151000,2.509111000,53.169946,4.683684000,4.588199000,0.000000000,0.031874000,0.030100000,0.032293000,4.837870000,4.580706000,0.000000000,0.102176000,0.075526000,0.077959000,,,,,,,,
nextflow,pipeline,medium,1,1,59.565225000,63.486931000,3.921706000,6.583885,59.532536000,59.436298000,0.000000000,0.032861000,0.030069000,0.031934000,59.817026000,59.553449000,0.000000000,0.102616000,0.080267000,0.079165000,,,,,,,,
nextflow,pipeline,medium,1,2,59.771217000,62.461833000,2.690616000,4.501525,59.737410000,59.640811000,0.000000000,0.030763000,0.031206000,0.033488000,59.759977000,59.495207000,0.000000000,0.103201000,0.083536000,0.075550000,,,,,,,,
nextflow,pipeline,medium,1,3,59.756047000,63.077675000,3.321628000,5.558647,59.720533000,59.624763000,0.000000000,0.032348000,0.030789000,0.031249000,60.082560000,59.811679000,0.000000000,0.101656000,0.082272000,0.084587000,,,,,,,,
nextflow,pipeline,medium,1,4,60.041042000,62.784793000,2.743751000,4.569792,59.999116000,59.900153000,0.000000000,0.036436000,0.028979000,0.032334000,60.184224000,59.914213000,0.000000000,0.102028000,0.079085000,0.086979000,,,,,,,,
nextflow,pipeline,medium,1,5,59.878945000,63.397483000,3.518538000,5.876085,59.843760000,59.730168000,0.000000000,0.034418000,0.038066000,0.038417000,60.352287000,60.056303000,0.000000000,0.108599000,0.084883000,0.101104000,,,,,,,,
nextflow,pipeline,long,1,1,277.007304000,280.087082000,3.079778000,1.111804,276.972054000,276.867952000,0.000000000,0.035713000,0.034458000,0.032408000,277.439371000,277.133849000,0.000000000,0.104092000,0.087076000,0.113000000,,,,,,,,
nextflow,pipeline,long,1,2,276.806331000,280.217870000,3.411539000,1.232464,276.756260000,276.653408000,0.000000000,0.034789000,0.031405000,0.035445000,277.303906000,277.026691000,0.000000000,0.104543000,0.082951000,0.088333000,,,,,,,,
nextflow,pipeline,long,1,3,277.436375000,280.413331000,2.976956000,1.073023,277.395893000,277.278142000,0.000000000,0.040151000,0.031029000,0.045465000,277.472954000,277.180476000,0.000000000,0.108623000,0.084926000,0.097561000,,,,,,,,
nextflow,scatter_gather,short,1,1,4.872675000,8.024202000,3.151527000,64.677554,4.831600000,4.671216000,0.000000000,0.032975000,,,5.067002000,4.601059000,0.000000000,0.107496000,,,0.031366000,0.032119000,0.032474000,0.029042000,0.097271000,0.100553000,0.079635000,0.078758000
nextflow,scatter_gather,short,1,2,4.809430000,8.471755000,3.662325000,76.148837,4.773127000,4.610162000,0.000000000,0.035224000,,,5.117067000,4.652959000,0.000000000,0.100556000,,,0.033705000,0.031918000,0.030411000,0.029042000,0.100090000,0.094146000,0.087212000,0.079145000
nextflow,scatter_gather,short,1,3,4.845374000,8.690452000,3.845078000,79.355649,4.804370000,4.628869000,0.000000000,0.033201000,,,5.212663000,4.715920000,0.000000000,0.114740000,,,0.033970000,0.035205000,0.035101000,0.033854000,0.101147000,0.114587000,0.079839000,0.083107000
nextflow,scatter_gather,short,1,4,4.854416000,7.924963000,3.070547000,63.252655,4.808393000,4.610887000,0.000000000,0.034294000,,,5.120324000,4.633595000,0.000000000,0.114225000,,,0.057411000,0.038104000,0.033113000,0.031794000,0.098230000,0.101927000,0.085352000,0.084526000
nextflow,scatter_gather,short,1,5,4.823250000,7.898731000,3.075481000,63.763666,4.784892000,4.621436000,0.000000000,0.034525000,,,5.099430000,4.627423000,0.000000000,0.112266000,,,0.033458000,0.033724000,0.030038000,0.029000000,0.093414000,0.103248000,0.079126000,0.078524000
nextflow,scatter_gather,short,2,1,2.551174000,5.541454000,2.990280000,117.211919,2.513743000,2.344897000,0.000006000,0.034994000,,,2.819788000,2.340645000,0.000320000,0.102034000,,,0.033897000,0.033450000,0.030145000,0.033680000,0.087289000,0.110455000,0.089655000,0.086721000
nextflow,scatter_gather,short,2,2,2.564025000,5.624955000,3.060930000,119.379881,2.526158000,2.345217000,0.000084000,0.036646000,,,2.839241000,2.332718000,0.000974000,0.120715000,,,0.032240000,0.037012000,0.035026000,0.036293000,0.110283000,0.102041000,0.092568000,0.076960000
nextflow,scatter_gather,short,2,3,2.565223000,5.629486000,3.064263000,119.454059,2.524661000,2.341473000,0.000065000,0.035625000,,,2.830908000,2.332071000,0.000094000,0.114073000,,,0.040368000,0.035374000,0.033733000,0.033533000,0.089901000,0.116029000,0.097631000,0.078501000
