system,workflow_pattern,workload,chunks,reference_outer_runtime_seconds_median,nextflow_outer_runtime_seconds_median,workflow_execution_overhead_seconds_median,workflow_execution_overhead_percent_median,reference_task_span_seconds_median,reference_compute_phase_seconds_median,reference_fanout_start_spread_seconds_median,reference_generate_to_preprocess_latency_seconds_median,reference_preprocess_to_compute_latency_seconds_median,reference_compute_to_postprocess_latency_seconds_median,nextflow_task_span_seconds_median,nextflow_compute_phase_seconds_median,nextflow_fanout_start_spread_seconds_median,nextflow_generate_to_preprocess_latency_seconds_median,nextflow_preprocess_to_compute_latency_seconds_median,nextflow_compute_to_postprocess_latency_seconds_median,reference_preprocess_to_split_latency_seconds_median,reference_split_to_first_compute_latency_seconds_median,reference_last_compute_to_aggregate_latency_seconds_median,reference_aggregate_to_postprocess_latency_seconds_median,nextflow_preprocess_to_split_latency_seconds_median,nextflow_split_to_first_compute_latency_seconds_median,nextflow_last_compute_to_aggregate_latency_seconds_median,nextflow_aggregate_to_postprocess_latency_seconds_median
nextflow,pipeline,short,1,4.719040000,7.175057000,2.461094000,52.208598000,4.683684000,4.580883000,0.000000000,0.032712000,0.031811000,0.032293000,4.849185000,4.580706000,0.000000000,0.103951000,0.081062000,0.083767000,,,,,,,,
nextflow,pipeline,medium,1,59.771217000,63.077675000,3.321628000,5.558647000,59.737410000,59.640811000,0.000000000,0.032861000,0.030789000,0.032334000,60.082560000,59.811679000,0.000000000,0.102616000,0.082272000,0.084587000,,,,,,,,
nextflow,pipeline,long,1,277.007304000,280.217870000,3.079778000,1.111804000,276.972054000,276.867952000,0.000000000,0.035713000,0.031405000,0.035445000,277.439371000,277.133849000,0.000000000,0.104543000,0.084926000,0.097561000,,,,,,,,
nextflow,scatter_gather,short,1,4.845374000,8.024202000,3.151527000,64.677554000,4.804370000,4.621436000,0.000000000,0.034294000,,,5.117067000,4.633595000,0.000000000,0.112266000,,,0.033705000,0.033724000,0.032474000,0.029042000,0.098230000,0.101927000,0.079839000,0.079145000
nextflow,scatter_gather,short,2,2.555078000,5.629486000,3.064263000,119.454059000,2.513743000,2.342359000,0.000084000,0.035335000,,,2.830908000,2.339709000,0.000692000,0.110921000,,,0.033897000,0.033450000,0.033733000,0.033533000,0.099308000,0.102041000,0.094770000,0.078501000
nextflow,scatter_gather,short,4,1.394423000,4.343750000,2.922933000,209.231775000,1.358072000,1.176299000,0.001278000,0.035321000,,,1.736842000,1.186129000,0.006230000,0.105944000,,,0.034069000,0.034051000,0.032690000,0.032970000,0.094905000,0.132395000,0.117718000,0.081813000
nextflow,scatter_gather,medium,1,60.399210000,63.385696000,2.939232000,4.904733000,60.353149000,60.181050000,0.000000000,0.030652000,,,60.363069000,59.883260000,0.000000000,0.111511000,,,0.030510000,0.030593000,0.041012000,0.029721000,0.098026000,0.099933000,0.096213000,0.075778000
nextflow,scatter_gather,medium,2,30.415755000,34.195525000,3.712413000,12.209335000,30.379196000,30.222067000,0.000123000,0.031830000,,,30.951473000,30.468151000,0.001173000,0.108155000,,,0.030545000,0.030663000,0.034708000,0.029485000,0.089156000,0.097446000,0.100517000,0.075072000
nextflow,scatter_gather,medium,4,15.501278000,18.574264000,3.099352000,20.060657000,15.465801000,15.295883000,0.000943000,0.034362000,,,15.772943000,15.261503000,0.007395000,0.113214000,,,0.032137000,0.035230000,0.033869000,0.030788000,0.090189000,0.110276000,0.109901000,0.073420000
nextflow,scatter_gather,long,1,277.115298000,279.050339000,1.505743000,0.543363000,277.076376000,276.897964000,0.000000000,0.032135000,,,276.135219000,275.645704000,0.000000000,0.107086000,,,0.032833000,0.033338000,0.049238000,0.029808000,0.098874000,0.095926000,0.106525000,0.074795000
nextflow,scatter_gather,long,2,140.040977000,142.607319000,2.823607000,2.019983000,140.004852000,139.840570000,0.000111000,0.034200000,,,139.917748000,139.447547000,0.002561000,0.109120000,,,0.031743000,0.031756000,0.032637000,0.029298000,0.091929000,0.101455000,0.099699000,0.074224000
nextflow,scatter_gather,long,4,70.144271000,73.248597000,3.124443000,4.456434000,70.106495000,69.943652000,0.002625000,0.030777000,,,70.473558000,69.978680000,0.007190000,0.104118000,,,0.031556000,0.032596000,0.034095000,0.029507000,0.096850000,0.104777000,0.114137000,0.076420000
