system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
pegasus,pipeline,short,1,4.516724542,184.134454833,179.617730291,3976.725360,40.767253597,,
pegasus,pipeline,medium,1,56.967185166,227.775178291,170.807993125,299.835761,3.998357609,,
pegasus,pipeline,long,1,263.481505292,442.015808917,178.534303625,67.759710,1.677597099,,
pegasus,scatter_gather,short,1,4.623364208,206.782928125,202.159563917,4372.564107,44.725641075,4.361668000,4.386206000
pegasus,scatter_gather,short,2,2.474266792,206.267449875,203.793183083,8236.508033,83.365080331,2.209497000,2.242285000
pegasus,scatter_gather,short,4,1.353646458,206.815731584,205.462085126,15178.415598,152.784155982,1.100132000,1.188009000
pegasus,scatter_gather,medium,1,57.061885042,267.854844167,210.792959125,369.411138,4.694111384,56.803711000,56.776920000
pegasus,scatter_gather,medium,2,29.071634042,247.774274709,218.702640667,752.288779,8.522887786,28.809535000,28.828967000
pegasus,scatter_gather,medium,4,14.791358459,232.666756750,217.875398291,1472.991131,15.729911312,14.538088000,14.616783000
pegasus,scatter_gather,long,1,263.488849500,479.892994167,216.404144667,82.130286,1.821302856,263.223000000,261.332612000
pegasus,scatter_gather,long,2,133.512707792,352.374899708,218.862191916,163.926113,2.639261128,133.240704000,132.909899000
pegasus,scatter_gather,long,4,67.103656667,288.597413417,221.493756750,330.077030,4.300770297,66.821910000,67.662220000
