system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
pegasus,pipeline,short,1,68.178314000,20.135045000,19.918766000,23.434253000,,,,,,
pegasus,pipeline,medium,1,120.185263000,20.464522000,20.167685000,23.140543000,,,,,,
pegasus,pipeline,long,1,324.332036000,20.400833000,19.946356000,21.364473000,,,,,,
pegasus,scatter_gather,short,1,100.466294000,20.478838000,,,19.919650000,19.884144000,15.680754000,20.188430000,0.000000000,4.386206000
pegasus,scatter_gather,short,2,99.978836000,19.945483000,,,20.052213000,19.969312000,18.205265000,20.117767000,0.011164000,2.242285000
pegasus,scatter_gather,short,4,100.157517000,19.838749000,,,19.906470000,19.927108000,19.056072000,19.735334000,0.061892000,1.188009000
pegasus,scatter_gather,medium,1,159.515184000,20.230760000,,,19.804678000,19.853364000,23.430170000,19.856186000,0.000000000,56.776920000
pegasus,scatter_gather,medium,2,141.575566000,20.115031000,,,20.544489000,20.081945000,22.996784000,29.519048000,0.023370000,28.828967000
pegasus,scatter_gather,medium,4,127.215117000,20.467725000,,,20.058712000,20.072221000,22.144763000,29.621502000,0.048332000,14.616783000
pegasus,scatter_gather,long,1,372.987105000,20.394406000,,,20.488986000,19.626924000,19.429221000,31.151215000,0.000000000,261.332612000
pegasus,scatter_gather,long,2,245.664376000,19.424335000,,,20.029060000,19.884657000,22.506097000,30.266396000,0.018816000,132.909899000
pegasus,scatter_gather,long,4,182.446675000,20.744194000,,,19.849708000,20.082393000,24.295912000,30.754746000,0.063500000,67.662220000
