system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
streamflow,pipeline,short,1,4.249357250,24.601032833,20.351675583,478.935387,5.789353868,,
streamflow,pipeline,medium,1,41.851969500,64.071372583,22.219403083,53.090460,1.530904599,,
streamflow,pipeline,long,1,189.374174042,228.640716541,39.266542499,20.734898,1.207348984,,
streamflow,scatter_gather,short,1,4.798904208,35.455591334,30.656687126,638.826820,7.388268196,3.244439335,3.249864210
streamflow,scatter_gather,short,2,3.291497625,34.149347833,30.857850208,937.501822,10.375018221,1.659542001,1.879048793
streamflow,scatter_gather,short,4,2.729925708,36.650261709,33.920336001,1242.536964,13.425369636,0.919148292,1.078868626
streamflow,scatter_gather,medium,1,43.183944375,74.776507875,31.592563500,73.158124,1.731581238,42.187893589,42.357023214
streamflow,scatter_gather,medium,2,22.709156625,55.426163375,32.717006750,144.069669,2.440696689,21.208629329,21.656801871
streamflow,scatter_gather,medium,4,12.504076125,47.163554083,34.659477958,277.185436,3.771854363,10.768308797,11.302600866
streamflow,scatter_gather,long,1,194.700869958,228.407241458,33.706371500,17.311875,1.173118751,192.612407783,194.902134465
streamflow,scatter_gather,long,2,98.219064916,131.834590500,33.615525584,34.225052,1.342250515,96.762070003,98.927346531
streamflow,scatter_gather,long,4,51.435008250,87.556839209,36.121830959,70.228104,1.702281038,49.000418009,50.971464495
