system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,12.485078173,3.025896585,3.094415127,3.168738543,,,,,,
streamflow,pipeline,medium,1,51.912726746,3.002833584,3.051836668,3.164386751,,,,,,
streamflow,pipeline,long,1,215.470553613,3.115009028,3.123765751,3.201726585,,,,,,
streamflow,scatter_gather,short,1,21.190050218,3.043781210,,,3.160263710,4.450577252,4.362469127,3.004865293,0.000000000,3.249864210
streamflow,scatter_gather,short,2,20.217496828,3.066087168,,,3.116745043,4.520808960,4.783647169,3.004894002,0.283199666,1.879048793
streamflow,scatter_gather,short,4,22.406804038,3.037122362,,,3.169580877,5.715919697,6.402683336,2.995219168,0.241240542,1.078868626
streamflow,scatter_gather,medium,1,60.374050750,3.003333251,,,3.121754543,4.406494738,4.357323502,3.093768960,0.000000000,42.357023214
streamflow,scatter_gather,medium,2,40.483525380,3.141990418,,,3.242848334,4.749480585,4.769803113,3.024320710,0.119056666,21.656801871
streamflow,scatter_gather,medium,4,32.809610543,3.112799460,,,3.135393751,5.898644072,6.603797503,2.989240169,0.358692417,11.302600866
streamflow,scatter_gather,long,1,213.500506710,3.060378543,,,3.221290002,4.416781613,4.326163960,3.150733085,0.000000000,194.902134465
streamflow,scatter_gather,long,2,117.246584874,3.079049168,,,3.200218793,4.551880961,4.497213586,3.060919751,0.159281708,98.927346531
streamflow,scatter_gather,long,4,72.861772867,3.107699696,,,3.146377252,5.883580586,5.742325753,3.157189501,0.552787250,50.971464495
