system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
streamflow,pipeline,short,1,4.266421916,5.808177583,1.541755667,36.136971386,1.361369714,,
streamflow,pipeline,medium,1,54.123722500,56.055027083,1.931304583,3.568314399,1.035683144,,
streamflow,pipeline,long,1,246.840311042,252.019442333,5.179131291,2.098170785,1.020981708,,
streamflow,scatter_gather,short,1,4.301220542,5.988381875,1.687161333,39.225176122,1.392251761,4.093680000,4.098133000
streamflow,scatter_gather,short,2,2.260180333,3.619381500,1.359201167,60.136846036,1.601368460,2.071724000,2.066517000
streamflow,scatter_gather,short,4,1.223587583,2.671811584,1.448224001,118.358834392,2.183588344,1.033389000,1.054748000
streamflow,scatter_gather,medium,1,53.686497583,55.704454583,2.017957000,3.758779378,1.037587794,53.476769000,53.466944000
streamflow,scatter_gather,medium,2,27.224855750,29.051299292,1.826443542,6.708735425,1.067087354,27.024058000,27.040913000
streamflow,scatter_gather,medium,4,13.874091459,15.687854167,1.813762708,13.073019688,1.130730197,13.679031000,13.592662000
streamflow,scatter_gather,long,1,246.383325083,248.392397584,2.009072501,0.815425516,1.008154255,246.121484000,245.900393000
streamflow,scatter_gather,long,2,124.663781000,126.503443458,1.839662458,1.475699231,1.014756992,124.469850000,124.526388000
streamflow,scatter_gather,long,4,63.003198000,66.449269083,3.446071083,5.469676449,1.054696764,62.772253000,63.535205000
