system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
aiida,pipeline,short,1,3.819828,12.310153,8.490324,222.269785,3.222698,,
aiida,pipeline,medium,1,47.794073,56.623695,8.829622,18.474303,1.184743,,
aiida,pipeline,long,1,222.711588,229.740308,7.028720,3.155974,1.031560,,
aiida,scatter_gather,short,1,3.787379,16.421090,12.633711,333.574000,4.335740,3.574151,3.590610
aiida,scatter_gather,short,2,2.027517,15.392950,13.365433,659.202148,7.592021,1.816314,1.832777
aiida,scatter_gather,short,4,1.134390,16.082642,14.948252,1317.734781,14.177348,0.912008,1.913529
aiida,scatter_gather,medium,1,46.210075,59.145296,12.935221,27.992210,1.279922,45.966117,46.174787
aiida,scatter_gather,medium,2,23.775382,38.100994,14.325612,60.253973,1.602540,23.550044,24.781271
aiida,scatter_gather,medium,4,11.980981,26.807963,14.826982,123.754317,2.237543,11.755206,12.735937
aiida,scatter_gather,long,1,215.810303,223.440325,7.630022,3.535523,1.035355,215.568494,210.496507
aiida,scatter_gather,long,2,109.028777,121.730550,12.701773,11.649927,1.116499,108.782835,107.936453
aiida,scatter_gather,long,4,56.045863,70.446221,14.400358,25.693882,1.256939,55.800640,56.110019
