system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,3.880012,22.179975,18.299963,471.647062,5.716471,,,16.090261,4.213631,4.234451,3.987721,,,,,
aiida,pipeline,short,1,2,3.820892,21.395745,17.574853,459.967267,5.599673,,,15.753982,3.979998,4.113621,4.000588,,,,,
aiida,pipeline,short,1,3,3.768684,21.443340,17.674656,468.987490,5.689875,,,15.817941,4.023730,4.041056,4.023882,,,,,
aiida,pipeline,short,1,4,3.995581,21.237166,17.241585,431.516326,5.315163,,,15.688722,4.018075,4.053073,3.948085,,,,,
aiida,pipeline,short,1,5,3.818935,23.763531,19.944596,522.255400,6.222554,,,17.259557,4.435894,4.763949,4.365149,,,,,
aiida,pipeline,medium,1,1,48.071260,68.760883,20.689623,43.039486,1.430395,,,62.638159,4.541699,4.852471,4.763610,,,,,
aiida,pipeline,medium,1,2,47.800597,66.725211,18.924614,39.590748,1.395907,,,60.942293,4.186277,4.616675,4.436176,,,,,
aiida,pipeline,medium,1,3,48.249451,65.354369,17.104918,35.451010,1.354510,,,59.641804,4.050474,4.087423,4.258413,,,,,
aiida,pipeline,medium,1,4,46.800054,65.119500,18.319446,39.144069,1.391441,,,59.492118,4.069788,4.126919,4.144825,,,,,
aiida,pipeline,medium,1,5,47.082583,65.913636,18.831053,39.995794,1.399958,,,60.368821,4.041198,4.027279,4.039045,,,,,
aiida,pipeline,long,1,1,225.318278,236.216528,10.898251,4.836825,1.048368,,,230.491264,4.051122,4.082474,4.048358,,,,,
aiida,pipeline,long,1,2,227.825222,240.102178,12.276955,5.388760,1.053888,,,234.298147,4.103616,4.110196,4.164423,,,,,
aiida,pipeline,long,1,3,219.224376,237.600269,18.375893,8.382231,1.083822,,,231.909596,4.041339,4.049306,3.872248,,,,,
aiida,scatter_gather,short,1,1,3.699985,30.345522,26.645537,720.152584,8.201526,3.483643,3.537407,24.310446,4.141989,,,4.160067,4.251927,4.048347,4.161120,0.000000
aiida,scatter_gather,short,1,2,4.345905,29.962554,25.616649,589.443367,6.894434,4.137015,3.462170,23.784253,4.042309,,,4.102461,4.186075,3.904881,4.077190,0.000000
