system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
Merlin,Pipeline,long,1,184.438679645,188.365924588,3.927244943,2.129295737,1.021292957,,
Merlin,Pipeline,medium,1,41.228584503,45.109028652,3.880444149,9.412023711,1.094120237,,
Merlin,Pipeline,short,1,3.268849822,4.905145964,1.636296142,50.057244325,1.500572443,,
Merlin,Scatter-Gather,long,1,196.654614632,198.435981472,1.781366840,0.905835260,1.009058353,196.410214816,195.777848999
Merlin,Scatter-Gather,long,2,98.459097349,102.148149532,3.689052183,3.746786516,1.037467865,98.209314130,99.434816918
Merlin,Scatter-Gather,long,4,50.862760842,52.511599315,1.648838473,3.241740019,1.032417400,50.614189701,49.788979800
Merlin,Scatter-Gather,medium,1,42.872945346,45.136974514,2.264029168,5.280787568,1.052807876,42.629980252,42.501924884
Merlin,Scatter-Gather,medium,2,21.914759304,24.024573779,2.109814475,9.627367774,1.096273678,21.635925421,21.290246189
Merlin,Scatter-Gather,medium,4,11.239998907,13.120841606,1.880842699,16.733477597,1.167334776,11.022673303,10.917949563
Merlin,Scatter-Gather,short,1,3.455129451,5.319899787,1.864770336,53.971070041,1.539710700,3.230664466,3.274097346
Merlin,Scatter-Gather,short,2,1.876614829,3.774688445,1.898073616,101.143483824,2.011434838,1.661980665,1.682373051
Merlin,Scatter-Gather,short,4,1.039048752,3.040342304,2.001293552,192.608243660,2.926082437,0.823364516,0.933605002
