system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
Merlin,Pipeline,long,1,186.454695237,0.139019724,0.133770225,0.176670303,,,,,,
Merlin,Pipeline,medium,1,43.203503306,0.139213167,0.135678293,0.177677422,,,,,,
Merlin,Pipeline,short,1,3.566004187,0.133339268,0.133564784,0.153546758,,,,,,
Merlin,Scatter-Gather,long,1,196.512327715,0.137856114,,,0.134997073,0.134965584,0.178534454,0.135047983,0.000000000,195.777848999
Merlin,Scatter-Gather,long,2,100.229874783,0.136955299,,,0.133702340,0.162553720,0.208206374,0.134073010,0.049576691,99.434816918
Merlin,Scatter-Gather,long,4,50.587536095,0.136248231,,,0.134610386,0.165810565,0.219546912,0.135262117,0.099203494,49.788979800
Merlin,Scatter-Gather,medium,1,43.227385794,0.138200240,,,0.134500995,0.134128740,0.175613010,0.134729260,0.000000000,42.501924884
Merlin,Scatter-Gather,medium,2,22.066857656,0.137516362,,,0.134149526,0.159998465,0.184991348,0.134659328,0.050273619,21.290246189
Merlin,Scatter-Gather,medium,4,11.717179067,0.134437275,,,0.133971670,0.165853234,0.189836587,0.133058313,0.113482551,10.917949563
Merlin,Scatter-Gather,short,1,3.970454201,0.134010782,,,0.133199264,0.134033771,0.153545315,0.133271540,0.000000000,3.274097346
Merlin,Scatter-Gather,short,2,2.434812601,0.133975839,,,0.132992325,0.161525054,0.179265950,0.132766848,0.047216660,1.682373051
Merlin,Scatter-Gather,short,4,1.691283673,0.134620820,,,0.132386904,0.164871482,0.184134075,0.133161032,0.113732563,0.933605002
