system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
nextflow,pipeline,short,1,3.279299458,6.742587488,3.463288030,105.610606,2.056106060,,
nextflow,pipeline,medium,1,40.555484184,44.177632716,3.622148532,8.931341,1.089313409,,
nextflow,pipeline,long,1,189.210171872,192.063689155,2.853517283,1.508120,1.015081204,,
nextflow,scatter_gather,short,1,3.483332517,7.141554158,3.658221641,105.020742,2.050207416,3.231224235,3.265506386
nextflow,scatter_gather,short,2,1.898944600,5.543217446,3.644272846,191.910435,2.919104352,1.643457472,1.674741833
nextflow,scatter_gather,short,4,1.080229684,4.764547135,3.684317451,341.067970,4.410679697,0.823979332,0.847506507
nextflow,scatter_gather,medium,1,42.914873641,46.419448623,3.504574982,8.166341,1.081663411,42.639570901,42.641443901
nextflow,scatter_gather,medium,2,21.811727320,25.097266706,3.285539386,15.063178,1.150631783,21.546636865,21.183954864
nextflow,scatter_gather,medium,4,11.079384194,14.779731984,3.700347790,33.398497,1.333984969,10.821184631,10.856517412
nextflow,scatter_gather,long,1,197.440137489,202.489434446,5.049296957,2.557381,1.025573812,197.135449879,198.397181628
nextflow,scatter_gather,long,2,99.989239989,104.610289847,4.621049858,4.621547,1.046215471,99.688295215,100.642772080
nextflow,scatter_gather,long,4,50.500232961,53.549273862,3.049040901,6.037677,1.060376769,50.213363355,49.586745257
