system,workflow_pattern,workload,chunks,repetition,reference_outer_runtime_seconds,nextflow_outer_runtime_seconds,workflow_execution_overhead_seconds,workflow_execution_overhead_percent,reference_task_span_seconds,nextflow_task_span_seconds,reference_compute_phase_seconds,nextflow_compute_phase_seconds,reference_start_spread_seconds,nextflow_start_spread_seconds,reference_max_concurrent_compute_tasks,nextflow_max_concurrent_compute_tasks,nextflow_generate_to_preprocess_latency_seconds,reference_generate_to_preprocess_latency_seconds,nextflow_preprocess_to_compute_latency_seconds,reference_preprocess_to_compute_latency_seconds,nextflow_compute_to_postprocess_latency_seconds,reference_compute_to_postprocess_latency_seconds,nextflow_preprocess_to_split_latency_seconds,reference_preprocess_to_split_latency_seconds,nextflow_split_to_first_compute_latency_seconds,reference_split_to_first_compute_latency_seconds,nextflow_last_compute_to_aggregate_latency_seconds,reference_last_compute_to_aggregate_latency_seconds,nextflow_aggregate_to_postprocess_latency_seconds,reference_aggregate_to_postprocess_latency_seconds
nextflow,pipeline,short,1,1,3.276485349,7.059902503,3.783417154,115.471817,3.207850163,3.443302152,3.080649277,3.100603866,0.000000000,0.000000000,1,1,0.126325219,0.033158894,0.091155459,0.031202084,0.119443213,0.056847888,,,,,,,,
nextflow,pipeline,short,1,2,3.279299458,6.742587488,3.463288030,105.610606,3.223391561,3.514584875,3.096112173,3.169939768,0.000000000,0.000000000,1,1,0.124026328,0.033115872,0.092966160,0.031381856,0.121702364,0.056847469,,,,,,,,
nextflow,pipeline,short,1,3,3.290479068,6.771242257,3.480763189,105.782870,3.232965593,3.432939543,3.105263596,3.093440330,0.000000000,0.000000000,1,1,0.123569288,0.033308354,0.090425130,0.032454895,0.119939505,0.055551567,,,,,,,,
nextflow,pipeline,short,1,4,3.275744405,6.686687204,3.410942799,104.127257,3.218901265,3.434918492,3.090782945,3.100660157,0.000000000,0.000000000,1,1,0.121447794,0.033564880,0.090481353,0.032240553,0.116473918,0.056192639,,,,,,,,
nextflow,pipeline,short,1,5,3.336410787,6.727887186,3.391476399,101.650445,3.281264717,3.461835614,3.155733313,3.124063991,0.000000000,0.000000000,1,1,0.123356342,0.032656945,0.089623494,0.031489341,0.118211146,0.054919505,,,,,,,,
nextflow,pipeline,medium,1,1,40.505007134,44.633657983,4.128650849,10.192939,40.446964683,41.362403571,40.291964792,41.006158065,0.000000000,0.000000000,1,1,0.120461286,0.033000424,0.089654712,0.032274216,0.140372434,0.083300356,,,,,,,,
nextflow,pipeline,medium,1,2,40.283984559,44.657838393,4.373853834,10.857550,40.226990633,41.390928338,40.072270177,41.005183059,0.000000000,0.000000000,1,1,0.124082548,0.032314863,0.094680200,0.031643131,0.148641132,0.084866404,,,,,,,,
nextflow,pipeline,medium,1,3,40.555484184,44.177632716,3.622148532,8.931341,40.498479187,40.855369149,40.344732355,40.494690527,0.000000000,0.000000000,1,1,0.119839917,0.032457323,0.091940317,0.031853128,0.143015121,0.083364539,,,,,,,,
nextflow,pipeline,medium,1,4,41.000730120,43.736255010,2.735524890,6.671893,40.944134938,40.447743759,40.790369241,40.087691947,0.000000000,0.000000000,1,1,0.122783704,0.032599202,0.089185810,0.031673668,0.142784782,0.083253439,,,,,,,,
nextflow,pipeline,medium,1,5,41.343006895,43.752716034,2.409709139,5.828577,41.285490599,40.500020078,41.131590888,40.131535721,0.000000000,0.000000000,1,1,0.124722622,0.033505630,0.091609568,0.031966612,0.146073479,0.081807163,,,,,,,,
nextflow,pipeline,long,1,1,185.936320528,190.361604654,4.425284126,2.380000,185.878408645,187.063388787,185.722871489,186.698028666,0.000000000,0.000000000,1,1,0.124644627,0.032459625,0.088457723,0.031588566,0.147102239,0.085386740,,,,,,,,
nextflow,pipeline,long,1,2,194.328026170,192.063689155,-2.264337015,-1.165214,194.269941045,188.742391979,194.114810018,188.370647911,0.000000000,0.000000000,1,1,0.123780307,0.034575456,0.095702699,0.032163071,0.147037783,0.081873872,,,,,,,,
nextflow,pipeline,long,1,3,189.210171872,192.977922932,3.767751060,1.991305,189.153293259,189.699939965,188.996553704,189.326044204,0.000000000,0.000000000,1,1,0.123998803,0.032687184,0.097134763,0.031698862,0.147373323,0.086341654,,,,,,,,
