system;pattern;workload;chunks;ref_makespan_s;wms_makespan_s;overhead_s;overhead_pct;ratio;ref_compute_phase_s;wms_compute_phase_s
streamflow;pipeline;short;1;3.376376012;5.261849363;1.885473351;55.843109426;1.558431094;;
streamflow;pipeline;medium;1;40.544368269;44.218010503;3.673642234;9.060795348;1.090607953;;
streamflow;pipeline;long;1;188.513650784;191.600233713;3.086582929;1.637325953;1.016373259;;
streamflow;scatter_gather;short;1;3.473272696;5.686489035;2.213216339;63.721352532;1.637213525;3.231351179;3.257561050
streamflow;scatter_gather;short;2;1.881186680;4.002281124;2.121094444;112.753001419;2.127530014;1.645310593;1.650808187
streamflow;scatter_gather;short;4;1.070805193;3.247963378;2.177158185;203.319726056;3.033197261;0.832218918;0.836378443
streamflow;scatter_gather;medium;1;43.027452186;46.337283635;3.309831449;7.692371453;1.076923715;42.768301276;42.573360107
streamflow;scatter_gather;medium;2;21.841964690;25.147606232;3.305641542;15.134359884;1.151343599;21.604758871;21.466880407
streamflow;scatter_gather;medium;4;11.056577077;14.730885719;3.674308642;33.231881951;1.332318820;10.813573389;10.841414006
streamflow;scatter_gather;long;1;196.789074264;202.163771089;5.374696825;2.731196762;1.027311968;196.532796697;198.376849591
streamflow;scatter_gather;long;2;99.979380565;106.827308728;6.847928163;6.849340458;1.068493405;99.720948822;103.159274198
streamflow;scatter_gather;long;4;49.710576799;53.595329720;3.884752921;7.814741190;1.078147412;49.446068050;49.851519386
