system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.339022561,0.056070517,0.055356526,0.076998363,,,,,,
streamflow,pipeline,medium,1,41.001580075,0.055758687,0.054877491,0.096239888,,,,,,
streamflow,pipeline,long,1,184.186820210,0.056967512,0.054957840,0.099051015,,,,,,
streamflow,scatter_gather,short,1,3.574691885,0.056417480,,,0.056363541,0.058141407,0.097207774,0.054442671,0.000000000,3.257561050
streamflow,scatter_gather,short,2,2.003951713,0.055971070,,,0.055631287,0.063750920,0.122156763,0.053197024,0.003123291,1.650808187
streamflow,scatter_gather,short,4,1.249907622,0.056901547,,,0.056001191,0.064734875,0.179378454,0.053790645,0.017665846,0.836378443
streamflow,scatter_gather,medium,1,42.917012892,0.056733618,,,0.054187388,0.057655314,0.117480712,0.055706873,0.000000000,42.573360107
streamflow,scatter_gather,medium,2,21.844266672,0.056159457,,,0.053497148,0.061686160,0.143845362,0.054616200,0.004160975,21.466880407
streamflow,scatter_gather,medium,4,11.257221534,0.056920047,,,0.054243849,0.062334761,0.183576180,0.053706108,0.019317957,10.841414006
streamflow,scatter_gather,long,1,198.722674784,0.056234445,,,0.053898001,0.057718302,0.121314400,0.055582493,0.000000000,198.376849591
streamflow,scatter_gather,long,2,103.539675675,0.056151685,,,0.053531147,0.061814297,0.152413012,0.054661868,0.004304223,103.159274198
streamflow,scatter_gather,long,4,50.283000334,0.057500193,,,0.053952907,0.063666386,0.205742796,0.054253833,0.017743273,49.851519386
