system;pattern;workload;chunks;repetition;ref_makespan_s;wms_makespan_s;overhead_s;overhead_pct;ratio;ref_compute_phase_s;wms_compute_phase_s;wms_task_span_s;wms_gen_to_pre_s;wms_pre_to_comp_s;wms_comp_to_post_s;wms_pre_to_split_s;wms_split_to_comp_s;wms_comp_to_agg_s;wms_agg_to_post_s;wms_start_spread_s
streamflow;pipeline;short;1;1;3.400259682;6.063587764;2.663328082;78.327196477;1.783271965;;;3.329771401;0.055390897;0.055825611;0.076461094;;;;;
streamflow;pipeline;short;1;2;3.376376012;5.254084095;1.877708083;55.613121181;1.556131212;;;3.339022561;0.056070517;0.055468886;0.078116597;;;;;
streamflow;pipeline;short;1;3;3.317838753;5.276384493;1.958545740;59.030769297;1.590307693;;;3.393213281;0.056069824;0.055356526;0.077588234;;;;;
streamflow;pipeline;short;1;4;3.398233441;5.261849363;1.863615922;54.840726934;1.548407269;;;3.347409944;0.056183572;0.055250297;0.076998363;;;;;
streamflow;pipeline;short;1;5;3.319952688;5.225012944;1.905060256;57.382150729;1.573821507;;;3.332987983;0.056477868;0.054712995;0.076153787;;;;;
streamflow;pipeline;medium;1;1;40.413565978;44.218010503;3.804444525;9.413780826;1.094137808;;;40.956523661;0.055758687;0.054877491;0.095037458;;;;;
streamflow;pipeline;medium;1;2;41.433811319;44.165986953;2.732175634;6.594072684;1.065940727;;;41.001580075;0.055656545;0.054572803;0.094752375;;;;;
streamflow;pipeline;medium;1;3;40.544368269;44.256100830;3.711732561;9.154742618;1.091547426;;;41.058341487;0.057138686;0.056721983;0.099162858;;;;;
streamflow;pipeline;medium;1;4;40.125803233;43.954733277;3.828930044;9.542313762;1.095423138;;;40.716498501;0.054984081;0.054298333;0.100593674;;;;;
streamflow;pipeline;medium;1;5;40.595578777;44.306950996;3.711372219;9.142306455;1.091423065;;;41.147758936;0.056614962;0.055082817;0.096239888;;;;;
streamflow;pipeline;long;1;1;188.247381926;191.318904557;3.071522631;1.631641619;1.016316416;;;184.186820210;0.058086420;0.055899783;0.098805509;;;;;
streamflow;pipeline;long;1;2;188.513650784;191.600233713;3.086582929;1.637325953;1.016373260;;;187.395666189;0.056384629;0.054957840;0.099196737;;;;;
streamflow;pipeline;long;1;3;189.792614358;192.894307842;3.101693484;1.634254049;1.016342540;;;183.821434938;0.056967512;0.054788676;0.099051015;;;;;
streamflow;scatter_gather;short;1;1;3.590105024;6.955880836;3.365775812;93.751458225;1.937514582;3.352252234;3.257561050;3.574691885;0.055680691;;;0.052281994;0.057033581;0.097207774;0.054442671;0.000000000
streamflow;scatter_gather;short;1;2;3.452749426;5.686489035;2.233739609;64.694518289;1.646945183;3.217580674;3.349859631;3.671327867;0.056417480;;;0.056772184;0.058699294;0.094499336;0.054584968;0.000000000
streamflow;scatter_gather;short;1;3;3.497994600;5.581218858;2.083224258;59.554816290;1.595548163;3.263228942;3.245684296;3.570576268;0.055490215;;;0.056363541;0.058317230;0.100543732;0.053695392;0.000000000
streamflow;scatter_gather;short;1;4;3.473272696;5.651164393;2.177891697;62.704310526;1.627043105;3.231351179;3.310088414;3.632004174;0.056903603;;;0.057007901;0.057622991;0.095038175;0.054845859;0.000000000
streamflow;scatter_gather;short;1;5;3.446847199;5.692314043;2.245466844;65.145529075;1.651455291;3.205513306;3.246256654;3.569614623;0.057189562;;;0.053643247;0.058141407;0.099573074;0.054322677;0.000000000
streamflow;scatter_gather;short;2;1;1.881186680;3.994245589;2.113058909;112.325848950;2.123258490;1.645547789;1.650808187;2.003951713;0.055971070;;;0.055938061;0.064250342;0.122503158;0.053933232;0.002356704
streamflow;scatter_gather;short;2;2;1.858093129;4.002281124;2.144187995;115.397229640;2.153972296;1.621473223;1.630761538;1.980710804;0.056190367;;;0.055627906;0.062469290;0.122088764;0.053034756;0.003660363
streamflow;scatter_gather;short;2;3;1.881332387;4.016173839;2.134841452;113.474974805;2.134749748;1.645310593;1.654311502;2.012613539;0.057945811;;;0.056526842;0.064308442;0.124411028;0.054576592;0.002679138
streamflow;scatter_gather;short;2;4;1.882472770;4.011395603;2.128922833;113.091826187;2.130918262;1.648527672;1.672497020;2.022738642;0.055479148;;;0.055631287;0.063750920;0.122156763;0.052679552;0.003123291
streamflow;scatter_gather;short;2;5;1.880582180;3.935440092;2.054857912;109.267116015;2.092671160;1.645257153;1.622113943;1.969710665;0.055826653;;;0.053762155;0.063382246;0.120885503;0.053197024;0.004475791
streamflow;scatter_gather;short;4;1;1.060649731;3.263895390;2.203245659;207.726037595;3.077260376;0.822837173;0.843775178;1.256150265;0.056166368;;;0.055518778;0.064899272;0.181723119;0.053446760;0.018019450
streamflow;scatter_gather;short;4;2;1.513419801;3.247963378;1.734543577;114.610868414;2.146108684;1.273428367;0.835452128;1.249907622;0.056901547;;;0.057285860;0.063864688;0.179378454;0.056397054;0.017629726
streamflow;scatter_gather;short;4;3;1.070805193;3.238582913;2.167777720;202.443706265;3.024437063;0.832218918;0.833544967;1.243887436;0.056846208;;;0.056834787;0.064734875;0.177203868;0.054107430;0.017282291
streamflow;scatter_gather;short;4;4;1.105501054;3.235022338;2.129521284;192.629511853;2.926295119;0.867160655;0.836378443;1.247012887;0.057818462;;;0.056001191;0.065645161;0.176772525;0.053733805;0.017665846
