system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
aiida,pipeline,short,1,3.749341,12.245297,8.495956,226.598667,3.265987,,
aiida,pipeline,medium,1,47.701943,59.548260,11.846317,24.834034,1.248340,,
aiida,pipeline,long,1,218.111485,226.464599,8.353114,3.829745,1.038297,,
aiida,scatter_gather,short,1,3.683834,17.085182,13.401348,363.788054,4.637881,3.482332,3.532794
aiida,scatter_gather,short,2,2.003101,15.651363,13.648262,681.356521,7.813565,1.797953,1.829572
aiida,scatter_gather,short,4,1.114275,16.448696,15.334421,1376.179538,14.761795,0.911173,1.941502
aiida,scatter_gather,medium,1,46.012572,59.931171,13.918600,30.249558,1.302496,45.754356,46.459637
aiida,scatter_gather,medium,2,23.483697,37.261995,13.778298,58.671756,1.586718,23.267167,23.630337
aiida,scatter_gather,medium,4,12.117425,27.049901,14.932475,123.231419,2.232314,11.885538,12.910978
aiida,scatter_gather,long,1,213.755867,226.773261,13.017394,6.089842,1.060898,213.529647,213.930241
aiida,scatter_gather,long,2,106.850335,121.786611,14.936276,13.978689,1.139787,106.622191,107.845359
aiida,scatter_gather,long,4,54.684421,69.060360,14.375939,26.288912,1.262889,54.450599,54.951741
