system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
aiida,pipeline,short,1,1,3.748054,12.290930,8.542876,227.928293,3.279283,,,9.415786,1.945439,1.983900,1.850276,,,,,
aiida,pipeline,short,1,2,3.807307,12.393331,8.586024,225.514345,3.255143,,,9.680892,1.925021,1.934483,2.090043,,,,,
aiida,pipeline,short,1,3,3.819656,12.245297,8.425641,220.586398,3.205864,,,9.549056,1.957670,1.923034,1.994248,,,,,
aiida,pipeline,short,1,4,3.706755,12.110523,8.403769,226.714997,3.267150,,,9.472990,1.954508,1.951018,1.939964,,,,,
aiida,pipeline,short,1,5,3.749341,12.137172,8.387831,223.714819,3.237148,,,9.412916,1.939116,1.941587,1.923356,,,,,
aiida,pipeline,medium,1,1,47.701943,57.156055,9.454112,19.819134,1.198191,,,54.359842,1.963278,2.123593,2.041012,,,,,
aiida,pipeline,medium,1,2,48.166099,60.169401,12.003302,24.920644,1.249206,,,57.320876,1.974034,2.035662,2.177929,,,,,
aiida,pipeline,medium,1,3,47.654376,59.548260,11.893884,24.958640,1.249586,,,56.577356,1.914246,1.991839,1.936230,,,,,
aiida,pipeline,medium,1,4,49.355204,114.415796,65.060592,131.821139,2.318211,,,111.697322,1.941637,2.014201,2.156913,,,,,
aiida,pipeline,medium,1,5,46.983089,56.488140,9.505051,20.230792,1.202308,,,53.711283,2.037353,2.037131,1.983201,,,,,
aiida,pipeline,long,1,1,218.111485,226.464599,8.353114,3.829745,1.038297,,,223.469559,1.995723,1.975450,2.042358,,,,,
aiida,pipeline,long,1,2,219.656402,225.280921,5.624519,2.560599,1.025606,,,222.157444,1.969019,1.994727,2.089063,,,,,
aiida,pipeline,long,1,3,214.177724,227.135707,12.957983,6.050108,1.060501,,,224.417970,1.996410,2.068983,2.088473,,,,,
aiida,scatter_gather,short,1,1,3.718388,16.860400,13.142011,353.433001,4.534330,3.509367,3.568295,13.777546,1.982076,,,2.066759,2.026704,2.117482,2.006044,0.000000
aiida,scatter_gather,short,1,2,3.636918,17.432028,13.795110,379.307747,4.793077,3.435922,3.788811,14.257789,2.095136,,,2.068349,2.103029,2.123592,2.069441,0.000000
aiida,scatter_gather,short,1,3,3.683834,17.225654,13.541820,367.601259,4.676013,3.482332,3.528355,13.982358,2.243115,,,1.983944,2.025918,2.164971,2.027663,0.000000
aiida,scatter_gather,short,1,4,3.675164,17.085182,13.410018,364.882163,4.648822,3.471898,3.532794,13.778877,1.975344,,,2.067761,2.022116,2.044936,2.127542,0.000000
aiida,scatter_gather,short,1,5,3.742171,16.627406,12.885235,344.325090,4.443251,3.540440,3.524074,13.633511,1.991500,,,1.988655,2.057895,2.063377,1.999354,0.000000
aiida,scatter_gather,short,2,1,1.988790,15.676063,13.687273,688.221237,7.882212,1.786034,1.771747,12.636467,2.054064,,,2.112834,2.519430,2.141826,2.026448,0.000020
aiida,scatter_gather,short,2,2,1.962508,15.632321,13.669813,696.548118,7.965481,1.757505,1.780962,12.605803,2.023945,,,2.093225,2.447375,2.145909,2.103994,0.023028
aiida,scatter_gather,short,2,3,2.003101,15.594475,13.591373,678.516504,7.785165,1.797953,1.839103,12.534904,2.018620,,,2.123422,2.488364,2.035377,2.019425,0.033794
aiida,scatter_gather,short,2,4,2.012137,15.860160,13.848023,688.224714,7.882247,1.807287,1.869812,12.853339,2.053596,,,2.105765,2.424197,2.318982,2.070667,0.032031
aiida,scatter_gather,short,2,5,2.003763,15.651363,13.647600,681.098464,7.810985,1.798306,1.829572,12.479983,1.995169,,,2.041279,2.467129,2.085284,2.051202,0.026109
aiida,scatter_gather,short,4,1,1.114275,16.679993,15.565718,1396.937141,14.969371,0.911173,1.941502,13.697020,2.272048,,,2.090217,2.557935,2.773149,2.047984,1.026909
aiida,scatter_gather,short,4,2,1.100919,16.674140,15.573221,1414.565635,15.145656,0.899378,1.990260,13.620474,2.036018,,,2.078116,2.631743,2.718638,2.152343,1.048542
aiida,scatter_gather,short,4,3,1.098600,16.448696,15.350096,1397.241834,14.972418,0.896120,2.049676,13.446375,1.976054,,,1.995401,2.579853,2.578715,2.253702,1.147113
aiida,scatter_gather,short,4,4,1.183146,15.957848,14.774702,1248.764092,13.487641,0.978827,1.902715,13.061648,1.980813,,,2.040903,2.595623,2.555767,1.972550,1.015956
aiida,scatter_gather,short,4,5,1.204204,16.310759,15.106555,1254.484749,13.544847,1.000553,1.748371,13.320233,1.986772,,,2.070189,2.795304,2.716423,1.989074,0.854977
aiida,scatter_gather,medium,1,1,46.012572,59.696978,13.684406,29.740581,1.297406,45.754356,46.459637,56.652757,1.954461,,,2.021069,2.045742,2.100516,2.062295,0.000000
aiida,scatter_gather,medium,1,2,46.149258,59.931171,13.781913,29.863781,1.298638,45.921400,46.605495,56.840991,2.067142,,,1.986652,2.123875,2.052523,1.997082,0.000000
aiida,scatter_gather,medium,1,3,46.569672,60.261318,13.691647,29.400350,1.294004,46.344448,47.193088,57.302934,1.971214,,,1.962734,1.984972,2.182861,1.998533,0.000000
aiida,scatter_gather,medium,1,4,45.614718,59.249732,13.635015,29.891701,1.298917,45.386558,46.266942,56.260278,2.064643,,,1.999447,1.985515,1.926889,2.008201,0.000000
aiida,scatter_gather,medium,1,5,45.026726,60.081009,15.054283,33.434106,1.334341,44.799488,46.438247,56.748147,1.981228,,,2.030471,2.096605,2.157987,2.034411,0.000000
aiida,scatter_gather,medium,2,1,23.038597,37.127045,14.088448,61.151499,1.611515,22.831316,23.630337,34.149505,1.997423,,,1.979179,2.489093,2.097430,1.945388,0.101990
