system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
aiida,pipeline,short,1,3.740902,20.004516,16.263613,434.751113,5.347511,,
aiida,pipeline,medium,1,47.814386,63.660084,15.845699,33.140023,1.331400,,
aiida,pipeline,long,1,219.628582,232.165515,12.536933,5.708243,1.057082,,
aiida,scatter_gather,short,1,3.692185,27.810910,24.118725,653.237188,7.532372,3.489230,3.577984
aiida,scatter_gather,short,2,2.005240,27.643210,25.637970,1278.548643,13.785486,1.796774,1.905021
aiida,scatter_gather,short,4,1.107908,31.004713,29.896805,2698.491275,27.984913,0.903719,4.019644
aiida,scatter_gather,medium,1,46.570862,70.765215,24.194353,51.951697,1.519517,46.354887,46.419952
aiida,scatter_gather,medium,2,23.461310,49.523451,26.062141,111.085616,2.110856,23.259134,23.493238
aiida,scatter_gather,medium,4,12.219338,42.086368,29.867030,244.424281,3.444243,12.009520,14.636470
aiida,scatter_gather,long,1,208.314760,234.091859,25.777099,12.374111,1.123741,208.097750,209.922649
aiida,scatter_gather,long,2,107.933196,134.534815,26.601619,24.646374,1.246464,107.718492,109.186481
aiida,scatter_gather,long,4,55.458586,84.550306,29.091720,52.456656,1.524567,55.236040,57.737959
