system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
Merlin,Pipeline,long,1,190.891332571,193.250429656,2.359097085,1.235832478,1.012358325,,
Merlin,Pipeline,medium,1,42.252168333,46.045240548,3.793072215,8.977224991,1.089772250,,
Merlin,Pipeline,short,1,3.305315650,5.096103100,1.790787450,54.179014643,1.541790146,,
Merlin,Scatter-Gather,long,1,197.674371612,200.771192924,3.096821312,1.566627624,1.015666276,197.412768061,197.846165591
Merlin,Scatter-Gather,long,2,100.109877775,103.732774805,3.622897030,3.618920641,1.036189206,99.848592713,100.770931281
Merlin,Scatter-Gather,long,4,50.577788594,53.645094787,3.067306193,6.064532037,1.060645320,50.315068622,50.624523265
Merlin,Scatter-Gather,medium,1,43.107286266,45.588933804,2.481647538,5.756909685,1.057569097,42.849477808,42.712690834
Merlin,Scatter-Gather,medium,2,21.655624050,24.539231046,2.883606996,13.315741857,1.133157419,21.426039035,21.543982696
Merlin,Scatter-Gather,medium,4,11.173903170,13.488758742,2.314855572,20.716624592,1.207166246,10.944560183,11.157313859
Merlin,Scatter-Gather,short,1,3.502368055,5.418023624,1.915655569,54.696009640,1.546960096,3.277947740,3.258967522
Merlin,Scatter-Gather,short,2,1.860145744,3.933141942,2.072996198,111.442676182,2.114426762,1.633892377,1.702218746
Merlin,Scatter-Gather,short,4,1.053386686,3.210650661,2.157263975,204.793168897,3.047931689,0.829092205,0.970668509
