system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
Merlin,Pipeline,long,1,191.056946060,0.141718727,0.141957456,0.189836322,,,,,,
Merlin,Pipeline,medium,1,43.768749003,0.146919588,0.143118010,0.191588348,,,,,,
Merlin,Pipeline,short,1,3.607375445,0.141197449,0.141466928,0.162539378,,,,,,
Merlin,Scatter-Gather,long,1,198.614190249,0.142939572,,,0.141849096,0.141117364,0.190923244,0.139451176,0.000000000,197.846165591
Merlin,Scatter-Gather,long,2,101.599059213,0.142405987,,,0.141948899,0.168401503,0.223359059,0.139562286,0.048208574,100.770931281
Merlin,Scatter-Gather,long,4,51.466493540,0.143101051,,,0.141677417,0.172732959,0.235190012,0.141699466,0.149270336,50.624523265
Merlin,Scatter-Gather,medium,1,43.465833913,0.142027807,,,0.141137161,0.140526209,0.189201513,0.139582858,0.000000000,42.712690834
Merlin,Scatter-Gather,medium,2,22.333611171,0.141716664,,,0.140460719,0.168566659,0.191976187,0.139152355,0.048648812,21.543982696
Merlin,Scatter-Gather,medium,4,11.966212684,0.141492951,,,0.141395921,0.169746380,0.204132239,0.139583420,0.151900417,11.157313859
Merlin,Scatter-Gather,short,1,3.986102227,0.141008170,,,0.140293513,0.140164774,0.161384874,0.137740773,0.000000000,3.258967522
Merlin,Scatter-Gather,short,2,2.489103377,0.139139115,,,0.138717187,0.167030799,0.190812168,0.137918030,0.050418395,1.702218746
Merlin,Scatter-Gather,short,4,1.774324582,0.140384890,,,0.138806157,0.168756569,0.199418527,0.138458507,0.149918638,0.970668509
