system,pattern,workload,chunks,repetition,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s
Merlin,Pipeline,short,1,1,3.305315650,5.487499581,2.182183931,66.020439863,1.660204399,,,3.607375445,0.144904839,0.136631784,0.161864247,,,,,
Merlin,Pipeline,short,1,2,3.271316874,5.057582655,1.786265781,54.603875130,1.546038751,,,3.587091431,0.139477742,0.141693012,0.176211926,,,,,
Merlin,Pipeline,short,1,3,3.340618398,5.100065553,1.759447155,52.668307043,1.526683070,,,3.642237478,0.143366530,0.145869439,0.162539378,,,,,
Merlin,Pipeline,short,1,4,3.345057263,4.987124733,1.642067470,49.089368011,1.490893680,,,3.545541999,0.141197449,0.141466928,0.158909464,,,,,
Merlin,Pipeline,short,1,5,3.287126649,5.096103100,1.808976451,55.032149478,1.550321495,,,3.634393381,0.140420833,0.139073168,0.165443545,,,,,
Merlin,Pipeline,medium,1,1,41.189122337,50.234708954,9.045586617,21.961105515,1.219611055,,,48.018674786,0.143899027,0.143118010,0.198710855,,,,,
Merlin,Pipeline,medium,1,2,41.982439558,45.423280696,3.440841138,8.195905655,1.081959057,,,43.068577577,0.161344956,0.172984226,0.213515372,,,,,
Merlin,Pipeline,medium,1,3,43.959320244,46.156216313,2.196896069,4.997566061,1.049975661,,,43.941639239,0.146919588,0.152399714,0.188698514,,,,,
Merlin,Pipeline,medium,1,4,42.695191413,46.045240548,3.350049135,7.846431938,1.078464319,,,43.703233326,0.156343202,0.141747344,0.188236585,,,,,
Merlin,Pipeline,medium,1,5,42.252168333,46.001362116,3.749193783,8.873376044,1.088733760,,,43.768749003,0.142791107,0.142523059,0.191588348,,,,,
Merlin,Pipeline,long,1,1,190.891332571,204.621139649,13.729807078,7.192472750,1.071924728,,,202.444254571,0.139757745,0.140275333,0.188686367,,,,,
