system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
nextflow,pipeline,short,1,3.386725049,6.472371726,3.085646677,91.110044,1.911100438,,
nextflow,pipeline,medium,1,40.414508305,43.990812377,3.576304072,8.849060,1.088490600,,
nextflow,pipeline,long,1,185.244133068,195.564158987,10.320025919,5.571041,1.055710406,,
nextflow,scatter_gather,short,1,3.486612089,6.761180916,3.274568827,93.918358,1.939183581,3.235638311,3.217045870
nextflow,scatter_gather,short,2,1.894821973,5.192085111,3.297263138,174.014403,2.740144027,1.641395074,1.647475489
nextflow,scatter_gather,short,4,1.107706003,4.211716430,3.104010427,280.219699,3.802196990,0.861118047,0.824661501
nextflow,scatter_gather,medium,1,42.057972406,45.355538098,3.297565692,7.840525,1.078405246,41.758634603,41.791854277
nextflow,scatter_gather,medium,2,21.477682566,24.901360758,3.423678192,15.940631,1.159406313,21.136629365,21.175923694
nextflow,scatter_gather,medium,4,11.026432360,14.442049403,3.415617043,30.976629,1.309766290,10.770266170,10.901259432
nextflow,scatter_gather,long,1,196.101342450,195.459759125,-0.641583325,-0.327169,0.996728307,195.719192724,191.728812485
nextflow,scatter_gather,long,2,98.335086136,103.139973365,4.804887229,4.886239,1.048862389,97.947513105,99.478251121
nextflow,scatter_gather,long,4,50.160792733,53.402597783,3.241805050,6.462827,1.064628266,49.816635009,49.758943697
