system,pattern,workload,chunks,ref_makespan_s,wms_makespan_s,overhead_s,overhead_pct,ratio,ref_compute_phase_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.378508832,6.371025603,2.992516771,88.575076160,1.885750762,,
streamflow,pipeline,medium,1,40.835866672,44.859996337,4.024129665,9.854400048,1.098544000,,
streamflow,pipeline,long,1,189.837130670,190.998191277,1.161060607,0.611608805,1.006116088,,
streamflow,scatter_gather,short,1,3.509290988,5.805560648,2.296269660,65.434005554,1.654340056,3.265653955,3.269079421
streamflow,scatter_gather,short,2,1.906270930,4.151978134,2.245707204,117.806297555,2.178062976,1.660557295,1.648568659
streamflow,scatter_gather,short,4,1.081718069,3.388920824,2.307202755,213.290581078,3.132905811,0.835802177,0.835327659
streamflow,scatter_gather,medium,1,42.623213087,46.325673683,3.702460596,8.686488718,1.086864887,42.358178623,42.206787996
streamflow,scatter_gather,medium,2,21.602373982,25.672910297,4.070536315,18.843004562,1.188430046,21.352208882,21.647721912
streamflow,scatter_gather,medium,4,11.059083376,13.498920544,2.439837168,22.061838988,1.220618390,10.805572695,10.857742737
streamflow,scatter_gather,long,1,197.363368432,199.121526720,1.758158288,0.890823004,1.008908230,197.095497249,195.030412159
streamflow,scatter_gather,long,2,100.025062735,104.645269129,4.620206394,4.619048734,1.046190487,99.750734039,100.360565709
streamflow,scatter_gather,long,4,50.798454800,54.853930987,4.055476187,7.983463676,1.079834637,50.431574817,50.534091461
