system,pattern,workload,chunks,wms_task_span_s,wms_gen_to_pre_s,wms_pre_to_comp_s,wms_comp_to_post_s,wms_pre_to_split_s,wms_split_to_comp_s,wms_comp_to_agg_s,wms_agg_to_post_s,wms_start_spread_s,wms_compute_phase_s
streamflow,pipeline,short,1,3.396416465,0.068720155,0.066961002,0.092372691,,,,,,
streamflow,pipeline,medium,1,41.060947221,0.055628107,0.056339184,0.103496449,,,,,,
streamflow,pipeline,long,1,187.376017500,0.056844900,0.056830580,0.104326063,,,,,,
streamflow,scatter_gather,short,1,3.591306486,0.055983373,,,0.055189377,0.057748436,0.097677444,0.054174691,0.000000000,3.269079421
streamflow,scatter_gather,short,2,2.001496634,0.056179703,,,0.055262996,0.059549799,0.127045866,0.053985414,0.004882300,1.648568659
streamflow,scatter_gather,short,4,1.250145874,0.056513284,,,0.056020926,0.060851535,0.183619202,0.055481788,0.018789981,0.835327659
streamflow,scatter_gather,medium,1,42.563732340,0.057102799,,,0.053505707,0.057362118,0.121167648,0.055982632,0.000000000,42.206787996
streamflow,scatter_gather,medium,2,22.027277409,0.056952409,,,0.054681640,0.058965482,0.129845820,0.054753249,0.005556037,21.647721912
streamflow,scatter_gather,medium,4,11.275568323,0.056211256,,,0.055708575,0.061266082,0.189954469,0.054596702,0.017628147,10.857742737
streamflow,scatter_gather,long,1,195.421116723,0.056303386,,,0.055328504,0.057687869,0.145938961,0.055938749,0.000000000,195.030412159
streamflow,scatter_gather,long,2,100.981337979,0.057216417,,,0.055060836,0.059258958,0.152139173,0.055775136,0.005662456,100.360565709
streamflow,scatter_gather,long,4,51.162638073,0.057675762,,,0.055351851,0.061405915,0.210491359,0.067005032,0.017929353,50.534091461
